"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";910;6423;0;6650;0;0
"C1F18";15659;4300;761;619;723;0
"C1A18";16753;4292;1368;566;595;0
"C2A17";113;443;11;92;6;0
"C2F18";3376;13045;768;440;256;0
"C2A18";16169;3395;993;490;233;4
"C3A17";595;7285;0;61;18;0
"C3F18";1601;33851;299;1198;91;11
"C3A18";6686;10713;1310;1184;587;7
"C4A17";242;881;0;62;0;0
"C4F18";2248;22889;527;1189;145;0
"C4A18";8147;10401;1401;1300;511;0
"F1A17";3972;1416;6352;1296;243;23
"F1F18";1487;25703;216;170;162;14
"F1A18";18649;1551;1767;205;68;16
"F2A17";6069;1460;1590;1001;93;20
"F2F18";3621;15852;456;268;292;37
"F2A18";25186;2659;1399;236;111;4
"F3A17";2932;329;412;322;46;0
"F3F18";5292;5589;1606;626;794;23
"F3A18";17402;894;719;104;39;73
"F4A17";1607;112;414;197;27;26
"F4F18";5493;5479;1637;551;743;27
"F4A18";16509;2365;2772;395;115;0
"H1A17";28366;1056;655;3085;0;511
"H1F18";43134;1239;950;370;396;209
"H1A18";32035;2615;1290;612;35;192
"H2A17";27253;732;524;1867;0;32
"H2F18";37094;1285;1532;476;280;31
"H2A18";29699;2830;1439;583;32;184
"H3A17";26084;864;1465;1025;0;92
"H3F18";50760;1742;1414;612;252;7
"H3A18";27920;1967;1486;394;52;92
"H4A17";29290;1437;1577;1274;11;119
"H4F18";45343;1663;1070;404;136;2
"H4A18";33975;5111;2128;871;15;65
"Ho1A17";2500;6521;373;693;46;659
"Ho1F18";28141;2536;438;16;0;69
"P1F18";26381;3272;1178;142;339;20
"P1A18";4291;16172;373;366;69;2855
"P2F18";25120;3081;1981;297;450;4
"P3F18";30968;3598;2126;265;217;0
"P4F18";25619;3666;1298;164;492;0
"Re1A17";2500;6521;373;693;46;659
"Re1F18";28141;2536;438;16;0;69
"L1A17";17952;785;506;31;228;408
"L1F18";3094;1187;215;30;27;5550
"L1A18";29224;1873;963;139;123;0
"L2A17";14438;3405;994;78;440;257
"L2F18";24789;1663;1265;208;128;2754
"L2A18";23295;1782;1225;234;164;0
"L3A17";17976;2674;706;57;377;168
"L3F18";7794;571;345;43;40;8597
"L3A18";31491;4356;836;305;187;0
"L4A17";19611;448;407;54;264;447
"L4F18";19051;1423;808;152;130;3798
"L4A18";27053;1920;1229;175;208;10
"Q1A17";321;3055;324;84;115;556
"Q1F18";338;538;226;0;0;13
"Q2A17";3067;5682;459;375;94;4
"Q2F18";4878;1143;1196;114;16;0
"Q3A17";1870;5360;457;495;107;0
"Q3F18";6356;1756;2874;147;33;5
"Q3A18";16565;6154;1535;1085;271;3
"Q4A17";1949;4244;267;539;42;8
"Q4F18";1373;933;705;83;33;13
"Q4A18";27604;4543;852;752;136;0
"Qc1A17";2233;2078;129;37;17;125
"Qc2A17";1767;5765;137;80;0;2850
"Z1A18";18649;1551;1767;205;68;16
"Z2A18";27920;1967;1486;394;52;92
"Z3A18";16509;2365;2772;395;115;0
"Z4A18";17402;894;719;104;39;73
"Z5A18";16169;3395;993;490;233;4
