"";"Fungi";"Dinoflagellata";"Metazoa";"Ochrophyta";"Ciliophora";"Haptophyta";"Picozoa";"Stramenopiles_X";"Sagenista";"Pseudofungi";"Opalozoa";"Prasinodermophyta";"Katablepharidophyta";"Rhodophyta";"Cercozoa";"Telonemia";"Streptophyta";"Apicomplexa";"NA.";"Centroheliozoa";"Radiolaria";"Conosa";"Choanoflagellida";"Mesomycetozoa";"Alveolata_X";"Perkinsea";"Chrompodellids";"Lobosa";"Apusomonadidae";"Hilomonadea";"Foraminifera";"Metamonada";"Discoba";"Breviatea";"Chlorophyta";"Cryptophyta"
"C1A17";34805;2323;193;6423;5096;6650;5;98;264;1257;322;0;0;0;287;124;0;0;0;0;0;697;15;0;0;0;30;7;16;0;0;0;0;0;910;0
"C1F18";6146;22902;999;4300;1628;619;191;51;3351;245;1436;128;723;0;1379;195;7;0;0;85;0;0;112;16;0;0;0;0;3;11;0;0;0;0;15659;761
"C1A18";3461;11855;780;4292;2975;566;128;0;446;159;261;102;595;0;52;746;0;0;0;27;2;0;6;0;0;0;0;0;0;0;0;0;0;0;16753;1368
"C2A17";53854;1422;57;443;328;92;0;0;41;70;42;0;6;0;23;38;23;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;113;11
"C2F18";1573;26002;1077;13045;2075;440;184;35;2885;272;836;90;256;0;712;73;0;0;0;44;0;0;97;25;0;0;0;0;0;0;0;0;0;0;3376;768
"C2A18";8011;18244;2183;3395;2453;490;79;0;478;110;117;398;233;4;101;173;0;16;0;12;58;64;15;3;0;0;0;0;0;0;0;0;0;0;16169;993
"C3A17";54932;3818;109;7285;355;61;0;18;404;67;44;0;18;0;890;17;4;11;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;595;0
"C3F18";5497;8123;2517;33851;6752;1198;5;89;1834;539;410;26;91;11;1033;251;5;0;0;8;0;0;121;7;0;0;27;14;0;0;0;0;0;0;1601;299
"C3A18";404;12792;5293;10713;4152;1184;55;1;579;597;299;323;587;7;130;554;0;45;0;84;0;23;137;3;0;50;0;8;24;0;0;0;0;0;6686;1310
"C4A17";56500;1842;140;881;375;62;0;5;103;38;62;0;0;0;227;10;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;242;0
"C4F18";3669;8305;2014;22889;4749;1189;18;122;1729;457;499;19;145;0;1096;103;14;8;0;5;0;0;120;3;0;40;0;0;0;0;0;0;0;0;2248;527
"C4A18";3544;12661;3337;10401;4203;1300;88;0;918;305;391;112;511;0;247;400;0;24;0;70;22;0;85;12;0;89;0;22;31;8;0;0;0;0;8147;1401
"F1A17";7830;8146;1229;1416;10402;1296;2242;12;1084;549;1435;6;243;23;156;174;6;0;0;128;0;0;137;0;0;0;0;0;0;0;0;0;0;0;3972;6352
"F1F18";6657;14526;1283;25703;405;170;114;5;2102;69;400;69;162;14;221;18;8;0;0;9;6;0;21;30;0;0;0;0;9;0;0;0;0;0;1487;216
"F1A18";4615;24219;1204;1551;665;205;196;0;795;83;129;452;68;16;53;59;0;53;0;24;18;0;54;0;0;0;3;0;0;0;0;0;0;0;18649;1767
"F2A17";20615;10337;1493;1460;515;1001;2626;46;1423;199;1776;14;93;20;267;118;0;3;0;282;40;84;157;23;6;0;0;0;0;0;0;0;0;0;6069;1590
