"";"X";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"Ho1A17";"Ho1F18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Re1A17";"Re1F18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"Qc1A17";"Qc2A17";"Z1A18";"Z2A18";"Z3A18";"Z4A18";"Z5A18";"Cha";"Fla";"Hu";"Pc";"Ho";"LC";"Qin";"Qc";"ZZ";"Total";"Color"
"1";"Chlorophyta";910;15659;16753;113;3376;16169;595;1601;6686;242;2248;8147;3972;1487;18649;6069;3621;25186;2932;5292;17402;1607;5493;16509;28366;43134;32035;27253;37094;29699;26084;50760;27920;29290;45343;33975;2500;28141;26381;4291;25120;30968;25619;2500;28141;17952;3094;29224;14438;24789;23295;17976;7794;31491;19611;19051;27053;321;338;3067;4878;1870;6356;16565;1949;1373;27604;2233;1767;18649;27920;16509;17402;16169;72499;108219;410953;86433;56587;220305;81448;28977;67078;1132499;"#002C3D"
"2";"Fungi";34805;6146;3461;53854;1573;8011;54932;5497;404;56500;3669;3544;7830;6657;4615;20615;10914;1190;35158;2966;10003;41820;4983;5038;7894;3246;511;5529;1426;268;17477;2751;1264;6483;2026;327;14488;30702;7006;10604;3443;2027;3442;14488;30702;20492;12022;3451;6267;13731;800;5286;16576;759;18791;10456;596;11676;40777;5278;58754;4976;48531;1297;7206;54846;980;7564;23239;4615;1264;5038;10003;8011;232396;151789;49202;66243;5469;143365;189547;55826;41720;935557;"#00564E"
"3";"Dinoflagellata";2323;22902;11855;1422;26002;18244;3818;8123;12792;1842;8305;12661;8146;14526;24219;10337;18872;17595;8658;28006;27800;4347;29635;21880;13539;8280;15528;13524;12510;17467;6747;8132;13258;5297;8500;10758;12495;1936;8250;10401;11212;9689;14127;12495;1936;7581;12594;7664;7560;14722;9127;9390;6103;9471;5209;9763;9854;6572;16612;7363;4704;5467;4848;19508;4626;5762;12962;5661;3878;24219;13258;21880;27800;18244;130289;214021;133540;44294;23816;103852;89317;18724;68896;826749;"#007F5F"
"4";"Ochrophyta";6423;4300;4292;443;13045;3395;7285;33851;10713;881;22889;10401;1416;25703;1551;1460;15852;2659;329;5589;894;112;5479;2365;1056;1239;2615;732;1285;2830;864;1742;1967;1437;1663;5111;6521;2536;3272;16172;3081;3598;3666;6521;2536;785;1187;1873;3405;1663;1782;2674;571;4356;448;1423;1920;3055;538;5682;1143;5360;1756;6154;4244;933;4543;2078;5765;1551;1967;2365;894;3395;117918;63409;22541;31582;7264;27801;31275;5476;13726;320992;"#359548"
"5";"Ciliophora";5096;1628;2975;328;2075;2453;355;6752;4152;375;4749;4203;10402;405;665;515;406;4051;531;1189;610;185;793;2587;902;2366;3062;825;4532;1863;763;3190;3460;531;2821;3737;1768;2986;8193;2653;5501;7922;9983;1768;2986;4633;359;9324;3963;1458;11412;8101;380;12916;3228;822;14154;2969;125;6139;1565;8245;1401;8068;2776;187;7017;1502;1855;665;3460;2587;610;2453;35141;22339;28052;21101;17905;60528;46264;7204;10069;248603;"#6AAB30"
"6";"Metazoa";193;999;780;57;1077;2183;109;2517;5293;140;2014;3337;1229;1283;1204;1493;4375;1022;1847;5396;516;161;4460;877;901;2085;5652;344;586;4518;2133;275;6149;2021;215;1001;5597;4892;317;5102;158;63;23;5597;4892;4760;11442;1192;12772;7655;1717;2497;13056;877;6935;10637;852;18024;7872;2675;733;1560;7821;864;2886;927;781;4152;2510;1204;6149;877;516;2183;18699;23863;25880;16066;86;73392;53924;1708;14892;228510;"#BACC0C"
"7";"Sagenista";264;3351;446;41;2885;478;404;1834;579;103;1729;918;1084;2102;795;1423;2912;2117;384;5371;707;339;5534;1196;1348;1313;1848;1256;1951;1521;1620;1901;1196;1032;2297;1881;3245;290;471;1955;632;641;896;3245;290;288;437;137;128;2235;429;93;1321;1024;105;1607;297;266;153;2350;1214;3150;958;978;3770;941;360;1011;1845;795;1196;1196;707;478;13032;23964;19164;6593;1537;9732;14743;1301;6043;96109;"#F1F500"
"8";"Cryptophyta";0;761;1368;11;768;993;0;299;1310;0;527;1401;6352;216;1767;1590;456;1399;412;1606;719;414;1637;2772;655;950;1290;524;1532;1439;1465;1414;1486;1577;1070;2128;373;438;1178;373;1981;2126;1298;373;438;506;215;963;994;1265;1225;706;345;836;407;808;1229;324;226;459;1196;457;2874;1535;267;705;852;129;137;1767;1486;2772;719;993;7438;19340;15530;4343;3424;8273;9375;1557;6291;75571;"#ACDD3C"
"9";"Picozoa";5;191;128;0;184;79;0;5;55;0;18;88;2242;114;196;2626;193;288;617;816;82;402;1031;301;1103;328;492;1041;251;461;895;253;374;973;262;286;626;40;78;401;195;182;206;626;40;13;32;178;16;261;31;8;59;32;0;253;144;284;22;3043;121;5791;414;59;7669;190;300;908;938;196;374;301;82;79;753;8908;6719;1340;388;1296;17800;490;2717;40411;"#83E377"
"10";"Haptophyta";6650;619;566;92;440;490;61;1198;1184;62;1189;1300;1296;170;205;1001;268;236;322;626;104;197;551;395;3085;370;612;1867;476;583;1025;612;394;1274;404;871;693;16;142;366;297;265;164;693;16;31;30;139;78;208;234;57;43;305;54;152;175;84;0;375;114;495;147;1085;539;83;752;37;80;205;394;395;104;490;13851;5371;11573;1514;429;1888;3166;835;1111;39738;"#16DB93"
"11";"Rhodophyta";0;0;0;0;0;4;0;11;7;0;0;0;23;14;16;20;37;4;0;23;73;26;27;0;511;209;192;32;31;184;92;7;92;119;2;65;659;69;20;2855;4;0;0;659;69;408;5550;0;257;2754;0;168;8597;0;447;3798;10;556;13;4;0;0;5;3;8;13;0;125;2850;16;92;0;73;4;22;263;1536;3607;0;18909;4397;13;3083;31830;"#FB9C70"
"12";"Opalozoa";322;1436;261;42;836;117;44;410;299;62;499;391;1435;400;129;1776;749;150;514;1503;59;186;1366;208;177;224;185;543;179;214;281;159;89;233;98;177;387;1396;49;481;231;529;147;387;1396;587;70;0;468;406;0;193;116;0;514;141;75;395;37;826;599;1200;406;237;1639;588;91;276;344;129;89;208;59;117;4719;8475;2559;2544;676;4137;5555;679;1046;30390;"#FB9262"
"13";"Pseudofungi";1257;245;159;70;272;110;67;539;597;38;457;305;549;69;83;199;127;91;76;287;56;18;381;134;217;112;179;168;199;186;377;127;166;239;72;225;587;10;62;455;177;222;155;587;10;56;156;0;52;152;116;65;31;15;84;188;135;791;0;2924;14;3218;49;272;4123;25;311;815;1180;83;166;134;56;110;4116;2070;2267;1291;377;1324;11714;336;2378;25873;"#FA8072"
"14";"Cercozoa";287;1379;52;23;712;101;890;1033;130;227;1096;247;156;221;53;267;362;82;78;508;46;23;689;63;180;168;133;141;151;152;84;169;54;81;32;62;389;36;49;427;110;75;80;389;36;339;201;208;134;452;341;148;117;1197;112;225;364;923;45;1246;299;1383;397;170;1534;352;328;163;323;53;54;63;46;101;6177;2548;1407;1011;155;3674;6586;680;656;22894;"#FA776B"
"15";"Stramenopiles_X";98;51;0;0;35;0;18;89;1;5;122;0;12;5;0;46;20;13;20;56;0;9;37;3;0;0;8;0;0;10;0;11;0;0;5;9;49;0;0;21;0;6;9;49;0;0;0;7;0;0;0;0;0;0;0;12;48;4401;0;2040;6;2224;0;69;2765;0;0;1541;3803;0;0;3;0;0;419;221;43;70;15;56;11565;0;5347;17736;"#F95C74"
"16";"Katablepharidophyta";0;723;595;6;256;233;18;91;587;0;145;511;243;162;68;93;292;111;46;794;39;27;743;115;0;396;35;0;280;32;0;252;52;11;136;15;46;0;339;69;450;217;492;46;0;228;27;123;440;128;164;377;40;187;264;130;208;115;0;94;16;107;33;271;42;33;136;17;0;68;52;115;39;233;3165;2733;1209;904;709;2024;1016;169;252;12181;"#F8417D"
"17";"Telonemia";124;195;746;38;73;173;17;251;554;10;103;400;174;18;59;118;51;61;28;79;13;45;70;118;101;96;100;93;142;132;155;181;99;135;169;286;14;0;55;106;154;161;103;14;0;8;23;0;14;70;0;0;24;0;13;98;15;32;2;22;0;11;6;187;34;0;27;11;29;59;99;118;13;173;2684;834;1689;329;264;166;407;27;316;6716;"#AA006A"
"18";"Streptophyta";0;7;0;23;0;0;4;5;0;0;14;0;6;8;0;0;2;0;0;4;5;10;0;0;0;14;2;0;10;0;53;1044;2;0;0;0;3;94;0;0;43;0;0;3;94;28;0;890;0;6;408;0;0;487;7;123;30;10;44;2;112;0;17;2120;5;11;115;0;0;0;2;0;5;0;53;35;1125;140;0;1923;2463;126;2;5867;"#7C0068"
"19";"Prasinodermophyta";0;128;102;0;90;398;0;26;323;0;19;112;6;69;452;14;79;110;0;91;714;0;64;184;125;49;56;18;42;69;41;69;84;63;77;136;68;47;44;341;57;56;97;68;47;10;60;0;10;16;0;5;16;27;2;46;0;7;0;20;46;25;51;44;43;3;0;10;48;452;84;184;714;398;1198;1783;829;557;153;261;282;3;778;5844;"#4E0066"
"20";"Choanoflagellida";15;112;6;0;97;15;2;121;137;0;120;85;137;21;54;157;34;56;34;190;20;9;257;71;6;26;36;0;68;129;53;14;64;11;5;183;293;0;25;359;104;81;77;293;0;14;55;152;14;14;255;84;9;335;13;54;111;103;0;102;0;95;23;134;88;0;165;18;53;54;64;71;20;15;710;1040;595;781;158;1238;710;165;260;5657;"#410151"
