"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";920;6380;0;0;0;0
"C1F18";15594;4654;125;56;8;5
"C1A18";16710;4294;347;161;32;24
"C2A17";112;423;0;0;0;0
"C2F18";3353;13214;123;0;4;1
"C2A18";16216;3460;226;101;23;19
"C3A17";597;7355;0;0;0;0
"C3F18";1591;33953;0;0;0;0
"C3A18";6760;10816;244;63;88;66
"C4A17";226;1192;0;0;0;0
"C4F18";2233;23132;3;0;35;42
"C4A18";8276;10476;307;123;48;34
"F1A17";3989;1714;547;399;1113;837
"F1F18";1479;25852;119;0;0;0
"F1A18";18745;1639;408;208;9;10
"F2A17";6018;1618;276;178;71;61
"F2F18";3619;16061;100;41;0;0
"F2A18";25294;2719;330;172;8;4
"F3A17";2941;375;130;0;24;23
"F3F18";5221;6487;454;308;0;0
"F3A18";17594;916;176;86;0;0
"F4A17";1588;150;5;0;60;52
"F4F18";5482;6167;399;267;0;0
"F4A18";16597;2533;671;389;7;8
"H1A17";28293;1580;120;55;52;33
"H1F18";42851;1608;184;138;0;0
"H1A18";32083;3010;362;188;0;0
"H2A17";27140;830;106;75;37;28
"H2F18";36487;1533;399;216;0;0
"H2A18";29723;3325;330;159;0;0
"H3A17";26088;1698;342;168;6;6
"H3F18";50887;1889;349;193;0;0
"H3A18";27890;2210;399;268;0;0
"H4A17";29178;3737;351;200;9;2
"H4F18";44954;1871;267;127;0;0
"H4A18";33821;5261;550;229;0;0
"P1F18";26322;3512;271;116;0;0
"P1A18";4339;15856;91;52;0;0
"P2F18";25059;3154;550;238;0;0
"P3F18";30832;3675;583;317;0;0
"P4F18";25609;3716;332;131;0;0
"Re1A17";2460;6577;89;0;0;0
"Re1F18";28009;2753;174;105;0;0
"L1A17";17882;1729;132;98;0;0
"L1F18";3106;7533;114;0;8;0
"L1A18";29092;1886;143;111;0;0
"L2A17";14333;7714;212;158;0;0
"L2F18";24715;2112;229;165;11;4
"L2A18";23333;1741;346;300;0;0
"L3A17";17971;4490;124;85;0;0
"L3F18";7747;800;79;49;2;6
"L3A18";31332;4357;166;131;0;0
"L4A17";19482;4848;74;52;0;0
"L4F18";18993;2048;141;151;14;20
"L4A18";27109;1944;363;252;8;7
"Q1A17";309;3304;127;117;0;0
"Q1F18";315;538;0;22;0;0
"Q2A17";3008;5799;134;77;0;0
"Q2F18";4861;1142;104;81;0;0
"Q3A17";1807;5209;192;114;0;0
"Q3F18";6342;1820;850;677;0;0
"Q3A18";16589;6124;368;207;0;0
"Q4A17";1816;4294;70;43;0;0
"Q4F18";1370;946;102;111;0;0
"Q4A18";27492;4679;200;104;0;0
"Qc1A17";2293;2988;65;45;0;0
"Qc2A17";1700;7368;100;0;0;0
"Z1A18";18745;1639;408;208;9;10
"Z2A18";27890;2210;399;268;0;0
"Z3A18";16597;2533;671;389;7;8
"Z4A18";17594;916;176;86;0;0
"Z5A18";16216;3460;226;101;23;19
