"";"Chlorophyta";"Fungi";"Dinoflagellata";"Ochrophyta";"Ciliophora";"Metazoa";"Sagenista";"Cryptophyta";"Picozoa";"Haptophyta";"Rhodophyta";"Opalozoa";"Pseudofungi";"Cercozoa";"Stramenopiles_X";"Katablepharidophyta";"Telonemia";"Streptophyta";"Prasinodermophyta";"Choanoflagellida";"Apicomplexa";"Radiolaria";"Centroheliozoa";"Conosa";"Mesomycetozoa";"Lobosa";"Apusomonadidae";"Alveolata_X";"Hilomonadea";"Chrompodellids";"Metamonada";"Perkinsea";"Foraminifera";"Discoba";"Breviatea";"NA."
"C1A17";0,015288464769329;0,584741776149995;0,0390275864386277;0,107909680454286;0,0856154027082423;0,00324249857195659;0,00443533483417896;0;8,40025536776318e-05;0,11172339639125;0;0,00540976445683949;0,0211182419945566;0,00482174658109607;0,00164645005208158;0;0,00208326333120527;0;0;0,000252007661032895;0;0;0;0,0117099559826619;0;0,000117603575148685;0,000268808171768422;0;0;0,000504015322065791;0;0;0;0;0;0
"C1F18";0,256928150688303;0,100841714932646;0,375769110866819;0,0705531035161698;0,0267117331451917;0,0163912907936404;0,054982197647136;0,0124862585525128;0,00313387041199731;0,01015636536663;0;0,0235614550347023;0,00401988613057246;0,0226262162206507;0,000836792623098758;0,0118627660098118;0,00319950120596584;0,000114853889444928;0,00210018540699296;0,00183766223111884;0;0;0,00139465437183126;0;0,00026252317587412;0;4,92230954763975e-05;0;0,000180484683413458;0;0;0;0;0;0;0
"C1A18";0,375846906268228;0,0776461614394041;0,265962220128326;0,0962893166419886;0,066742944317315;0,0174989904428591;0,0100058329968143;0,030690537084399;0,00287162920087944;0,0126979853726388;0;0,00585543141741823;0,00356710189796742;0,00116659936285727;0;0,013348588863463;0,0167362139363755;0;0,0022883295194508;0,000134607618791224;0;4,48692062637412e-05;0,000605734284560506;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A17";0,00199748987997384;0,951971858372664;0,0251365540648035;0,00783086740556115;0,00579802372240194;0,00100758339078326;0,000724752965300242;0,000194445917519577;0;0,00162627494652737;0;0,000742429866892931;0,00123738311148822;0,000406568736631843;0;0,000106061409556133;0,000671722260522176;0,000406568736631843;0;0;0;0;0;0,000141415212741511;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";0,0626752065348557;0,0292026362201801;0,482725331848139;0,242179522881277;0,0385222315046876;0,0199944305207463;0,05355982548965;0,0142578668894458;0,0034159472755964;0,00816856957207834;0;0,0155202821869489;0,00504966119001207;0,0132182307620904;0,000649772579597141;0,00475262229648195;0,00135523995173118;0;0,00167084377610693;0,00180079829202636;0;0;0,000816856957207834;0;0,000464123271140815;0;0;0;0;0;0;0;0;0;0;0
"C2A18";0,300544619788472;0,148906113496533;0,339114109927694;0,0631052621795944;0,0455956430416922;0,0405769623970706;0,00888492351158944;0,0184575921485529;0,00146842878120411;0,00910797598468373;7,43508243647651e-05;0,00217476161266938;0,00204464767003104;0,00187735831521032;0;0,00433093551924757;0,00321567315377609;0;0,00739790702429413;0,000278815591367869;0,000297403297459061;0,00107808695328909;0,000223052473094295;0,00118961318983624;5,57631182735739e-05;0;0;0;0;0;0;0;0;0;0;0
"C3A17";0,00866892010023894;0,800338015035841;0,0556267847776677;0,106139635176875;0,00517221283291567;0,00158808788390932;0,00588612389999417;0;0;0,000888746430444665;0;0,000641062999009266;0,000976164112127746;0,0129669561163238;0,000262253045049245;0,000262253045049245;0,000247683431435398;5,82784544553878e-05;0;2,91392272276939e-05;0,000160265749752317;0;0;0;8,74176816830818e-05;0;0;0;0;0;0;0;0;0;0;0
"C3F18";0,0248954267676375;0,0854779268842619;0,126312024755477;0,5263804444168;0,104993080284253;0,0391391562611765;0,0285185588331338;0,00464942698533642;7,77496151394051e-05;0,0186288077874015;0,000171049153306691;0,00637546844143121;0,00838140851202787;0,0160630704878011;0,00138394314948141;0,00141504299553717;0,00390303067999813;7,77496151394051e-05;0,000404297998724906;0,0018815406863736;0;0;0,000124399384223048;0;0,000108849461195167;0,000217698922390334;0;0;0;0,000419847921752787;0;0;0;0;0;0
"C3A18";0,145221546481321;0,00877497827975673;0,277845351867941;0,232688966116421;0,0901824500434405;0,114965247610773;0,0125760208514335;0,0284535186794092;0,00119461337966985;0,0257167680278019;0,000152041702867072;0,00649435273675065;0,0129669852302346;0,0028236316246742;2,17202432667246e-05;0,0127497827975673;0,0120330147697654;0;0,00701563857515204;0,00297567332754127;0,000977410947002606;0;0,00182450043440487;0,000499565595134665;6,51607298001738e-05;0,000173761946133797;0,00052128583840139;0;0;0;0;0,00108601216333623;0;0;0;0
"C4A17";0,00399993388539032;0,933868861671708;0,0304457777557396;0,0145617427811111;0,00619824465711311;0,00231401133865556;0,00170245119915373;0;0;0,00102477644997603;0;0,00102477644997603;0,000628088791920795;0,0037520040991058;8,26432620948414e-05;0;0,000165286524189683;0;0;0;0;0;0;0;0;0,000231401133865556;0;0;0;0;0;0;0;0;0;0
