"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";0,0650790245297862;0,459343488521776;0;0,475577486948437;0;0
"C1F18";0,709772459432508;0,194905266974889;0,034493699573928;0,0280572930831294;0,0327712809355453;0
"C1A18";0,71065580724527;0,182064986849919;0,0580300330872996;0,0240095019937219;0,0252396708237889;0
"C2A17";0,169924812030075;0,666165413533835;0,0165413533834586;0,138345864661654;0,00902255639097744;0
"C2F18";0,188761532010064;0,729382163824434;0,0429410120212469;0,024601621470506;0,014313670673749;0
"C2A18";0,759678631836121;0,159509490697237;0,0466547641420786;0,0230219883480549;0,0109471903777485;0,000187934598759632
"C3A17";0,0747581354441513;0,915315994471667;0;0,00766427943208946;0,00226159065209197;0
"C3F18";0,0432107095624949;0,913632560524682;0,00806995762597501;0,0323338101535721;0,00245607406007935;0,000296888073196405
"C3A18";0,326353297212867;0,522916971738175;0,0639429882364426;0,0577927466198077;0,0286523161028945;0,000341680089813052
"C4A17";0,2042194092827;0,743459915611814;0;0,0523206751054852;0;0
"C4F18";0,0832654270686718;0,847803541003037;0,0195199644418105;0,0440402992814283;0,00537076820505223;0
"C4A18";0,374402573529412;0,477987132352941;0,0643841911764706;0,0597426470588235;0,0234834558823529;0
"F1A17";0,298601714027966;0,106450157870997;0,477522177116223;0,0974289580514208;0,0182679296346414;0,00172906329875207
"F1F18";0,0535817238397233;0,926167483424618;0,00778322283078697;0,0061256846353416;0,00583741712309023;0,000504468146439896
"F1A18";0,837931344356578;0,0696890726096334;0,0793943206326384;0,00921099928109274;0,00305535585909418;0,000718907260963336
"F2A17";0,593081207856933;0,142675657187531;0,155379654060393;0,0978207759210398;0,00908824391673996;0,00195446105736343
"F2F18";0,176410406313943;0,772288804443145;0,0222157263957907;0,0130566111273507;0,0142258598850239;0,00180259183474618
"F2A18";0,851022132116912;0,0898462578138199;0,0472714985639466;0,0079743199864842;0,00375063355296503;0,000135157965872614
"F3A17";0,72556297946053;0,0814154912150458;0,101954961643158;0,0796832467211086;0,0113833209601584;0
"F3F18";0,379899497487437;0,401220387652548;0,115290739411342;0,0449389806173726;0,0569992821249103;0,00165111270638909
"F3A18";0,904893141282305;0,0464874421506942;0,0373875513493838;0,00540793510477874;0,00202797566429203;0,00379595444854662
"F4A17";0,674360050356693;0,0469995803608896;0,173730591691146;0,0826689047419219;0,0113302559798573;0,0109106168694922
"F4F18";0,394328786791098;0,39332376166547;0,117516152189519;0,0395549174443647;0,0533381191672649;0,00193826274228284
"F4A18";0,745125473912259;0,106743094421376;0,125112836252031;0,0178281278209063;0,00519046759342842;0
"H1A17";0,842395984913729;0,0313604371454875;0,0194517862976272;0,091616428592641;0;0,0151753630505152
"H1F18";0,931660114907771;0,0267614151799214;0,020519244891788;0,00799170590522269;0,0085532852391032;0,00451423387619336
"H1A18";0,871013350009516;0,0711003561815166;0,0350743630876315;0,0166399303950624;0,000951630006253569;0,00522037032001958
"H2A17";0,896244409365956;0,0240726124704025;0,0172323072875559;0,0613983162325704;0;0,00105235464351486
"H2F18";0,911445279866333;0,0315740331220207;0,0376431274264092;0,0116959064327485;0,00687994496044032;0,000761708192048749
"H2A18";0,854229585526505;0,0813990278137314;0,0413898236833779;0,0167687749877758;0,000920413035349613;0,00529237495326028
"H3A17";0,883305113443955;0,0292583813071453;0,0496105655265831;0,0347104639349814;0;0,00311547578733491
"H3F18";0,926497161735448;0,0317958639823316;0,0258090422910544;0,0111705331556756;0,00459963129939584;0,000127767536094329
"H3A18";0,874933408542509;0,0616401867694525;0,0465670145091034;0,0123468396477704;0,00162953213625396;0,00288301839491085
"H4A17";0,868933190933903;0,0426308294766821;0,0467841461967485;0,0377951821526047;0,000326332028005221;0,00353031921205649
"H4F18";0,932638117569624;0,0342054383150274;0,0220083096795426;0,00830967954255626;0,00279731786581102;4,11370274383973e-05
"H4A18";0,805763073639274;0,12121427724416;0,0504683979603937;0,0206569429621724;0,000355745286374956;0,00154156290762481
"Ho1A17";0,231653076352854;0,604243884358784;0,0345626389918458;0,0642142327650111;0,00426241660489251;0,0610637509266123
"Ho1F18";0,901955128205128;0,0812820512820513;0,0140384615384615;0,000512820512820513;0;0,00221153846153846
"P1F18";0,841982637559045;0,104429975743649;0,0375973445678539;0,00453210774926593;0,0108196093450785;0,000638325035107877
"P1A18";0,177857912625383;0,670314183868026;0,0154604990466716;0,0151703556329271;0,00285998507833872;0,118337063748653
"P2F18";0,812077716354702;0,0996023664048104;0,0640416383797239;0,00960139656677335;0,0145475705557172;0,000129311738273042
"P3F18";0,833055361274009;0,0967880776887072;0,0571905094958842;0,00712863829558293;0,00583741324581697;0
"P4F18";0,820096674029258;0,117353308364544;0,0415506258202887;0,00524984794647716;0,0157495438394315;0
"Re1A17";0,231653076352854;0,604243884358784;0,0345626389918458;0,0642142327650111;0,00426241660489251;0,0610637509266123
"Re1F18";0,901955128205128;0,0812820512820513;0,0140384615384615;0,000512820512820513;0;0,00221153846153846
"L1A17";0,901657458563536;0,039427423405324;0,025414364640884;0,00155700652938222;0,0114515318935208;0,0204922149673531
"L1F18";0,306245669603088;0,117489854498664;0,0212808076808869;0,00296941502524003;0,00267247352271602;0,549341779669405
"L1A18";0,904151970793887;0,0579481467730957;0,0297939483942825;0,00430047645566487;0,00380545758307035;0
"L2A17";0,736181929430961;0,173618192943096;0,0506832551499082;0,00397715684274934;0,0224352437283296;0,0131042219049561
"L2F18";0,804654786249878;0,0539812380303178;0,0410620962768202;0,00675171227318467;0,00415489986042133;0,0893952673093777
"L2A18";0,87247191011236;0,0667415730337079;0,0458801498127341;0,00876404494382023;0,00614232209737828;0
"L3A17";0,818653793605975;0,121777939703069;0,0321522907368613;0,00259586483286274;0,0171691410875307;0,0076509700337007
"L3F18";0,448188614146061;0,0328349626221967;0,0198389879240943;0,00247268545140886;0,00230017251293847;0,494364577343301
"L3A18";0,847101546738399;0,117175521183591;0,022488231338265;0,0082044384667115;0,00503026227303295;0
"L4A17";0,923696481559983;0,0211012199142763;0,0191700814846215;0,00254345061466723;0,0124346474494842;0,0210541189769676
"L4F18";0,751163157479694;0,0561075624950714;0,031858686223484;0,00599321820045738;0,00512577872407539;0,149751596877218
"L4A18";0,884229449256414;0,062755352181729;0,0401699624121589;0,00571988887073051;0,00679849648635398;0,000326850792613172
"Q1A17";0,0720538720538721;0,685746352413019;0,0727272727272727;0,0188552188552189;0,0258136924803591;0,124803591470258
"Q1F18";0,303139013452915;0,482511210762332;0,202690582959641;0;0;0,0116591928251121
"Q2A17";0,316806115070757;0,586922838549737;0,0474124573907654;0,0387356678029129;0,00970974072926351;0,000413180456564405
"Q2F18";0,663944467129441;0,15557370355247;0,16278753232612;0,0155165373621886;0,00217775962978086;0
"Q3A17";0,225600193026903;0,646640125467487;0,0551333092049704;0,0597176981541802;0,0129086741464592;0
"Q3F18";0,568973234267299;0,157192731178945;0,25727329692955;0,013159072598693;0,00295407752215558;0,000447587503356906
"Q3A18";0,646741888884551;0,240268613594659;0,0599305040409167;0,0423613009018858;0,0105805645570609;0,000117128020926873
"Q4A17";0,276493119591431;0,602071215775287;0,0378777131508015;0,0764647467725919;0,00595829195630586;0,00113491275358207
