"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";0,126027397260274;0,873972602739726;0;0;0;0
"C1F18";0,762841209275022;0,227668525584581;0,00611486155953429;0,00273945797867136;0,000391351139810195;0,000244594462381372
"C1A18";0,774758902077151;0,199091246290801;0,016088649851632;0,00746476261127596;0,00148367952522255;0,00111275964391691
"C2A17";0,209345794392523;0,790654205607477;0;0;0;0
"C2F18";0,20083857442348;0,791494459418988;0,00736747529200359;0;0,000239592692422881;5,98981731057203e-05
"C2A18";0,808979795460214;0,172611623846346;0,0112746320778249;0,00503866300823148;0,00114741830880519;0,000947867298578199
"C3A17";0,0750754527162978;0,924924547283702;0;0;0;0
"C3F18";0,0447614224623002;0,9552385775377;0;0;0;0
"C3A18";0,374785163829905;0,599656262127848;0,0135277485169374;0,00349282031379941;0,00487886012086267;0,003659145090647
"C4A17";0,159379407616361;0,840620592383639;0;0;0;0
"C4F18";0,087757909215956;0,909098054627628;0,000117901355865592;0;0,00137551581843191;0,00165061898211829
"C4A18";0,429609634551495;0,543812292358804;0,0159364617940199;0,00638496677740864;0,00249169435215947;0,00176495016611296
"F1A17";0,463891150133736;0,199325502965461;0,063612047912548;0,0464007442725898;0,129433655076172;0,097336899639493
"F1F18";0,053879781420765;0,941785063752277;0,00433515482695811;0;0;0
"F1A18";0,891812169941481;0,0779770683667158;0,0194110090870165;0,00989580855416528;0,000428184023978305;0,000475760026642562
"F2A17";0,731938701045974;0,196789102408173;0,0335684748236439;0,0216492337630747;0,00863536852347361;0,00741911943566042
"F2F18";0,182584127945109;0,810302204732355;0,00504515412945866;0,00206851319307805;0;0
"F2A18";0,886668769937252;0,0953132120447295;0,0115679882216847;0,00602937567918113;0,000280436078101448;0,000140218039050724
"F3A17";0,8419696535929;0,107357572287432;0,0372172917263098;0;0,00687088462639565;0,0065845977669625
"F3F18";0,418684843624699;0,520208500400962;0,0364073777064956;0,0246992782678428;0;0
"F3A18";0,937246963562753;0,0487960792669934;0,00937566588536118;0,00458129128489239;0;0
"F4A17";0,856064690026954;0,0808625336927224;0,00269541778975741;0;0,032345013477089;0,0280323450134771
"F4F18";0,445148193260252;0,500771416971173;0,0323995127892814;0,0216808769792935;0;0
"F4A18";0,821430339024994;0,125365008661222;0,0332096015837664;0,0192526602326157;0,000346448898787429;0,000395941598614204
"H1A17";0,938937377625859;0,0524342083430126;0,003982344937444;0,00182524142966183;0,00172568280622573;0,0010951448577971
"H1F18";0,956901364417945;0,035908086018624;0,00410888546481767;0,00308166409861325;0;0
"H1A18";0,900120640799035;0,0844485593244115;0,0101562719187498;0,00527452795780378;0;0
"H2A17";0,96186560816558;0,0294159342217182;0,00375673376807485;0,00265806634533598;0,00131131273036575;0,000992344768925432
"H2F18";0,944402743626246;0,039679047495794;0,0103274233208231;0,00559078555713731;0;0
"H2A18";0,886274860601723;0,0991442287622626;0,0098398783433223;0,00474103229269165;0;0
"H3A17";0,921576939381094;0,0599830436625689;0,0120813904196694;0,00593471810089021;0,000211954217888936;0,000211954217888936
"H3F18";0,954405641621966;0,035428935819048;0,00654563186916238;0,00361979068982332;0;0
"H3A18";0,906490720577242;0,0718302076900575;0,0129684402119154;0,00871063152078526;0;0
"H4A17";0,871583475221794;0,111628879529229;0,0104848104668877;0,0059742509782836;0,000268841294022762;5,9742509782836e-05
"H4F18";0,952032021008492;0,039623880217709;0,00565450348376713;0,00268959529003156;0;0
