;Site;Vanadium;Iron;Niquel;Copper;Zinc;Molybdenum
C1A17;Cha;0;0.73;0;11.66;0;5.27
C1F18;Cha;5;28.7;14;15.2;28.8;17.8
C1A18;Cha;5;24.4;27.1;5;20;22.9
C2A17;Cha;0;0;0;24.34;0;6.39
C2F18;Cha;5;20.4;16;14;20.9;30
C2A18;Cha;5;36.1;26.1;5;20;21.7
C3A17;Cha;0;1.69;0;24.17;1.64;8.4
C3F18;Cha;5;27;15.6;18.9;24.9;21.6
C3A18;Cha;5;20;29;5;20;22.6
C4A17;Cha;0.15;2.07;0;13.13;1.37;5.81
C4F18;Cha;5;23;14.5;19.9;26.8;18.6
C4A18;Cha;5;29.2;29.5;21.6;20;21.7
F1A17;Fla;0;1.86;0;0.89;0;4.34
F1F18;Fla;5;34.8;13.5;5;20;17.7
F1A18;Fla;5;31.2;27.8;5;21.8;21.9
F2A17;Fla;0.15;0;0;0.61;0;5.3
F2F18;Fla;6.6;37.7;13.3;5;20;99.9
F2A18;Fla;5;27.1;26.5;5;20;21.7
F3A17;Fla;0.21;1.11;1.69;1.5;0;8.57
F3F18;Fla;5;21;13.4;5;20;17.6
F3A18;Fla;5;30.4;25.9;5;20;21.9
F4A17;Fla;0.11;0;0;0.83;0;5.38
F4F18;Fla;5;40.6;16.5;5;21.8;62.6
F4A18;Fla;5;38.9;28.4;5;20;22
H1A17;Hu;0.19;4.86;1.03;0.98;1.1;7
H1F18;Hu;5;35;13.1;5.7;20;17
H1A18;Hu;5;29;27.9;5;20;22
H2A17;Hu;0.2;0.92;1.61;0.68;0.69;7.78
H2F18;Hu;5;33.9;13;5;23.2;17.1
H2A18;Hu;5;56.7;28.8;5;43.2;22.3
H3A17;Hu;0.43;3.36;2.03;1.85;2.47;8.73
H3F18;Hu;5;46.6;13.3;5;20;25.1
H3A18;Hu;5;53.3;29.1;5;20;21.5
H4A17;Hu;0.31;4;2.01;2.15;2.1;7.5
H4F18;Hu;5;62.9;14.3;5;24;21.6
H4A18;Hu;5;23.5;28.8;5;20;21.2
P1F18;Pc;5;28.3;13.9;5;20;18.1
P1A18;Pc;5;25.2;26.8;5;20;20.5
P2F18;Pc;5;41.1;13.9;5;20;17.5
P3F18;Pc;5;37.7;14;5;20;16.9
P4F18;Pc;5;44.4;14.6;5;40.6;17.3
L1A17;LC;0;3.05;0.22;0.29;2.24;5.59
L2A17;LC;0.31;0.57;0.54;0;0;6.24
L3A17;LC;0;1.34;2.05;0.19;1.68;7.5
L4A17;LC;0.21;1.76;0.9;0.75;0;7.17
L1F18;LC;5;55.6;11.2;5;20;16.2
L2F18;LC;5;27.9;10.5;5;20;15.2
L3F18;LC;5;45.7;13.2;5;20;16.1
L4F18;LC;5;30.9;13.4;5;22.6;16.5
L1A18;LC;5;39.6;26.5;5;20.4;20.5
L2A18;LC;5;26.1;28.8;5;20;31.8
L3A18;LC;5;20;27.9;5;20;47.9
L4A18;LC;5;20;28.3;5;20;34.8
Q1A17;Qin;0.14;0;0.96;0.22;0.2;7.09
Q2A17;Qin;0.67;1.36;1.48;0.29;3.69;8.48
Q3A17;Qin;0.51;1.38;1.82;0.34;0.69;8.7
Q4A17;Qin;0.23;1.63;2.2;1.11;0.55;8.82
Q1F18;Qin;5;37;13.7;5;20;17.8
Q2F18;Qin;5;43.6;14.4;5;20;28.4
Q3F18;Qin;5;38.9;13.3;5;20;20.8
Q4F18;Qin;5;58.2;13.3;5;20;17.8
Q1A18;Qin;5;48.6;32.7;5.3;20.4;29.7
Q2A18;Qin;5;117.3;26.1;5;20;29.8
Q3A18;Qin;5;29.1;27.8;5;20;28.8
Q4A18;Qin;5;26.2;27.3;5;20;28.1
