;Chlorophyta;Ochrophyta;Cryptophyta;Haptophyta;Katablepharidophyta;Rhodophyta;sChlorophyta;sOchrophyta;sCryptophyta;sHaptophyta;sKatablepharidophyta;sRhodophyta;uChlorophyta;uOchrophyta;uCryptophyta;uHaptophyta;uKatablepharidophyta;uRhodophyta;dChlorophyta;dOchrophyta;dCryptophyta;dHaptophyta;dKatablepharidophyta;dRhodophyta
C1A17;907;6272;0;6642;0;0;830;264;0;6314;0;0;0;317;0;70;0;0;77;5691;0;258;0;0
C1F18;15645;4261;789;609;717;0;14931;981;532;339;604;0;0;330;0;17;22;0;714;2950;257;253;91;0
C1A18;16758;4265;1422;555;593;0;15592;3576;1258;197;50;0;126;41;0;22;0;0;1040;648;164;336;543;0
C2A17;114;435;11;92;6;0;114;39;11;92;0;0;0;8;0;0;0;0;0;388;0;0;6;0
C2F18;3365;12998;821;417;257;0;3024;1540;630;249;142;0;0;441;0;42;2;0;341;11017;191;126;113;0
C2A18;16281;3415;1041;404;233;4;14290;2189;866;126;22;0;190;219;0;56;0;0;1801;1007;175;222;211;4
C3A17;597;7271;0;61;18;0;479;3506;0;46;0;0;0;227;0;0;0;0;118;3538;0;15;18;0
C3F18;1579;33787;299;1219;82;11;1004;9442;160;678;15;0;14;1192;0;265;0;0;561;23153;139;276;67;11
C3A18;6700;10574;1370;1189;584;0;5370;4275;1109;390;69;0;16;475;0;90;0;0;1314;5824;261;709;515;0
C4A17;238;892;0;58;0;0;136;71;0;58;0;0;0;27;0;0;0;0;102;794;0;0;0;0
C4F18;2226;22807;560;1179;145;0;1567;5164;329;613;18;0;54;964;0;194;0;0;605;16679;231;372;127;0
C4A18;8256;10330;1451;1227;509;0;7133;6557;1338;400;73;0;91;434;0;151;0;0;1032;3339;113;676;436;0
F1A17;3966;1388;6689;1275;241;16;3764;245;3583;709;0;0;70;144;0;145;0;0;132;999;3106;421;241;16
F1F18;1496;25667;216;169;153;14;1378;552;138;75;150;0;0;41;0;0;0;6;118;25074;78;94;3;8
F1A18;18753;1515;1849;171;68;16;16962;670;1628;42;49;0;0;66;0;0;0;16;1791;779;221;129;19;0
F2A17;6016;1465;1690;993;93;14;5678;369;1352;605;0;0;17;261;0;132;0;14;321;835;338;256;93;0
F2F18;3617;15786;456;264;292;23;3419;517;322;103;292;0;0;87;0;32;0;0;198;15182;134;129;0;23
F2A18;25217;2551;1485;218;111;0;24670;1477;1324;86;82;0;17;54;0;0;0;0;530;1020;161;132;29;0
F3A17;2956;300;404;302;46;0;2808;87;323;206;0;0;14;38;0;0;0;0;134;175;81;96;46;0
F3F18;5242;5482;1649;622;792;0;5028;664;1532;192;728;0;28;199;0;51;0;0;186;4619;117;379;64;0
