"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";77;6008;0;328;0;0
"C1F18";714;3280;257;270;113;0
"C1A18";1166;689;164;358;543;0
"C2A17";0;396;0;0;6;0
"C2F18";341;11458;191;168;115;0
"C2A18";1991;1226;175;278;211;4
"C3A17";118;3765;0;15;18;0
"C3F18";575;24345;139;541;67;11
"C3A18";1330;6299;261;799;515;0
"C4A17";102;821;0;0;0;0
"C4F18";659;17643;231;566;127;0
"C4A18";1123;3773;113;827;436;0
"F1A17";202;1143;3106;566;241;16
"F1F18";118;25115;78;94;3;14
"F1A18";1791;845;221;129;19;16
"F2A17";338;1096;338;388;93;14
"F2F18";198;15269;134;161;0;23
"F2A18";547;1074;161;132;29;0
"F3A17";148;213;81;96;46;0
"F3F18";214;4818;117;430;64;0
"F3A18";2365;420;71;79;2;70
"F4A17";116;68;162;83;21;26
"F4F18";120;4644;177;398;70;27
"F4A18";910;1134;402;244;26;0
"H1A17";2188;623;121;875;0;567
"H1F18";465;798;64;282;20;185
"H1A18";751;749;161;442;13;173
"H2A17";1816;416;91;468;0;16
"H2F18";1011;792;294;370;20;25
"H2A18";566;642;173;396;4;153
"H3A17";1739;367;176;565;0;80
"H3F18";1670;822;69;549;30;7
"H3A18";256;608;187;221;5;66
"H4A17";6720;565;184;741;8;106
"H4F18";874;911;113;317;36;2
"H4A18";836;1133;178;453;0;63
"P1F18";699;278;137;66;101;11
"P1A18";442;13935;0;187;63;2717
"P2F18";1622;501;144;219;84;0
"P3F18";11696;269;217;209;53;0
"P4F18";992;562;167;130;90;0
"L1A17";401;457;0;11;121;363
"L1F18";476;850;12;28;14;5320
"L1A18";10986;1484;312;156;123;0
"L2A17";290;2437;0;34;259;243
"L2F18";5296;965;360;199;59;2625
"L2A18";870;1401;58;234;123;0
"L3A17";463;2418;0;33;262;155
"L3F18";121;344;43;28;31;8559
"L3A18";4930;3336;45;48;186;0
"L4A17";347;225;0;33;182;416
"L4F18";601;651;149;65;79;3753
"L4A18";295;1569;86;118;196;4
"Q1A17";66;2689;0;20;27;553
"Q1F18";176;230;67;0;0;13
"Q2A17";425;5107;15;231;44;2
"Q2F18";359;682;684;66;0;0
"Q3A17";188;4751;0;352;56;0
"Q3F18";591;1124;461;77;31;14
"Q3A18";950;4707;200;878;142;0
"Q4A17";341;3627;13;424;13;8
"Q4F18";208;498;362;53;0;13
"Q4A18";1505;3988;0;588;41;0
