"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta"
"C1A17";830;264;0;6314;0
"C1F18";14931;981;532;339;604
"C1A18";15592;3576;1258;197;50
"C2A17";114;39;11;92;0
"C2F18";3024;1540;630;249;142
"C2A18";14290;2189;866;126;22
"C3A17";479;3506;0;46;0
"C3F18";1004;9442;160;678;15
"C3A18";5370;4275;1109;390;69
"C4A17";136;71;0;58;0
"C4F18";1567;5164;329;613;18
"C4A18";7133;6557;1338;400;73
"F1A17";3764;245;3583;709;0
"F1F18";1378;552;138;75;150
"F1A18";16962;670;1628;42;49
"F2A17";5678;369;1352;605;0
"F2F18";3419;517;322;103;292
"F2A18";24670;1477;1324;86;82
"F3A17";2808;87;323;206;0
"F3F18";5028;664;1532;192;728
"F3A18";15201;443;677;21;37
"F4A17";1483;42;312;114;0
"F4F18";5320;755;1510;147;664
"F4A18";15558;1179;2445;104;89
"H1A17";26119;380;517;2216;0
"H1F18";42751;433;956;86;396
"H1A18";31468;1787;1178;169;22
"H2A17";25246;292;463;1399;0
"H2F18";36039;468;1286;75;260
"H2A18";29163;2054;1322;171;29
"H3A17";24326;489;1357;439;0
"H3F18";49254;914;1387;63;222
"H3A18";27402;1342;1349;157;47
"H4A17";22250;813;1459;513;0
"H4F18";44344;725;988;86;120
"H4A18";33109;3913;2040;392;15
"P1F18";25749;2965;1102;71;238
"P1A18";3849;2374;402;178;0
"P2F18";23383;2564;1892;78;366
"P3F18";19139;3284;1932;56;162
"P4F18";24483;3126;1170;34;402
"L1A17";17537;208;557;20;100
"L1F18";2653;267;220;0;13
"L1A18";18223;379;720;0;0
"L2A17";14121;442;1077;44;195
"L2F18";19506;631;943;0;69
"L2A18";22557;372;1232;0;41
"L3A17";17292;209;773;24;116
"L3F18";7652;186;303;15;9
"L3A18";26572;928;865;255;0
"L4A17";19200;131;469;21;80
"L4F18";18438;707;717;86;49
"L4A18";26725;325;1159;57;12
"Q1A17";241;241;324;22;88
"Q1F18";159;299;159;0;0
"Q2A17";2625;475;409;144;48
"Q2F18";4507;416;512;48;16
"Q3A17";1641;516;457;143;50
"Q3F18";5770;609;2413;56;0
"Q3A18";15616;1291;1373;139;127
"Q4A17";1573;645;260;94;29
"Q4F18";1131;421;342;16;33
"Q4A18";25980;533;939;126;74
