"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";907;6272;0;6642;0;0
"C1F18";15645;4261;789;609;717;0
"C1A18";16758;4265;1422;555;593;0
"C2A17";114;435;11;92;6;0
"C2F18";3365;12998;821;417;257;0
"C2A18";16281;3415;1041;404;233;4
"C3A17";597;7271;0;61;18;0
"C3F18";1579;33787;299;1219;82;11
"C3A18";6700;10574;1370;1189;584;0
"C4A17";238;892;0;58;0;0
"C4F18";2226;22807;560;1179;145;0
"C4A18";8256;10330;1451;1227;509;0
"F1A17";3966;1388;6689;1275;241;16
"F1F18";1496;25667;216;169;153;14
"F1A18";18753;1515;1849;171;68;16
"F2A17";6016;1465;1690;993;93;14
"F2F18";3617;15786;456;264;292;23
"F2A18";25217;2551;1485;218;111;0
"F3A17";2956;300;404;302;46;0
"F3F18";5242;5482;1649;622;792;0
"F3A18";17566;863;748;100;39;70
"F4A17";1599;110;474;197;21;26
"F4F18";5440;5399;1687;545;734;27
"F4A18";16468;2313;2847;348;115;0
"H1A17";28307;1003;638;3091;0;567
"H1F18";43216;1231;1020;368;416;185
"H1A18";32219;2536;1339;611;35;173
"H2A17";27062;708;554;1867;0;16
"H2F18";37050;1260;1580;445;280;25
"H2A18";29729;2696;1495;567;33;153
"H3A17";26065;856;1533;1004;0;80
"H3F18";50924;1736;1456;612;252;7
"H3A18";27658;1950;1536;378;52;66
"H4A17";28970;1378;1643;1254;8;106
"H4F18";45218;1636;1101;403;156;2
"H4A18";33945;5046;2218;845;15;63
"P1F18";26448;3243;1239;137;339;11
"P1A18";4291;16309;402;365;63;2717
"P2F18";25005;3065;2036;297;450;0
"P3F18";30835;3553;2149;265;215;0
"P4F18";25475;3688;1337;164;492;0
"L1A17";17938;665;557;31;221;363
"L1F18";3129;1117;232;28;27;5320
"L1A18";29209;1863;1032;156;123;0
"L2A17";14411;2879;1077;78;454;243
"L2F18";24802;1596;1303;199;128;2625
"L2A18";23427;1773;1290;234;164;0
"L3A17";17755;2627;773;57;378;155
"L3F18";7773;530;346;43;40;8559
"L3A18";31502;4264;910;303;186;0
"L4A17";19547;356;469;54;262;416
"L4F18";19039;1358;866;151;128;3753
"L4A18";27020;1894;1245;175;208;4
"Q1A17";307;2930;324;42;115;553
"Q1F18";335;529;226;0;0;13
"Q2A17";3050;5582;424;375;92;2
"Q2F18";4866;1098;1196;114;16;0
"Q3A17";1829;5267;457;495;106;0
"Q3F18";6361;1733;2874;133;31;14
"Q3A18";16566;5998;1573;1017;269;0
"Q4A17";1914;4272;273;518;42;8
"Q4F18";1339;919;704;69;33;13
"Q4A18";27485;4521;939;714;115;0
