;Chlorophyta;Ochrophyta;Cryptophyta;Haptophyta;Katablepharidophyta;Rhodophyta
C1A17;0;317;0;70;0;0
C1F18;0;330;0;17;22;0
C1A18;126;41;0;22;0;0
C2A17;0;8;0;0;0;0
C2F18;0;441;0;42;2;0
C2A18;190;219;0;56;0;0
C3A17;0;227;0;0;0;0
C3F18;14;1192;0;265;0;0
C3A18;16;475;0;90;0;0
C4A17;0;27;0;0;0;0
C4F18;54;964;0;194;0;0
C4A18;91;434;0;151;0;0
F1A17;70;144;0;145;0;0
F1F18;0;41;0;0;0;6
F1A18;0;66;0;0;0;16
F2A17;17;261;0;132;0;14
F2F18;0;87;0;32;0;0
F2A18;17;54;0;0;0;0
F3A17;14;38;0;0;0;0
F3F18;28;199;0;51;0;0
F3A18;20;51;0;0;0;46
F4A17;12;15;0;0;0;0
F4F18;12;197;0;40;0;9
F4A18;5;86;0;36;0;0
H1A17;31;79;0;132;0;210
H1F18;24;72;0;0;0;18
H1A18;449;41;0;22;0;18
H2A17;621;0;0;24;0;16
H2F18;15;31;0;0;0;0
H2A18;331;115;0;94;0;44
H3A17;231;47;0;52;0;16
H3F18;674;181;0;40;0;0
H3A18;44;50;0;11;0;0
H4A17;2083;201;0;201;0;16
H4F18;184;28;0;12;0;0
H4A18;54;22;0;12;0;0
P1F18;0;21;0;0;0;0
P1A18;15;2939;0;40;0;1073
P2F18;0;116;20;16;0;0
P3F18;68;30;30;34;0;0
P4F18;0;65;0;11;0;0
L1A17;17;82;0;11;0;175
L1F18;84;122;0;0;0;2500
L1A18;1031;342;312;0;30;0
L2A17;150;432;0;0;62;99
L2F18;112;209;0;0;0;958
L2A18;315;431;0;127;0;0
L3A17;55;14;0;0;98;48
L3F18;0;57;0;0;0;2154
L3A18;665;1207;45;26;0;0
L4A17;64;6;0;0;0;229
L4F18;62;172;0;0;0;1075
L4A18;61;181;0;15;12;4
Q1A17;26;907;0;0;12;212
Q1F18;0;0;0;0;0;0
Q2A17;0;2313;0;0;0;0
Q2F18;0;115;11;41;0;0
Q3A17;17;2485;0;0;0;0
Q3F18;0;71;0;72;25;0
Q3A18;75;555;115;132;25;0
Q4A17;269;1513;0;40;0;0
Q4F18;67;0;0;15;0;0
Q4A18;142;629;0;193;0;0
