"";"Haptophyta";"Ochrophyta";"Chlorophyta";"Rhodophyta"
"C1A17";0;0;0;0
"C1F18";0;0;0;0
"C1A18";0;0;0;0
"C2A17";0;0;0;0
"C2F18";0;0;0;0
"C2A18";0;0;0;0
"C3A17";0;0;0;0
"C3F18";0;0;0;0
"C3A18";0;0;0;0
"C4A17";0;0;0;0
"C4F18";0;0;0;0
"C4A18";0;0;0;0
"F1A17";145;144;70;0
"F1F18";0;41;0;6
"F1A18";0;66;0;16
"F2A17";132;261;17;14
"F2F18";32;87;0;0
"F2A18";0;54;17;0
"F3A17";0;38;14;0
"F3F18";51;199;28;0
"F3A18";0;51;20;46
"F4A17";0;15;12;0
"F4F18";40;197;12;9
"F4A18";36;86;5;0
"H1A17";0;0;0;0
"H1F18";0;0;0;0
"H1A18";0;0;0;0
"H2A17";0;0;0;0
"H2F18";0;0;0;0
"H2A18";0;0;0;0
"H3A17";0;0;0;0
"H3F18";0;0;0;0
"H3A18";0;0;0;0
"H4A17";0;0;0;0
"H4F18";0;0;0;0
"H4A18";0;0;0;0
"P1F18";0;0;0;0
"P1A18";0;0;0;0
"P2F18";0;0;0;0
"P3F18";0;0;0;0
"P4F18";0;0;0;0
"L1A17";0;0;0;0
"L1F18";0;0;0;0
"L1A18";0;0;0;0
"L2A17";0;0;0;0
"L2F18";0;0;0;0
"L2A18";0;0;0;0
"L3A17";0;0;0;0
"L3F18";0;0;0;0
"L3A18";0;0;0;0
"L4A17";0;0;0;0
"L4F18";0;0;0;0
"L4A18";0;0;0;0
"Q1A17";0;0;0;0
"Q1F18";0;0;0;0
"Q2A17";0;0;0;0
"Q2F18";0;0;0;0
"Q3A17";0;0;0;0
"Q3F18";0;0;0;0
"Q3A18";0;0;0;0
"Q4A17";0;0;0;0
"Q4F18";0;0;0;0
"Q4A18";0;0;0;0
