"";"Chlorophyta";"Rhodophyta";"Ochrophyta";"Haptophyta"
"C1A17";0;0;0;0
"C1F18";0;0;0;0
"C1A18";0;0;0;0
"C2A17";0;0;0;0
"C2F18";0;0;0;0
"C2A18";0;0;0;0
"C3A17";0;0;0;0
"C3F18";0;0;0;0
"C3A18";0;0;0;0
"C4A17";0;0;0;0
"C4F18";0;0;0;0
"C4A18";0;0;0;0
"F1A17";0;0;0;0
"F1F18";0;0;0;0
"F1A18";0;0;0;0
"F2A17";0;0;0;0
"F2F18";0;0;0;0
"F2A18";0;0;0;0
"F3A17";0;0;0;0
"F3F18";0;0;0;0
"F3A18";0;0;0;0
"F4A17";0;0;0;0
"F4F18";0;0;0;0
"F4A18";0;0;0;0
"H1A17";31;210;79;132
"H1F18";24;18;72;0
"H1A18";449;18;41;22
"H2A17";621;16;0;24
"H2F18";15;0;31;0
"H2A18";331;44;115;94
"H3A17";231;16;47;52
"H3F18";674;0;181;40
"H3A18";44;0;50;11
"H4A17";2083;16;201;201
"H4F18";184;0;28;12
"H4A18";54;0;22;12
"P1F18";0;0;0;0
"P1A18";0;0;0;0
"P2F18";0;0;0;0
"P3F18";0;0;0;0
"P4F18";0;0;0;0
"L1A17";0;0;0;0
"L1F18";0;0;0;0
"L1A18";0;0;0;0
"L2A17";0;0;0;0
"L2F18";0;0;0;0
"L2A18";0;0;0;0
"L3A17";0;0;0;0
"L3F18";0;0;0;0
"L3A18";0;0;0;0
"L4A17";0;0;0;0
"L4F18";0;0;0;0
"L4A18";0;0;0;0
"Q1A17";0;0;0;0
"Q1F18";0;0;0;0
"Q2A17";0;0;0;0
"Q2F18";0;0;0;0
"Q3A17";0;0;0;0
"Q3F18";0;0;0;0
"Q3A18";0;0;0;0
"Q4A17";0;0;0;0
"Q4F18";0;0;0;0
"Q4A18";0;0;0;0
