"";"Ochrophyta";"Rhodophyta";"Haptophyta";"Chlorophyta";"Katablepharidophyta";"Cryptophyta"
"C1A17";0;0;0;0;0;0
"C1F18";0;0;0;0;0;0
"C1A18";0;0;0;0;0;0
"C2A17";0;0;0;0;0;0
"C2F18";0;0;0;0;0;0
"C2A18";0;0;0;0;0;0
"C3A17";0;0;0;0;0;0
"C3F18";0;0;0;0;0;0
"C3A18";0;0;0;0;0;0
"C4A17";0;0;0;0;0;0
"C4F18";0;0;0;0;0;0
"C4A18";0;0;0;0;0;0
"F1A17";0;0;0;0;0;0
"F1F18";0;0;0;0;0;0
"F1A18";0;0;0;0;0;0
"F2A17";0;0;0;0;0;0
"F2F18";0;0;0;0;0;0
"F2A18";0;0;0;0;0;0
"F3A17";0;0;0;0;0;0
"F3F18";0;0;0;0;0;0
"F3A18";0;0;0;0;0;0
"F4A17";0;0;0;0;0;0
"F4F18";0;0;0;0;0;0
"F4A18";0;0;0;0;0;0
"H1A17";0;0;0;0;0;0
"H1F18";0;0;0;0;0;0
"H1A18";0;0;0;0;0;0
"H2A17";0;0;0;0;0;0
"H2F18";0;0;0;0;0;0
"H2A18";0;0;0;0;0;0
"H3A17";0;0;0;0;0;0
"H3F18";0;0;0;0;0;0
"H3A18";0;0;0;0;0;0
"H4A17";0;0;0;0;0;0
"H4F18";0;0;0;0;0;0
"H4A18";0;0;0;0;0;0
"P1F18";0;0;0;0;0;0
"P1A18";0;0;0;0;0;0
"P2F18";0;0;0;0;0;0
"P3F18";0;0;0;0;0;0
"P4F18";0;0;0;0;0;0
"L1A17";0;0;0;0;0;0
"L1F18";0;0;0;0;0;0
"L1A18";0;0;0;0;0;0
"L2A17";0;0;0;0;0;0
"L2F18";0;0;0;0;0;0
"L2A18";0;0;0;0;0;0
"L3A17";0;0;0;0;0;0
"L3F18";0;0;0;0;0;0
"L3A18";0;0;0;0;0;0
"L4A17";0;0;0;0;0;0
"L4F18";0;0;0;0;0;0
"L4A18";0;0;0;0;0;0
"Q1A17";907;212;0;26;12;0
"Q1F18";0;0;0;0;0;0
"Q2A17";2313;0;0;0;0;0
"Q2F18";115;0;41;0;0;11
"Q3A17";2485;0;0;17;0;0
"Q3F18";71;0;72;0;25;0
"Q3A18";555;0;132;75;25;115
"Q4A17";1513;0;40;269;0;0
"Q4F18";0;0;15;67;0;0
"Q4A18";629;0;193;142;0;0
