"";"Chlorophyta";"Fungi";"Dinoflagellata";"Ochrophyta";"Ciliophora";"Metazoa";"Sagenista";"Cryptophyta";"Opalozoa";"Picozoa";"Haptophyta";"Rhodophyta";"Pseudofungi";"Cercozoa";"Stramenopiles_X";"Katablepharidophyta";"Telonemia";"Streptophyta";"Prasinodermophyta";"Choanoflagellida";"Apicomplexa";"Centroheliozoa";"Conosa";"Radiolaria";"Mesomycetozoa";"Lobosa";"Apusomonadidae";"Alveolata_X";"Metamonada";"Hilomonadea";"Chrompodellids";"Foraminifera";"Perkinsea";"Opisthokonta_X"
"C1A17";0,0158605801037641;0,57038894111912;0,0395731049131237;0,111302621957589;0,0880079389950904;0,00315122392840976;0,00454403008461297;0;0,00851352762979212;8,70503847627007e-05;0,115237299348863;0;0,021692955882865;0,00452662000766043;0,00170618754134893;0,000104460461715241;0,00215884954211498;0;0;0,000261151154288102;0;0;0,0121174135589679;0;0;0;0,000243741077335562;0;0;0;0,000522302308576204;0;0;0
"C1F18";0,258717604337661;0,0967683098708319;0,368668026331062;0,077467707970618;0,0263144804258071;0,0162496476479464;0,0552322207299076;0,0156693030890912;0,0225836939760235;0,00318360443714868;0,0095010694921156;0;0,00542207630701885;0,0235619890895223;0,000845644928617619;0,0105788522442753;0,00295146661360659;0;0,00223847186987017;0,00213898423120927;0;0,00152547712613374;0;0;0,00026530036976239;0;0;0;0;0,000116068911771046;0;0;0;0
"C1A18";0,379235891724812;0,0773653946680606;0,259755903543262;0,0966612877565399;0,0649332939384986;0,0171367531080252;0,00931839359985454;0,0354098956794473;0,00950021591399805;0,00288642923702811;0,011363894633969;0;0,00359099070433419;0,000772744835109889;0;0,0125684674651697;0,0165912861655947;0;0,00229550671606173;0;0;0,000613650310234323;0;0;0;0;0;0;0;0;0;0;0;0
"C2A17";0,00200968957473533;0,95277229499372;0,0248160775165979;0,00762605418984389;0,00579580118428136;0,00102278844428495;0,000735689933608469;0,000179436569172797;0,00068185896285663;0;0,00163287277947246;0;0,00122016867037502;0,000305042167593756;0;0,000107661941503678;0,00068185896285663;0,000412704109097434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";0,0618885306310456;0,0282818977429756;0,479078765545831;0,247756794104099;0,0374389682174113;0,0210041455550438;0,0526209120221096;0,0175771533855366;0,0147950253339475;0,00337171810225702;0,0075541225241824;0;0,00499309074159374;0,0130631045601105;0,000294795025333947;0,00421925380009212;0,00130815292491939;0;0,00165822201750345;0,00180561953017043;0;0,000810686319668356;0;0;0,000460617227084293;0;0;0;0;1,84246890833717e-05;0;0;0;0
"C2A18";0,305362182502352;0,149219190968956;0,332624647224835;0,0641392285983067;0,0447601128880527;0,0396613358419567;0,00888052681091251;0,0201505174035748;0,0044590780809031;0,00148635936030103;0,00793979303857009;0;0,00210724365004704;0,00137347130761994;0;0,00404515522107244;0,00327375352775165;0;0,00735653809971778;0,000206961429915334;0,000244590780809031;0,000225776105362183;0,00120413922859831;0,00112888052681091;0,000150517403574788;0;0;0;0;0;0;0;0;0
"C3A17";0,0087207598053585;0,785850384006566;0,0563258486251979;0,120082664008911;0,00507123175235974;0,00152430087354165;0,00619980066834731;0;0,000483672392566102;0;0,000894061089288855;0;0,000982001524300873;0,0130444978601161;0,000263821305036056;0,000263821305036056;0,000249164565867386;0;0;0;4,39702175060093e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3F18";0,0237954947196664;0,0769312121349469;0,117814138300926;0,549215126380516;0,101421686382934;0,038752662829171;0,0274214748674251;0,00486485669824291;0,00670806327335358;7,55412530783061e-05;0,0179334934807899;0,000166190756772273;0,00811313058061007;0,0180241429844838;0,00193385607880464;0,000830953783861367;0,00320294913052018;7,55412530783061e-05;0,000392814516007192;0,00163169106649141;0;0,00012086600492529;0;0;0,000105757754309628;6,04330024626448e-05;0;0;0;0;0,000407922766622853;0;0;0
"C3A18";0,144077619885803;0,00856480487700167;0,267462327737947;0,230004722448804;0,0874511655862276;0,112286953161894;0,0103249903404456;0,0337869746275705;0,0283990898553213;0,00118061220109046;0,0255656205727042;0;0,0119993130983557;0,0020821706091959;0;0,0125144893315588;0,0116987936289873;0;0,00691194779547504;0,00191044519812819;0,000923024084488902;0,00180311681621088;0,000493710556819645;0;0;0,000171725411067703;0,000386382174902331;0;0;0;0;0;0;0
"C4A17";0,00395505932588989;0,924293864407966;0,0324629869448042;0,0213678205173078;0,00656259843897658;0,00245003675055126;0,00180252703790557;0;0,00108501627524413;0;0,00101501522522838;0;0,000840012600189003;0,00399005985089776;0;0;0,000175002625039376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C4F18";0,0434115842868939;0,0692068735008454;0,157288348865558;0,477842003853565;0,0927608037434627;0,0391451378239157;0,0336007235264048;0,0102434037198695;0,0121505249498643;0,000353898784947505;0,0232590145884944;0;0,00898509692894499;0,0222366403208682;0,00239864732019976;0,00247729149463253;0,00202508749164406;0,000275254610514726;0,00033423774133931;0,00174983288112933;0,000157288348865558;9,83052180409736e-05;0;0;0;0;0;0;0;0;0;0;0;0
"C4A18";0,170672174239579;0,0722868944799099;0,245691993157258;0,216234822881462;0,0844077272916927;0,0678432845162098;0,0175240956314933;0,0356114657654275;0,0295823423874494;0,00185671965619393;0,0230525305628573;0;0,0068844661409438;0,00440188592648225;0,000417240372178412;0,00970083865314808;0,0081987733133058;0;0,00179413360036717;0,000959652856010348;0,000500688446614094;0,00106396294905495;0;0;0,000250344223307047;0,000250344223307047;0,000646722576876539;0;0;0,000166896148871365;0;0;0;0
"F1A17";0,0851238243161619;0,160475450858573;0,167486409526275;0,0363922685305031;0,217512296142894;0,026210199326948;0,022995944430063;0,149257916990249;0,029704892570541;0,0491414272154629;0,0271162309086202;0,000345154888256105;0,0123608594356718;0,00243765639830874;0;0,00513417896280956;0,00312796617482095;0,000129433083096039;0;0,00228665113469669;0;0,00276123910604884;0;0;0;0;0;0;0;0;0;0;0;0
"F1F18";0,028023542813746;0,123523827605848;0,260015188912094;0,490374026960319;0,0078222897284982;0,023903550408202;0,0373647237516613;0,00556293905449022;0,00776533130814505;0,00212644769318398;0,00320865767989368;0,000265805961647997;0,00149990506929941;0,00339851908107082;5,69584203531422e-05;0,00292386557812797;0,000341750522118853;0;0,000854376305297133;0,000398708942471995;0;0;0;0;0,000569584203531422;0;0;0;0;0;0;0;0;0
"F1A18";0,346038877852249;0,0805035183156644;0,434785837619056;0,0299288910343291;0,0112883162213847;0,0220382094651046;0,0145002877777984;0,0356101817641707;0,00293347691279404;0,00410315441599673;0,00328623679471232;0,000167096786171813;0,00137390690852379;0,00100258071703088;0;0,000686953454261896;0,0010954122649041;0;0,00811347728412024;0,000854050240433709;0,00098401440745623;0,000501290358515438;0;0,000204229405321104;0;0;0;0;0;0;0;0;0;0
"F2A17";0,121616137018548;0,407281139656642;0,199480498396851;0,0321035756321279;0,00957831080806851;0,0296075327732457;0,028329071796745;0,0354722188400503;0,0384147083891392;0,0527618815698689;0,0196030683063436;0,000284102439222371;0,00347010836478753;0,0057429278785665;0,000669670035309875;0,00152197735297699;0,00231340557652502;0;0,000284102439222371;0,00316571289419213;6,08790941190795e-05;0,00564146272170137;0,0016843216039612;0,000588497909817769;0,000324688501968424;0;0;0;0;0;0;0;0;0
"F2F18";0,0614452691749851;0,184608821772886;0,306270796007167;0,2736626567699;0,00704718027472059;0,0744816995136934;0,0484600290077638;0,00795153997099224;0,0143161846258852;0,00366862895657367;0,00385632625202628;0,000392457981400904;0,00228649432642266;0,00419759406194011;0,000273014247931064;0,00378807269004351;0,000784915962801809;3,4126780991383e-05;0,0011944373346984;0,000477774933879362;0,000392457981400904;0;0;0;0,000273014247931064;0;0;0;0;0,000136507123965532;0;0;0;0
"F2A18";0,448216196931859;0,0209953621120228;0,305672493756689;0,0469675347841598;0,0712094184801998;0,0178201926507314;0,0387263646093471;0,0286122012129861;0,00511951480556547;0,00483410631466286;0,0039065287192294;0;0,00162326079200856;0,00123082411701748;0,000124866214769889;0,000874063503389226;0,000909739564752051;0;0,00190866928291117;0,000749197288619336;7,13521227256511e-05;0,000428112736353907;0;0;0;0;0;0;0;0;0;0;0;0
"F3A17";0,0574268360022087;0,668040545870474;0,167863059083379;0,00666561489311351;0,0102153506350083;0,0359903762719886;0,00761221109095212;0,0103336751597381;0,0102350713891299;0,0122268675554153;0,00603455076122111;0;0,00149877731324446;0,00165654334621756;9,86037706081881e-05;0,00090715468959533;0,000276090557702927;0;0;0,000788830164865504;0;0,00212984144513686;0;0;0;0;0;0;0;0;0;0;0;0
"F3F18";0,085978835978836;0,0481481481481481;0,451521164021164;0,10707671957672;0,0189484126984127;0,0888723544973545;0,0891699735449735;0,0279100529100529;0,0262731481481481;0,0142195767195767;0,00978835978835979;0;0,00491071428571429;0,00887896825396825;0,0009755291005291;0,0100033068783069;0,00130621693121693;0;0,00150462962962963;0,00373677248677249;0;0,000115740740740741;0;0,000248015873015873;0,000148809523809524;0;0;0;0;0,000264550264550265;0;0;0;0
