"";"Mamiellophyceae";"Bacillariophyta";"Trebouxiophyceae";"Chlorodendrophyceae";"Cryptophyceae";"Chloropicophyceae";"Prymnesiophyceae";"Pelagophyceae";"Phaeophyceae";"Pyramimonadophyceae";"Ulvophyceae";"Cryptophyceae:nucl";"Katablepharidaceae";"Florideophyceae";"Chrysophyceae";"Bolidophyceae";"Dictyochophyceae";"MOCH-3";"MOCH-5";"Haptophyta_Clade_HAP3";"MOCH-2";"NA";"MOCH-1";"Prasino-Clade-9";"Xanthophyceae";"Chlorophyceae";"Haptophyta_Clade_HAP5";"Nephroselmidophyceae";"MOCH-4";"Prasino-Clade-VIII";"Bangiophyceae";"Haptophyta_Clade_HAP4"
"C1A17";0,0566444109412018;0,373034675856127;0,00172302390695671;0;0;0;0,475195635006102;0;0,00172302390695671;0,00703568095340656;0;0;0,000430755976739177;0;0,0610955560341733;0;0,0231172374183358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1F18";0,525210645981008;0,123266907404931;0;0,00325442468013018;0,0333912888413357;0,0478355846819134;0,0255450046810218;0,011724845080469;0;0,119299184164772;0;0,00873790736034952;0,0284427800811377;0;0,0513129151620525;0,00655343052026214;0,015425081360617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1A18";0,56;0,00318471337579618;0,00373673036093418;0;0,0566454352441614;0,130530785562633;0,0200849256900212;0,158174097664544;0;0,0130785562632696;0;0,00951167728237792;0,0234819532908705;0;0,00726114649681529;0,00199575371549894;0,00679405520169851;0;0;0,00114649681528662;0,00318471337579618;0;0;0,00118895966029724;0;0;0;0;0;0;0;0
"C2A17";0,0419254658385093;0,591614906832298;0,0543478260869565;0;0,015527950310559;0,0357142857142857;0,141304347826087;0;0,015527950310559;0,0419254658385093;0;0;0,0093167701863354;0;0,0357142857142857;0;0,0170807453416149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";0,103755638893418;0,666612315886733;0;0,00673949671177781;0,0364693733355074;0,0141855535626936;0,0222838197728137;0,0158704277406381;0,00119571715854123;0,057883580629382;0;0,0153812707212349;0,0124463286048155;0;0,0344040436980271;0,00228273275721507;0,0104897005272026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A18";0,423291328992364;0,027919613997283;0,00524663887197264;0,00290438937555628;0,045673865180119;0,314892022298215;0,0190190659109008;0,114863915304258;0;0,0107275026935869;0;0,00449711903311941;0,0100716728345903;0;0,00323230430505457;0,00234224949641636;0,00749519838853235;0;0;0,000749519838853235;0,00210802454677472;0;0,00173326462734811;0,00323230430505457;0;0;0;0;0;0;0;0
"C3A17";0,00462388632006316;0,882260065411075;0,013758881245066;0,00338333145370475;0;0,00834555091913838;0,00687944062253299;0;0;0,0362016465546408;0,000789444005864441;0;0,00202999887222285;0;0,0342844253975414;0;0,00744332919815045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3F18";0,0113918282618602;0,880790846033112;0;0,000303782086982938;0,00480988304389651;0,00296187534808364;0,0300491114373956;0,00103792213052504;0;0,0248595007847704;0,000354412434813427;0,00334160295681231;0,00139233456533846;0,000278466913067693;0,0330616171333097;0;0,0053668168700319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3A18";0,206016847172082;0,268929001203369;0,00235860409145608;0,00149217809867629;0,062719614921781;0,0666666666666667;0,0567990373044525;0,192394705174489;0,00144404332129964;0,0456799037304452;9,62695547533093e-05;0,0130445246690734;0,0280625752105897;0;0,0126113116726835;0,00476534296028881;0,0287364620938628;0,000577617328519856;0;0;0,00567990373044525;0;0,00062575210589651;0,000770156438026474;0;0;0,000529482551143201;0;0;0;0;0
"C4A17";0,0172757475083056;0,572757475083057;0,027906976744186;0;0;0;0,0385382059800664;0;0,156146179401993;0,0598006644518272;0,0451827242524917;0;0;0;0,0385382059800664;0;0,0438538205980066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
