"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Cryptophyta:nucl";"Katablepharidophyta";"Rhodophyta"
"C1A17";0,0654031158015651;0,458970493215593;0;0,475195635006102;0;0,000430755976739177;0
"C1F18";0,695599839507824;0,208283179528331;0,0333912888413357;0,0255450046810218;0,00873790736034952;0,0284427800811377;0
"C1A18";0,708535031847134;0,180594479830149;0,0566454352441614;0,0212314225053079;0,00951167728237792;0,0234819532908705;0
"C2A17";0,173913043478261;0,659937888198758;0,015527950310559;0,141304347826087;0;0,0093167701863354;0
"C2F18";0,182564269797272;0,730854937768357;0,0364693733355074;0,0222838197728137;0,0153812707212349;0,0124463286048155;0
"C2A18";0,76029418653675;0,159694570665667;0,045673865180119;0,0197685857497541;0,00449711903311941;0,0100716728345903;0
"C3A17";0,0671027404984775;0,923987820006767;0;0,00687944062253299;0;0,00202999887222285;0
"C3F18";0,0398713989165106;0,920257202166979;0,00480988304389651;0,0300491114373956;0,00334160295681231;0,00139233456533846;0,000278466913067693
"C3A18";0,323080625752106;0,515764139590854;0,062719614921781;0,0573285198555957;0,0130445246690734;0,0280625752105897;0
"C4A17";0,150166112956811;0,811295681063123;0;0,0385382059800664;0;0;0
"C4F18";0,0779055818220309;0,857525933243949;0,0108672641309717;0,0417401735939595;0,00751534824641874;0,00444569896267024;0
"C4A18";0,374879714063144;0,474957613527013;0,0640150300142052;0,0506346515144572;0,0142051963524722;0,0213077945287082;0
"F1A17";0,280594467752258;0,119960179193629;0,446846334352556;0,0893834885870725;0,0451539500817749;0,0169238427078148;0,00113773732489511
"F1F18";0,0528388343953605;0,92460800458223;0,00773251235054056;0,0060499749409322;0,00275649745829455;0,0055129949165891;0,000501181356053555
"F1A18";0,832388013040954;0,0719932115582154;0,0786030101380019;0,00790496181501496;0,00705640659193426;0,00165244964494663;0,000401947210932964
"F2A17";0,577471574484486;0,152437849296589;0,150607053382155;0,0930815185970322;0,0178261707458084;0,00722682597803045;0,00134900751589902
"F2F18";0,175009720062208;0,779451788491446;0,0179335147744946;0,0109836702954899;0,00471423017107309;0,0107892690513219;0,00111780715396579
"F2A18";0,847968412526998;0,0888566414686825;0,0473812095032397;0,00739065874730022;0,00674946004319654;0,00165361771058315;0
"F3A17";0,70576829859428;0,0819195346582647;0,118031992244304;0,0741638390693165;0,00896752302472128;0,0111488124091129;0
"F3F18";0,357118329785042;0,444749673786141;0,106448732916695;0,0406565483139894;0,00947737105967997;0,041549344138452;0
"F3A18";0,901789408357468;0,0462350020686802;0,0366156392221763;0,00537856847331403;0,00548200248241622;0,0014480761274307;0,00305130326851469
"F4A17";0,635634028892456;0,0561797752808989;0,202247191011236;0,0778491171749599;0,00922953451043339;0,00842696629213483;0,0104333868378812
"F4F18";0,376846778109177;0,42380522993688;0,106402164111812;0,0397447457862246;0,0132482485954082;0,0380800443920372;0,00187278906846084
"F4A18";0,737924865831843;0,108631484794275;0,123211091234347;0,0130143112701252;0,0143112701252236;0,00290697674418605;0
"H1A17";0,829451672589503;0,0449939792651767;0,01885517930042;0,0896648947105642;0,00240829392933713;0;0,0146259802049987
"H1F18";0,925227963525836;0,0349978289188016;0,0182153712548849;0,0074468085106383;0,00299609205384281;0,00725141120277898;0,00386452453321754
"H1A18";0,859275281048893;0,0774653528799167;0,0336724612139176;0,0155678389276082;0,00857165745413763;0,000694277550802425;0,00475313092472429
"H2A17";0,891215475122146;0,0271878219829162;0,017216738126101;0,0618539568584438;0,00199421677136305;0;0,000531791139030146
"H2F18";0,902983966745843;0,0377325811559778;0,0318190815518606;0,010862034837688;0,0102929532858274;0,00536916072842439;0,000940221694378464
"H2A18";0,834542363275716;0,0903088693680929;0,0405780674412015;0,0148200623406064;0,0140549730801927;0,000793425899688297;0,00490223859450269
"H3A17";0,856756310839795;0,0541164824286421;0,0481438706484079;0,0331298465599736;0,00577462464939779;0;0,0020788648737832
"H3F18";0,91956015383782;0,0338190419442789;0,0234006825199068;0,0113753317805103;0,00823357347922648;0,00348482386291822;0,000126392575339003
"H3A18";0,865108535167908;0,0672572487670028;0,0467753589042817;0,0112776050010995;0,00590582100336129;0,00163352495837653;0,00204190619797066
"H4A17";0,807569564973966;0,10749678069537;0,0436145792508818;0,0345165444264039;0,00352723811656682;0;0,00327529253681205
"H4F18";0,925426737393961;0,0379574397820388;0,0196701686309315;0,00901979401019629;0,00526326652768891;0,00262131313339801;4,12805217857954e-05
"H4A18";0,795277076600061;0,122838472245158;0,0496591096746797;0,0207365118308995;0,00967232064922503;0,000353865389605794;0,00146264361037061
"P1F18";0,836695729650608;0,110799974543372;0,0344937313052886;0,00324572010437218;0,00614141157003755;0,00827340418761535;0,000350028638706803
"P1A18";0,176716368998853;0,678395870883172;0,0147878092741275;0,013845649680485;0,00483368834999181;0,00155661150253973;0,109864001310831
"P2F18";0,80314985989887;0,102257721665754;0,0605172469322683;0,0102096685883603;0,0113369190634159;0,0125285838513318;0
"P3F18";0,827602918607469;0,0971163942812525;0,0538488462884683;0,00721574540265475;0,00942354810048195;0,00479254731967368;0
"P4F18";0,815850965077942;0,118242053711469;0,0390512467590666;0,00524951185941551;0,00861047981818764;0,0129957427739189;0
"Q1A17";0,0589447650453421;0,690436933223413;0,0776999175597692;0,0121599340478153;0,0300906842539159;0,0210222588623248;0,10964550700742
"Q1F18";0,243996901626646;0,469403563129357;0,113090627420604;0;0,163439194422928;0;0,0100697134004648
"Q2A17";0,308999176276771;0,592977759472817;0,0443780889621087;0,0382001647446458;0,00597199341021417;0,00813426688632619;0,00133855024711697
"Q2F18";0,650422875553766;0,153040676600886;0,0622902403007115;0,012216404886562;0,119881863337361;0,00214793932071419;0
"Q3A17";0,214967772738124;0,629625208880401;0,0640964430651707;0,058009071377417;0,0206493196466937;0,0126521842921938;0
"Q3F18";0,534076513807955;0,154801114770712;0,198885229288067;0,0123300396925935;0,0966134617008699;0,00211130816653999;0,00118233257326239
"Q3A18";0,64239438258913;0,23594677425612;0,0588509136051519;0,0412771074989332;0,0116382821895488;0,0098925398611165;0
"Q4A17";0,262604743644369;0,610708706149695;0,03990910382048;0,0737111205794631;0,00596506178099702;0,00596506178099702;0,00113620224399943
"Q4F18";0,40836593439663;0,309058080048149;0,0944929280770388;0,0252783629250677;0,148058982846825;0,0108335841107433;0,00391212759554619
"Q4A18";0,808665859349618;0,137490031603509;0,0247806952771953;0,0214135924624155;0,00549369406621969;0,00215612724104321;0
"L1A17";0,865095115930103;0,0809816544847282;0,0240573115833293;0,00154896171160269;0,0033399486906433;0,00769640350452587;0,0172806040950675
"L1F18";0,190122243381043;0,460163400700289;0,0175686467227717;0,00172000737146016;0,000860003685730082;0,00165857853676516;0,327907119601941
"L1A18";0,901210052745889;0,0570896680111697;0,0241700279242941;0,00359913124418244;0,0110145826869376;0,00291653738752715;0
"L2A17";0,597654772412054;0,33161013743538;0,0408103223637204;0,00327827512293532;0,00537973353507334;0,0113478754255453;0,00991888370529147
"L2F18";0,792833290521449;0,0668186488569227;0,0306640123298228;0,00648600051374261;0,0166645260724377;0,00247238633444644;0,084061135371179
"L2A18";0,867129215159654;0,0637123246792002;0,0452103849597135;0,00898985377499254;0,0088779468815279;0,00608027454491197;0
"L3A17";0,757313432835821;0,18682302771855;0,0293816631130064;0,00243070362473348;0,004136460554371;0,0133475479744136;0,00656716417910448
"L3F18";0,441774386424463;0,0439610500540971;0,0163999772222539;0,00244860771026707;0,00643471328512044;0,00227777461420192;0,486703490689596
"L3A18";0,846343045570031;0,118384777555544;0,0223525595978161;0,00767609059949186;0,000216227904211038;0,00502729877290664;0
"L4A17";0,768172655045654;0,188505474524685;0,0158109016166647;0,00213447171824973;0,00181825368591644;0,00790545080833235;0,015652792600498
"L4F18";0,736578159623683;0,0767406601096295;0,0279516386113595;0,0056369785794814;0,00606461143723516;0,00361544143373635;0,143412510204875
"L4A18";0,87626656274357;0,0608924395946999;0,0386788776305534;0,00591062613665887;0,0124058196934269;0,00571577032995583;0,00012990387113536
