"";"ASV0262";"ASV0316";"ASV0374";"ASV0975";"ASV0977";"ASV1004";"ASV1478";"ASV1567";"ASV1587";"ASV1645";"ASV1660";"ASV1806";"ASV1842";"ASV2125";"ASV2329";"ASV2333";"ASV2562";"ASV2646";"ASV2647";"ASV2724";"ASV2951";"ASV2953";"ASV2980";"ASV3059";"ASV3062";"ASV3089";"ASV3091";"ASV3131";"ASV3132";"ASV3157";"ASV3158";"ASV3160";"ASV3193";"ASV3233";"ASV3270";"ASV3272";"ASV3275";"ASV3276";"ASV3277";"ASV3278";"ASV3279";"ASV3329";"ASV3365";"ASV3400";"ASV3402";"ASV3437";"ASV3474";"ASV3476";"ASV3688";"ASV3779";"ASV3783";"ASV3784";"ASV3788";"ASV3833";"ASV3836";"ASV3840";"ASV3841";"ASV3892";"ASV3893";"ASV3894";"ASV3965";"ASV4024";"ASV4025";"ASV4099";"ASV4223";"ASV4225";"ASV4300";"ASV4305";"ASV4306";"ASV4307";"ASV4311";"ASV4393";"ASV4395";"ASV4399";"ASV4402";"ASV4403";"ASV4404";"ASV4405";"ASV4489";"ASV4490";"ASV4491";"ASV4584";"ASV4669";"ASV4670";"ASV4672";"ASV4751";"ASV4759";"ASV4762";"ASV4882";"ASV4884";"ASV4999";"ASV5002";"ASV5009";"ASV5123";"ASV5128";"ASV5130";"ASV5131";"ASV5258";"ASV5259";"ASV5261";"ASV5272";"ASV5278";"ASV5282";"ASV5283";"ASV5289";"ASV5408";"ASV5415";"ASV5421";"ASV5422";"ASV5424";"ASV5426";"ASV5559";"ASV5561";"ASV5562";"ASV5564";"ASV5733";"ASV5743";"ASV5744";"ASV5747";"ASV5755";"ASV5892";"ASV5900";"ASV5911";"ASV5914";"ASV5915";"ASV5920";"ASV5921";"ASV5923";"ASV6108";"ASV6109";"ASV6112";"ASV6115";"ASV6124";"ASV6125";"ASV6128";"ASV6129";"ASV6130";"ASV6131";"ASV6133";"ASV6136";"ASV6137";"ASV6143"
"Q1A17";54;101;45;79;80;0;93;0;26;67;0;75;63;0;0;0;72;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;15;0;0;0;0;0;0;33;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;16;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q1F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q2A17";651;562;511;76;46;54;25;0;43;82;65;52;0;48;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;2;0;0;0;0;0;0;0;0;0;0;0
"Q2F18";0;0;0;27;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;18;0;0;0;17;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
"Q3A17";562;487;400;119;140;145;0;94;0;0;36;0;60;29;0;0;0;0;0;64;0;0;0;0;0;23;0;49;12;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;14;0;0;13;13;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Q3F18";0;0;0;34;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;25;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;13;0;3;0;0;0;0;0;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0
"Q3A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;41;0;54;51;0;0;50;0;0;48;48;0;47;46;0;0;0;0;0;0;0;44;0;0;0;0;0;0;35;0;33;0;0;0;0;0;0;31;0;0;0;29;29;0;0;0;0;0;0;25;5;0;0;0;24;0;0;0;23;23;0;0;0;21;21;0;20;0;19;19;0;0;0;0;0;0;0;0;0;0;0;16;16;16;0;0;15;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;11;11;11;0;0;0;0;0
"Q4A17";438;350;277;0;0;123;59;68;90;0;45;0;0;21;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;13;0;0;0;0;12;0;0;0;0;0;9;0;0;0;0;0;0;11;11;0;0;0
"Q4F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;0
"Q4A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;14;55;0;0;51;0;0;0;37;0;0;48;0;0;0;0;0;45;45;45;45;0;0;42;42;0;0;40;0;0;0;0;33;0;0;32;32;0;31;31;30;0;0;28;0;26;0;0;0;0;20;0;0;0;0;24;24;24;0;0;0;22;0;0;0;0;0;20;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;11
