Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,2436,99971.1378906156,72467.6944130818,-33787.8519343389,0.00001,0.675954182067895,1.30812077470938,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.11,0.05,0.15,0.06,0.05,0.22,0.06,0.1,0.06,0.04
TN93+G,2435,99972.2480780653,72480.0867792736,-33795.0563371816,n/a,0.685022764255269,1.23031596859795,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.1,0.06,0.15,0.06,0.06,0.22,0.06,0.09,0.06,0.04
GTR+G,2438,99979.6524956767,72453.644681029,-33778.8106186339,n/a,0.674702112011609,1.2342636693118,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.1,0.05,0.15,0.06,0.05,0.22,0.07,0.09,0.06,0.04
GTR+G+I,2439,99993.6227572532,72456.3327842337,-33779.1464403043,0,0.674876380519107,1.23424694131066,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.1,0.05,0.15,0.06,0.05,0.22,0.07,0.09,0.06,0.04
K2+G,2431,100156.707601919,72709.6750859969,-33913.8833355798,n/a,0.697244575265517,1.20848669933718,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G+I,2432,100158.974080999,72700.6593591741,-33908.3672660018,0.00001,0.694183927079531,1.20841254907358,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92+G,2432,100168.883606089,72710.5688842643,-33913.3220285469,n/a,0.687320951531004,1.20135521948607,0.26283279924473,0.26283279924473,0.23716720075527,0.23716720075527,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.14,0.05,0.14,0.06,0.05
T92+G+I,2433,100172.604026353,72703.0071054157,-33908.532929561,0.00001,0.68475761834475,1.20183045502785,0.26283279924473,0.26283279924473,0.23716720075527,0.23716720075527,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.14,0.05,0.14,0.06,0.05
HKY+G+I,2435,100324.595086849,72832.4337880572,-33971.2298415734,0,0.695951011997083,1.23804898414348,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.16,0.06,0.1,0.06,0.06,0.15,0.06,0.14,0.06,0.04
HKY+G,2434,100330.485178612,72849.6060653523,-33980.8241965726,n/a,0.700170275273813,1.23838670511771,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.16,0.06,0.1,0.06,0.06,0.15,0.06,0.14,0.06,0.04
JC+G,2430,101115.292143565,73679.5418403342,-34399.8249155202,n/a,0.70556108949852,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,2431,101134.778871296,73687.7463553732,-34402.918970268,0,0.706866211084259,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,2438,105150.244995628,77624.2371809803,-36364.1068686095,0.0168020289367807,n/a,1.0879675285324,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.05,0.04,0.1,0.05,0.14,0.07,0.05,0.2,0.08,0.09,0.07,0.05
TN93+I,2435,105178.337401165,77686.1761023738,-36398.1009987317,0.0163062750456311,n/a,1.0883368080212,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.1,0.06,0.14,0.07,0.06,0.2,0.07,0.09,0.06,0.04
GTR,2437,105194.96157238,77680.2359228945,-36393.1144661035,n/a,n/a,1.08692159782972,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.05,0.04,0.1,0.05,0.14,0.07,0.05,0.2,0.08,0.09,0.07,0.05
TN93,2434,105222.552908538,77741.6737952784,-36426.8580615357,n/a,n/a,1.08735290185762,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.1,0.06,0.14,0.07,0.06,0.2,0.07,0.09,0.06,0.04
T92+I,2432,105444.160158156,77985.8454363309,-36550.9603045802,0.0179481860924024,n/a,1.19502560503072,0.26283279924473,0.26283279924473,0.23716720075527,0.23716720075527,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.14,0.05,0.14,0.06,0.05
K2+I,2431,105468.803122942,78021.7706070191,-36569.931096091,0.017607234353824,n/a,1.19818268674691,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92,2431,105488.154626201,78041.1221102788,-36579.6068477208,n/a,n/a,1.16735093905431,0.26283279924473,0.26283279924473,0.23716720075527,0.23716720075527,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.14,0.05,0.14,0.06,0.05
K2,2430,105513.95177856,78078.2014753297,-36599.1547330179,n/a,n/a,1.17043490837726,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
HKY+I,2434,105612.084001311,78131.2048880515,-36621.6236079222,0.0170567873238286,n/a,1.19610350483688,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.16,0.06,0.1,0.07,0.06,0.15,0.07,0.14,0.06,0.04
HKY,2433,105657.8466509,78188.2497299633,-36651.1542418347,n/a,n/a,1.16840387661952,0.255054557528134,0.270611040961326,0.187149006528122,0.287185394982418,0.06,0.04,0.15,0.06,0.1,0.07,0.06,0.15,0.07,0.14,0.06,0.04
