"";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18"
"C1A17";0;0,782287811188068;0,925527720541275;0,637413860350819;0,78139047480716;0,921898740046351;0,785739478280501;0,652249801385745;0,846910551944684;0,714739552072393;0,632162577160915;0,869963090011194;0,749286753669466;0,830243417094263;0,93033999901116;0,744692902411235;0,875323595906689;0,92235901721449;0,73825190359667;0,860198620365499;0,934570941732902;0,74662945930942;0,864084569340133;0,89793326843083;0,762679219232016;0,876011912419192;0,929744885780977;0,773416346418589;0,878761951974986;0,925510709145046;0,83006689752044;0,859901629930993;0,926758818323677;0,829579963855998;0,846262708542897;0,913675922871839;0,885528279749406;0,860974758951258;0,875463867243295;0,870322520804114;0,857491994463309;0,846608909489783;0,921379346307712;0,816335401518939;0,894642530669312;0,834333942773118;0,885707714026218;0,879781962372542;0,83851055036146;0,913308626633811;0,890227623979247;0,871427502543229;0,923418439791799;0,930965708920733;0,880885675550111;0,890018940638704;0,895733496548283;0,877585105915292;0,886600153351172;0,877493967744676;0,883294986768337;0,855267311823377;0,887603993498983
"C1F18";0,782287811188068;0;0,329045331824328;0,841425756301238;0,274286772043973;0,351965695947972;0,786227922537113;0,618418239405359;0,447246529403754;0,822100742017382;0,509347869974637;0,473950948233148;0,492441016342295;0,396905311231618;0,340830076006488;0,357019277560827;0,223497555749957;0,284744596540679;0,382569589325483;0,22719550826096;0,402804307732749;0,499763605866786;0,251100534115691;0,301653018972921;0,338883050709217;0,305660778454673;0,350396236402238;0,348354366278498;0,292712172305856;0,334091327209488;0,317074049383596;0,300358106580468;0,313458028331823;0,293314494201778;0,306790228358887;0,314365373332904;0,264194047682081;0,429455458450412;0,273476409723435;0,313833843648503;0,26125579446921;0,687499462586437;0,795876126187464;0,382116184945755;0,436261070521089;0,481531220304928;0,386070602938282;0,375410877232365;0,492478113475652;0,560194213808435;0,373410724406668;0,393003153254795;0,557848504430616;0,419097930718183;0,380497384856239;0,354064223058082;0,416106795465677;0,367790384218311;0,362114781022029;0,406760399379335;0,392982817851572;0,321393067280923;0,418293352280225
"C1A18";0,925527720541275;0,329045331824328;0;0,916820890604853;0,468880822739732;0,149724829125331;0,930025028137357;0,822900688868156;0,264941579882634;0,912223651716554;0,742258926105041;0,259499558682503;0,491405907464318;0,555607791133264;0,267082362815162;0,421893328726045;0,361521494864396;0,201287461216493;0,468668837640952;0,323274199713491;0,382839946564477;0,625967908870419;0,345972111973365;0,235561854062921;0,396135164151209;0,387305527255421;0,22592720970966;0,393770906378056;0,347817303499408;0,198182674461609;0,341076358223355;0,37405761558654;0,240335205203109;0,307848520625292;0,405594234433188;0,131318044378228;0,253295169115672;0,457037920468159;0,294530849541347;0,314234788394515;0,292614966357174;0,687781599367384;0,795197885396232;0,400584573381586;0,427762324424109;0,47803227394096;0,367534476975251;0,316155602305828;0,496386290233063;0,52080686891998;0,34961429585698;0,376930774117553;0,517549902212186;0,368226995312626;0,356690902254546;0,373861407875431;0,390929278740128;0,404548429564959;0,369875356921343;0,367093353354649;0,402113288143647;0,325414460259186;0,379540876700396
"C2A17";0,637413860350819;0,841425756301238;0,916820890604853;0;0,759731044472614;0,885189667400634;0,62204467209519;0,699532318862626;0,915110199697858;0,623547638595431;0,707368284072234;0,886296729656314;0,859052274913694;0,811933469292885;0,870460942888426;0,821482826684034;0,847600445831952;0,910809554536653;0,77892393994354;0,877556602739666;0,839484504719494;0,771409866279311;0,908487666085081;0,900695056871377;0,883874221266092;0,922486704657232;0,939912769581723;0,918310518168752;0,932700979723526;0,942065029634218;0,924798707823781;0,915747332612561;0,962770321887455;0,881673500928497;0,925784523134655;0,924838411422672;0,90420727049246;0,825257512037763;0,885405573033474;0,91134101671912;0,903241652889535;0,822981937253434;0,873065792953798;0,879011010045218;0,890848473785293;0,85350495744694;0,884123454687012;0,905222346106669;0,854380466256748;0,815059294100086;0,934443247360674;0,915101402075194;0,873483593023536;0,90601029740103;0,910986245139347;0,876017891422182;0,92656620945714;0,933059913699;0,897896914072744;0,908074491190257;0,920454917900755;0,880359298481757;0,908959261650737
"C2F18";0,78139047480716;0,274286772043973;0,468880822739732;0,759731044472614;0;0,487759334177564;0,702671524722968;0,505779987094002;0,463759536691974;0,76080309995274;0,411019313400017;0,487374479963763;0,465306727391302;0,332248080505323;0,45189426140125;0,371698451122413;0,325031922137262;0,456549002055788;0,373417944548075;0,30431646905322;0,496689119227638;0,488915076349096;0,355074127011477;0,426303525139727;0,469580971526741;0,520389144128928;0,513545750811127;0,492850473820324;0,50518455096183;0,495775958862689;0,464417252084967;0,4996263762027;0,480557703056492;0,444477160034327;0,507790409137497;0,479932735784952;0,45045456744926;0,45584202271208;0,440699356209041;0,451237634549498;0,45304229942782;0,600945493141026;0,700486905959784;0,479221415130662;0,535412662526894;0,528165941046298;0,474624241529343;0,500498062160654;0,532830683154669;0,4887310393055;0,544939118561259;0,56864540455309;0,586452524585112;0,565170160634121;0,511154550116459;0,483696127976096;0,560785736290494;0,539525034020838;0,493517251211071;0,54975277136288;0,57820125118215;0,480469232836694;0,563183437242983
"C2A18";0,921898740046351;0,351965695947972;0,149724829125331;0,885189667400634;0,487759334177564;0;0,900371232364829;0,813002266374125;0,306856719662569;0,887018914074351;0,732903683749945;0,31537684839021;0,518357832398195;0,547005900557045;0,237649606711548;0,436093475754083;0,365306529457353;0,263592171905602;0,480813452471004;0,343823171341503;0,324855487095455;0,59918370105005;0,358616621956326;0,271693136944187;0,432544202974357;0,4180801814654;0,276176235218695;0,451689849137091;0,382776012329284;0,258567137670317;0,40180717982859;0,414666667631173;0,275622757110203;0,357849397385005;0,437911517090373;0,193834800540898;0,291382926239381;0,419803999135744;0,32324926822328;0,348934866417148;0,324506704074239;0,701741315425091;0,790707556889936;0,46029466713673;0,484434226291967;0,516478199501087;0,418329024979;0,359603959886468;0,532235349994291;0,484532847356986;0,379137057754241;0,444719731588824;0,536299528776833;0,433311908901781;0,438212525638258;0,400645322910992;0,471915061093606;0,45748180038823;0,393288395499879;0,403612233577596;0,456971743869531;0,365264670878792;0,439663226088348
"C3A17";0,785739478280501;0,786227922537113;0,930025028137357;0,62204467209519;0,702671524722968;0,900371232364829;0;0,384545720116516;0,888969028024968;0,585461379300353;0,439616447555715;0,899358746829604;0,93241459632711;0,683234797836483;0,824612606437235;0,787094878454299;0,800135722776836;0,857721192696033;0,781416630984271;0,821274593395417;0,799321417995942;0,775964209813297;0,883144906390598;0,844493666686446;0,858288213707762;0,926759999072324;0,953505543856079;0,899153170266291;0,914836309796973;0,942103869311953;0,903733383565947;0,905228029675145;0,930403343318396;0,87370619070481;0,900009248818414;0,903968096182428;0,876060884777191;0,744099187410299;0,838416916678959;0,855005807339616;0,852880259561174;0,753412638572847;0,688502874233649;0,875784511863994;0,7777137308996;0,866372735533539;0,801845144448727;0,857943556692478;0,879798802010756;0,732699218361038;0,877362028546137;0,893889728084417;0,896893781827424;0,871119775203716;0,940676189112515;0,828559186233318;0,875332023364612;0,944973879336086;0,849593122504294;0,859513456716471;0,94592212630313;0,834393315011653;0,865909308868686
"C3F18";0,652249801385745;0,618418239405359;0,822900688868156;0,699532318862626;0,505779987094002;0,813002266374125;0,384545720116516;0;0,739786039077348;0,689402851565415;0,269597618396529;0,770694184602039;0,722153466408303;0,617776055154952;0,786952930870484;0,655163402465457;0,653784980839445;0,793075103341048;0,69979238935277;0,657369673139266;0,780638566006615;0,710324314800515;0,674190188705371;0,757758064456544;0,68125771858889;0,777786441137683;0,840287310970803;0,709691972988075;0,808201221829652;0,826067672025575;0,738854941280868;0,786182673894665;0,822353470197275;0,744657414253433;0,783626437059187;0,823907802733699;0,791947360226461;0,689065983739089;0,783433570311126;0,773536992502911;0,789268690285144;0,725057154395637;0,683747907263723;0,746215162917464;0,807766668725824;0,758989694866146;0,757037504181629;0,771611742220472;0,722116768224735;0,730220470214094;0,817075679504423;0,81736563640678;0,84153360708501;0,838397049688064;0,783444047755205;0,789489838827591;0,819013845206114;0,796723708834476;0,782521418450847;0,797508810982473;0,816149290648291;0,780748951011736;0,827549682818199
"C3A18";0,846910551944684;0,447246529403754;0,264941579882634;0,915110199697858;0,463759536691974;0,306856719662569;0,888969028024968;0,739786039077348;0;0,903013951586151;0,691252310441086;0,136982529205551;0,449411756003138;0,574578351188423;0,376777300872582;0,397872082685058;0,461138687965594;0,34825725039477;0,467984984167815;0,408321879292448;0,431236953173725;0,596108431833326;0,421870247088701;0,320333075351783;0,516820519308607;0,510378247738335;0,404510295525178;0,522443117901717;0,474228692622041;0,363065276212481;0,474796142607272;0,501804689853936;0,38193092336603;0,452667436397019;0,497077081226;0,277075036824189;0,373990226872776;0,388089622415052;0,370202333996087;0,404573410792351;0,383495582975667;0,660236947902877;0,839240887951667;0,503086320716045;0,58684804108743;0,584027259704415;0,510282939916792;0,361398474525657;0,53232574404264;0,606069135014984;0,443834176246869;0,509034675336419;0,610032426530268;0,508808963353292;0,495422995684032;0,504817575880096;0,532584822709288;0,521925940303809;0,515197103986475;0,449808255056512;0,530032178776031;0,447881746125464;0,513299195760564
"C4A17";0,714739552072393;0,822100742017382;0,912223651716554;0,623547638595431;0,76080309995274;0,887018914074351;0,585461379300353;0,689402851565415;0,903013951586151;0;0,70264664248135;0,912533305233004;0,878579541385678;0,745211509216982;0,868103772413117;0,835762027126553;0,810513057748711;0,885599045181951;0,803110738762105;0,863501445956673;0,850345592034786;0,80674357124477;0,877924221171263;0,888093605179949;0,830179091850967;0,875478905846859;0,906048263515722;0,84435336468865;0,896370237196531;0,909600818861111;0,87407042716658;0,894602797030516;0,897701365213851;0,879930339846118;0,877633843769654;0,891793194545208;0,879340530958325;0,790261842394583;0,874483774238592;0,897768413174492;0,889957258727057;0,837278581994072;0,820885025432581;0,822262628945424;0,833394855906095;0,78621922144145;0,843658474151797;0,867884475815552;0,815888605665359;0,785066300681409;0,874999820685783;0,874950009413243;0,834783457550621;0,874021592862985;0,909009906917297;0,83767196095969;0,884376123815071;0,898966970622535;0,843075274605354;0,863586700523896;0,903559727641617;0,845341369949896;0,839537722975096
