"";"Taxa";"NMDS1";"NMDS2"
"7";"ASV0008_Ostreococcus_lucimarinus";0,320943633525841;0,058437482903257
"9";"ASV0118_Chloroparvula_pacifica";0,03786458071745;0,00488087758750806
"14";"ASV0147_Teleaulax_sp.";0,228687192862553;-0,240790522106873
"26";"ASV1207_Chrysochromulina_sp.";0,444577125192042;-0,143747652000855
"32";"ASV0034_Micromonas_bravo_B1";-0,206751460083594;-0,282471437903981
"36";"ASV1191_Pelagomonadaceae_clade_C_sp.";-0,0875983764207017;-0,00245716221433417
"38";"ASV1272_Thalassiosira_rotula";-0,888966485287365;-0,10031500704105
"41";"ASV0052_Phaeocystis_globosa";-1,06426903776754;-0,259927866773252
"44";"ASV0510_Crustomastigaceae_X_sp.";0,420678162347079;-0,11051915044135
"46";"ASV0038_Micromonas_commoda_A2";0,340844651822712;-0,122972615979532
"49";"ASV1411_Florenciellales_X_sp.";0,330914550615863;-0,245303915477676
"50";"ASV0029_Micromonas_bravo_B1";0,0633923035464994;-0,228176978061847
"61";"ASV0867_Micromonas_pusilla";0,224013676488096;0,0161511345338639
"62";"ASV0107_Teleaulax_gracilis";0,195242142566343;-0,222755659632796
"67";"ASV0032_Plagioselmis_prolonga";0,161657845491404;0,218831340380264
"68";"ASV0315_Guinardia_delicatula";-1,32539350586198;0,268773731154633
"74";"ASV0072_Pelagomonas_calceolata";0,226464921822286;-0,246005480669898
"76";"ASV0279_Chloroparvula_pacifica";0,100499729339619;-0,262130417529032
"78";"ASV0210_Aureococcus_anophagefferens";0,310292609104233;-0,0731546285867454
"82";"ASV0273_Crustomastigaceae_X_sp.";0,413476451906315;-0,271013639343674
"84";"ASV0720_Hemiselmis_sp.:nucl";0,290073108056981;-0,157714422787382
"98";"ASV0017_Bathycoccus_prasinos";0,263277653820492;0,0396644756436518
