Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,2928,116348.987463195,83718.0957507635,-38914.3655913237,0.158431725709077,0.726618461668794,1.40745846865066,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.06,0.03,0.12,0.05,0.13,0.06,0.05,0.24,0.06,0.11,0.06,0.03
GTR+G+I,2931,116371.52558049,83707.2349808228,-38905.9009121224,0.159838969193971,0.731650268565427,1.40472652985062,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.06,0.03,0.12,0.05,0.13,0.06,0.04,0.25,0.06,0.11,0.06,0.03
TN93+G,2927,116427.596078177,83807.8373438959,-38960.2478114305,n/a,0.534685925906425,1.41296432663573,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.06,0.03,0.11,0.05,0.14,0.06,0.05,0.25,0.06,0.1,0.06,0.03
GTR+G,2930,116450.885364488,83797.7277193632,-38952.1587167378,n/a,0.533607365873177,1.40719967545295,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.06,0.03,0.12,0.05,0.14,0.06,0.04,0.25,0.06,0.1,0.06,0.03
HKY+G+I,2927,116629.251711748,84009.4929774672,-39061.0756282161,0.159203500047265,0.712575278453067,1.43585177808719,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.06,0.03,0.17,0.05,0.1,0.06,0.05,0.18,0.06,0.15,0.06,0.03
HKY+G,2926,116700.748616371,84092.1228681109,-39103.4019931437,n/a,0.50591647881772,1.43826667632711,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.06,0.03,0.17,0.05,0.1,0.06,0.05,0.18,0.06,0.15,0.06,0.03
K2+G+I,2924,116711.008631429,84124.6488788201,-39121.6878259054,0.157349788616473,0.690058913065324,1.4471519428987,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,2925,116737.868699566,84140.3759451966,-39128.5399473575,0.158560694769837,0.709974663084078,1.39640543238157,0.278249718576286,0.278249718576286,0.221750281423714,0.221750281423714,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
K2+G,2923,116791.181205366,84215.9544623865,-39168.35202549,n/a,0.512421399132892,1.44983883427089,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,2924,116824.202650377,84237.842897768,-39178.2848353794,n/a,0.521282951868862,1.39937984371242,0.278249718576286,0.278249718576286,0.221750281423714,0.221750281423714,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
JC+G+I,2923,118584.739067658,86009.5123246785,-40065.1309566359,0.157142610407403,0.703857703531433,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,2922,118659.430923457,86095.3371979772,-40109.054797152,n/a,0.523357644264246,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,2930,125610.191528237,92957.0338831122,-43531.8117986123,0.168766949130507,n/a,1.29931041024131,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.05,0.03,0.12,0.04,0.12,0.06,0.05,0.23,0.08,0.11,0.07,0.05
TN93+I,2927,125759.723215859,93139.9644815782,-43626.3113802716,0.169187349200402,n/a,1.2117515417582,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.07,0.04,0.11,0.05,0.13,0.06,0.05,0.23,0.06,0.1,0.07,0.04
HKY+I,2926,126100.883055205,93492.2573069456,-43803.469212561,0.169294486618208,n/a,1.31599114575277,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.06,0.04,0.16,0.05,0.1,0.06,0.05,0.18,0.06,0.14,0.06,0.04
T92+I,2924,126195.238453435,93608.8787008264,-43863.8027369086,0.170026071544196,n/a,1.28624610552635,0.278249718576286,0.278249718576286,0.221750281423714,0.221750281423714,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
K2+I,2923,126461.79495372,93886.5682107406,-44003.658899667,0.170791888848931,n/a,1.28590335302306,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+I,2922,128154.413509191,95590.3197837112,-44856.546090019,0.169243513855447,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,2929,128891.050720429,96249.026037716,-45178.8193073245,n/a,n/a,1.28988258820335,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.05,0.03,0.11,0.04,0.13,0.06,0.05,0.24,0.08,0.1,0.07,0.05
TN93,2926,129054.221288074,96445.5955398147,-45280.1383289956,n/a,n/a,1.28873474486482,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.06,0.03,0.11,0.05,0.13,0.06,0.05,0.24,0.06,0.1,0.06,0.03
HKY,2925,129644.888914395,97047.3961600255,-45582.0500547719,n/a,n/a,1.28011983070066,0.250921638485612,0.305577798666961,0.166509997795031,0.276990565052397,0.07,0.04,0.16,0.05,0.09,0.06,0.05,0.17,0.06,0.14,0.07,0.04
T92,2923,129674.255955021,97099.0292120414,-45609.8894003174,n/a,n/a,1.27001901967693,0.278249718576286,0.278249718576286,0.221750281423714,0.221750281423714,0.06,0.05,0.12,0.06,0.12,0.05,0.06,0.16,0.05,0.16,0.06,0.05
K2,2922,129947.129803277,97383.0360777966,-45752.9042370616,n/a,n/a,1.26847867236322,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,2921,131618.931285686,99065.9705855741,-46595.3828908823,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
