;Mamiellophyceae;Trebouxiophyceae;Chlorodendrophyceae;Chloropicophyceae;Pyramimonadophyceae;Ulvophyceae;Chlorophyta_NA;Prasino-Clade-9;Chlorophyceae;Nephroselmidophyceae;Prasino-Clade-VIII;Coscinodiscophyceae;Pelagophyceae;Phaeophyceae;Mediophyceae;Sagenista;Peronosporomycetes;Opalozoa;Chrysophyceae;Gyrista_X;Bolidophyceae;Bacillariophyceae;Dictyochophyceae;Bicoecea;Stramenopiles_NA;Pirsoniales;MOCH-3;MOCH-5;Stramenopiles_XX;MOCH-2;MOCH-1;Xanthophyceae;Stramenopiles_X-Group-2;MOCH-4;Developea;Prymnesiophyceae;Haptophyta_Clade_HAP3;Haptophyta_Clade_HAP5;Haptophyta_Clade_HAP4;Cryptophyceae;Cryptophyceae:nucl;Kathablepharidea;Florideophyceae;Bangiophyceae
C1A17;789;24;0;0;98;0;0;0;0;0;0;291;0;24;4806;261;0;441;851;672;0;99;322;48;0;574;0;0;98;0;0;0;0;0;0;6619;0;0;0;0;0;6;0;0
C1F18;11781;0;73;1073;2676;0;0;0;0;0;0;1481;263;0;1206;3331;8;1260;1151;309;147;78;346;102;0;10;0;0;46;0;0;0;5;0;0;573;0;0;0;749;196;638;0;0
C1A18;13188;88;0;3074;308;0;0;28;0;0;0;0;3725;0;56;410;0;418;171;139;47;19;160;0;24;19;0;0;0;51;0;0;0;0;0;473;27;0;0;1425;133;553;0;0
C2A17;27;35;0;23;27;0;0;0;0;0;0;33;0;10;343;41;0;8;23;33;0;5;11;17;13;35;0;0;0;0;0;0;0;0;0;91;0;0;0;10;0;6;0;0
C2F18;1909;0;124;261;1065;0;0;0;0;0;0;5313;292;22;6840;2856;0;667;633;271;42;112;193;136;0;0;0;0;16;0;0;0;0;0;0;410;0;0;0;700;254;229;0;0
C2A18;9036;112;62;6722;229;0;0;69;0;0;0;44;2452;0;379;472;0;237;69;112;50;173;160;0;17;0;0;0;0;45;20;0;0;0;0;406;16;0;0;1015;56;215;0;0
C3A17;41;122;30;74;321;7;0;0;0;0;0;6521;0;0;1220;423;0;23;304;67;0;82;66;10;0;0;0;0;18;0;0;0;0;0;0;61;0;0;0;0;0;18;0;0
C3F18;450;0;12;117;982;14;0;0;0;0;0;18173;41;0;16484;1804;0;384;1306;433;0;136;212;60;11;104;0;0;128;0;0;0;0;0;0;1187;0;0;0;190;132;55;11;0
C3A18;4280;49;31;1385;949;2;0;16;0;0;0;159;3997;30;5010;481;0;1323;262;378;99;416;597;0;60;181;12;0;0;118;13;0;0;0;0;1180;0;11;0;1374;200;583;0;0
C4A17;26;42;0;0;90;68;0;0;0;0;0;154;0;235;697;103;0;45;58;38;0;11;66;17;0;10;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0
C4F18;864;0;269;220;844;0;0;11;0;0;0;10224;56;14;11986;1709;0;534;1600;356;0;158;266;84;0;101;0;0;116;0;0;0;6;0;0;1183;0;0;0;308;213;126;0;0
C4A18;5882;71;16;1547;644;0;0;21;0;0;0;81;6546;0;2113;840;0;1418;542;243;266;241;393;0;111;87;0;0;20;147;0;0;0;0;0;1105;0;0;0;1465;242;465;0;0
F1A17;3743;0;19;0;184;0;0;0;0;0;0;33;95;23;751;1066;0;1364;224;573;162;12;345;13;12;0;0;0;0;13;29;0;0;0;0;1255;2;0;0;6588;331;238;16;0
F1F18;854;9;0;244;369;0;0;0;0;0;0;22163;66;152;3019;1968;12;268;292;67;23;6;107;141;0;0;0;0;0;0;0;0;3;0;0;169;0;0;0;235;58;154;14;0
F1A18;9717;2315;15;5794;797;0;0;0;0;0;0;16;568;0;350;781;0;158;354;74;62;30;161;0;45;0;42;29;0;0;0;0;0;0;0;177;0;0;0;1818;100;37;9;0
F2A17;4664;232;0;108;931;58;0;0;0;0;0;0;286;54;180;1396;0;1408;389;171;272;26;223;485;0;0;0;0;33;0;152;0;0;0;0;954;12;0;0;1630;118;75;14;0
F2F18;2529;0;0;566;506;0;0;0;0;0;0;12325;104;166;2261;2840;4;425;888;130;95;51;148;397;17;0;0;0;0;0;0;0;16;0;0;226;0;0;0;396;70;222;23;0
