"";"Cryptophyceae";"Cryptophyceae:nucl"
"C1A17";0;0
"C1F18";749;196
"C1A18";1425;133
"C2A17";10;0
"C2F18";700;254
"C2A18";1015;56
"C3A17";0;0
"C3F18";190;132
"C3A18";1374;200
"C4A17";0;0
"C4F18";308;213
"C4A18";1465;242
"F1A17";6588;331
"F1F18";235;58
"F1A18";1818;100
"F2A17";1630;118
"F2F18";396;70
"F2A18";1487;117
"F3A17";505;19
"F3F18";1638;50
"F3A18";761;53
"F4A17";504;23
"F4F18";1631;94
"F4A18";2888;187
"H1A17";672;52
"H1F18";894;83
"H1A18";1443;139
"H2A17";552;26
"H2F18";1367;335
"H2A18";1657;271
"H3A17";1537;97
"H3F18";1422;330
"H3A18";1596;81
"H4A17";1608;76
"H4F18";1019;189
"H4A18";2284;231
"P1F18";1120;157
"P1A18";407;72
"P2F18";1987;244
"P3F18";2092;258
"P4F18";1265;224
"Q1A17";523;0
"Q1F18";276;81
"Q2A17";489;0
"Q2F18";704;653
"Q3A17";710;0
"Q3F18";2989;510
"Q3A18";1608;209
"Q4A17";323;0
"Q4F18";421;385
"Q4A18";853;172
"L1A17";545;21
"L1F18";300;0
"L1A18";1052;82
"L2A17";1031;68
"L2F18";1125;349
"L2A18";1450;0
"L3A17";733;53
"L3F18";368;33
"L3A18";835;0
"L4A17";422;24
"L4F18";758;117
"L4A18";1539;34
