"";"Prymnesiophyceae";"Haptophyta_Clade_HAP3";"Haptophyta_Clade_HAP5";"Haptophyta_Clade_HAP4"
"C1A17";6619;0;0;0
"C1F18";573;0;0;0
"C1A18";473;27;0;0
"C2A17";91;0;0;0
"C2F18";410;0;0;0
"C2A18";406;16;0;0
"C3A17";61;0;0;0
"C3F18";1187;0;0;0
"C3A18";1180;0;11;0
"C4A17";58;0;0;0
"C4F18";1183;0;0;0
"C4A18";1105;0;0;0
"F1A17";1255;2;0;0
"F1F18";169;0;0;0
"F1A18";177;0;0;0
"F2A17";954;12;0;0
"F2F18";226;0;0;0
"F2A18";194;25;0;0
"F3A17";302;4;0;0
"F3F18";575;0;17;0
"F3A18";96;8;0;0
"F4A17";194;0;0;0
"F4F18";553;9;11;0
"F4A18";245;46;0;0
"H1A17";3053;0;0;0
"H1F18";343;0;0;0
"H1A18";556;27;0;0
"H2A17";1861;0;0;0
"H2F18";439;0;0;0
"H2A18";512;11;0;0
"H3A17";1004;0;0;0
"H3F18";630;0;0;0
"H3A18";338;10;0;11
"H4A17";1226;7;0;0
"H4F18";437;0;0;0
"H4A18";857;22;0;0
"P1F18";102;0;0;0
"P1A18";335;3;0;0
"P2F18";317;0;0;0
"P3F18";268;0;0;0
"P4F18";164;0;0;0
"Q1A17";50;9;0;0
"Q1F18";0;0;0;0
"Q2A17";360;11;0;0
"Q2F18";91;0;0;0
"Q3A17";478;8;0;0
"Q3F18";143;3;0;0
"Q3A18";975;89;0;0
"Q4A17";519;0;0;0
"Q4F18";84;0;0;0
"Q4A18";625;100;0;0
"L1A17";32;0;0;0
"L1F18";28;0;0;0
"L1A18";116;0;0;0
"L2A17";67;11;0;0
"L2F18";202;0;0;0
"L2A18";241;0;0;0
"L3A17";57;0;0;0
"L3F18";43;0;0;0
"L3A18";273;0;0;11
"L4A17";54;0;0;0
"L4F18";145;0;0;0
"L4A18";178;4;0;0
