"";"Kathablepharidea"
"C1A17";6
"C1F18";638
"C1A18";553
"C2A17";6
"C2F18";229
"C2A18";215
"C3A17";18
"C3F18";55
"C3A18";583
"C4A17";0
"C4F18";126
"C4A18";465
"F1A17";238
"F1F18";154
"F1A18";37
"F2A17";75
"F2F18";222
"F2A18";49
"F3A17";46
"F3F18";605
"F3A18";28
"F4A17";21
"F4F18";549
"F4A18";65
"H1A17";0
"H1F18";334
"H1A18";26
"H2A17";0
"H2F18";217
"H2A18";28
"H3A17";0
"H3F18";193
"H3A18";52
"H4A17";0
"H4F18";127
"H4A18";15
"P1F18";260
"P1A18";38
"P2F18";389
"P3F18";178
"P4F18";406
"Q1A17";102
"Q1F18";0
"Q2A17";79
"Q2F18";16
"Q3A17";106
"Q3F18";25
"Q3A18";255
"Q4A17";42
"Q4F18";36
"Q4A18";73
"L1A17";159
"L1F18";27
"L1A18";94
"L2A17";270
"L2F18";77
"L2A18";163
"L3A17";313
"L3F18";40
"L3A18";186
"L4A17";200
"L4F18";93
"L4A18";176
