"";"Florideophyceae";"Bangiophyceae"
"C1A17";0;0
"C1F18";0;0
"C1A18";0;0
"C2A17";0;0
"C2F18";0;0
"C2A18";0;0
"C3A17";0;0
"C3F18";11;0
"C3A18";0;0
"C4A17";0;0
"C4F18";0;0
"C4A18";0;0
"F1A17";16;0
"F1F18";14;0
"F1A18";9;0
"F2A17";14;0
"F2F18";23;0
"F2A18";0;0
"F3A17";0;0
"F3F18";0;0
"F3A18";59;0
"F4A17";26;0
"F4F18";27;0
"F4A18";0;0
"H1A17";498;0
"H1F18";178;0
"H1A18";178;0
"H2A17";16;0
"H2F18";38;0
"H2A18";173;0
"H3A17";63;0
"H3F18";7;0
"H3A18";65;0
"H4A17";105;12
"H4F18";2;0
"H4A18";62;0
"P1F18";11;0
"P1A18";2682;0
"P2F18";0;0
"P3F18";0;0
"P4F18";0;0
"Q1A17";532;0
"Q1F18";13;0
"Q2A17";13;0
"Q2F18";0;0
"Q3A17";0;0
"Q3F18";14;0
"Q3A18";0;0
"Q4A17";8;0
"Q4F18";13;0
"Q4A18";0;0
"L1A17";357;0
"L1F18";5338;0
"L1A18";0;0
"L2A17";236;0
"L2F18";2618;0
"L2A18";0;0
"L3A17";154;0
"L3F18";8547;0
"L3A18";0;0
"L4A17";396;0
"L4F18";3689;0
"L4A18";4;0
