sample;id;site;input;filtered;dada_Fw;dada_Rv;denoisedF;denoisedR;merged;nochim;percentage retained reads
S01;S01_C1A17_AATAAT-CG8YP_L001_R1.fastq.gz;chañaral;96038;69746;69360;69284;69360;69284;66147;58215;60,6
S02;S02_C1F18_TTCGCA-CG8YP_L001_R1.fastq.gz;chañaral;87144;73752;72967;72359;72967;72359;68556;62076;71,2
S03;S03_C1A18_AGGAGG-CG8YP_L001_R1.fastq.gz;chañaral;73976;62237;61197;60934;61197;60934;54915;44453;60,1
S04;S04_C2A17_GGCTGC-CG8YP_L001_R1.fastq.gz;chañaral;70701;59514;59312;59132;59312;59132;57639;55847;79
S05;S05_C2F18_GATGAC-CG8YP_L001_R1.fastq.gz;chañaral;79975;68308;67550;67039;67550;67039;63600;55836;69,8
S06;S06_C2A18_GCGGTT-CG8YP_L001_R1.fastq.gz;chañaral;83499;71829;70828;70723;70828;70723;65737;54989;65,9
S07;S07_C3A17_TTCCGT-CG8YP_L001_R1.fastq.gz;chañaral;86841;73343;73065;72780;73065;72780;71394;68752;79,2
S08;S08_C3F18_CCCACG-CG8YP_L001_R1.fastq.gz;chañaral;93980;78103;77470;77137;77470;77137;74996;69292;73,7
S09;S09_C3A18_AGGATA-CG8YP_L001_R1.fastq.gz;chañaral;85108;66518;65243;64832;65243;64832;57923;47600;55,9
S10;S10_C4A17_AGTGTC-CG8YP_L001_R1.fastq.gz;chañaral;80543;66985;66663;66500;66663;66500;63891;57466;71,3
S11;S11_C4F18_GTCAGG-CG8YP_L001_R1.fastq.gz;chañaral;75556;63822;63131;62824;63131;62824;60588;55203;73,1
S12;S12_C4A18_TGCTCC-CG8YP_L001_R1.fastq.gz;chañaral;74706;62777;61620;61560;61620;61560;56846;49065;65,7
S13;S13_F1A17_CCGTAG-CG8YP_L001_R1.fastq.gz;flamenco;73542;62173;61442;61138;61442;61138;56222;46923;63,8
S14;S14_F1F18_GGCGTA-CG8YP_L001_R1.fastq.gz;flamenco;71859;61955;61317;61027;61317;61027;57165;53157;74
S15;S15_F1A18_GCCAGC-CG8YP_L001_R1.fastq.gz;flamenco;86165;73615;72728;72664;72728;72664;68285;55601;64,5
S16;S16_F2A17_CATGAG-CG8YP_L001_R1.fastq.gz;flamenco;75502;60307;59477;59252;59477;59252;55092;49772;65,9
S17;S17_F2F18_GACTAC-CG8YP_L001_R1.fastq.gz;flamenco;81498;69824;69035;68752;69035;68752;65145;59661;73,2
S18;S18_F2A18_CTAAAC-CG8YP_L001_R1.fastq.gz;flamenco;89908;74920;73885;73317;73885;73317;68536;56986;63,4
S19;S19_F3A17_TGAATA-CG8YP_L001_R1.fastq.gz;flamenco;76898;60071;59462;59481;59462;59481;55869;51014;66,3
S20;S20_F3F18_CTGGTT-CG8YP_L001_R1.fastq.gz;flamenco;87351;74445;73675;73133;73675;73133;68722;61494;70,4
S21;S21_F3A18_CGTGAT-CG8YP_L001_R1.fastq.gz;flamenco;89056;75348;74542;74461;74542;74461;70344;59691;67
S22;S22_F4A17_CGTGCG-CG8YP_L001_R1.fastq.gz;flamenco;73032;59050;58656;58455;58656;58455;55026;48461;66,4
S23;S23_F4F18_CGCCAC-CG8YP_L001_R1.fastq.gz;flamenco;90657;77590;76709;76208;76709;76208;71004;63662;70,2
S24;S24_F4A18_GCCCTT-CG8YP_L001_R1.fastq.gz;flamenco;91630;77850;76752;76406;76752;76406;69995;55192;60,2
S25;S25_H1A17_GCCCGA-CG8YP_L001_R1.fastq.gz;huasco;85435;72558;71522;71279;71522;71279;67534;61098;71,5
S26;S26_H1F18_TACCAA-CG8YP_L001_R1.fastq.gz;huasco;89990;74731;73819;73641;73819;73641;69972;64597;71,8
S27;S27_H1A18_CTTCGT-CG8YP_L001_R1.fastq.gz;huasco;93414;80311;78998;78838;78998;78838;73729;66054;70,7
S28;S28_H2A17_TGTCTA-CG8YP_L001_R1.fastq.gz;huasco;75626;64261;63399;63379;63399;63379;60599;54115;71,6
S29;S29_H2F18_ACCGAA-CG8YP_L001_R1.fastq.gz;huasco;86305;71514;70826;70747;70826;70747;66701;61944;71,8
S30;S30_H2A18_GATGTA-CG8YP_L001_R1.fastq.gz;huasco;94149;79320;77882;77582;77882;77582;71143;62884;66,8
S31;S31_H3A17_ATATCC-CG8YP_L001_R1.fastq.gz;huasco;86834;71724;70682;70545;70682;70545;66413;61077;70,3
S32;S32_H3F18_ACGGGC-CG8YP_L001_R1.fastq.gz;huasco;92761;82718;82145;81802;82145;81802;79648;74223;80
S33;S33_H3A18_TGCCGC-CG8YP_L001_R1.fastq.gz;huasco;86338;75365;74135;73655;74135;73655;67595;58215;67,4
S34;S34_H4A17_ATTGAG-CG8YP_L001_R1.fastq.gz;huasco;76299;63872;62852;62937;62852;62937;59058;52975;69,4
S35;S35_H4F18_CACGGA-CG8YP_L001_R1.fastq.gz;huasco;87176;74163;73446;73268;73446;73268;70236;65036;74,6
S36;S36_H4A18_CCACGG-CG8YP_L001_R1.fastq.gz;huasco;86715;74371;73486;73229;73486;73229;69665;62324;71,9
S39;S39_P1F18_ACGTCG-CG8YP_L001_R1.fastq.gz;pta.choros;75392;65662;65098;64836;65098;64836;62053;55794;74
S40;S40_P1A18_GTATGT-CG8YP_L001_R1.fastq.gz;pta.choros;87953;75596;73890;73515;73890;73515;67030;59515;67,7
S41;S41_P2F18_TCTGGC-CG8YP_L001_R1.fastq.gz;pta.choros;71283;62109;61623;61329;61623;61329;58703;53084;74,5
S42;S42_P3F18_CTTTAG-CG8YP_L001_R1.fastq.gz;pta.choros;85319;70485;70080;69741;70080;69741;66833;58628;68,7
S43;S43_P4F18_CTTTCC-CG8YP_L001_R1.fastq.gz;pta.choros;91750;73002;72044;71869;72044;71869;68518;60566;66
S44;S44_Q1A17_CTATGG-CG8YP_L001_R1.fastq.gz;quintero;75250;63786;63140;62984;63140;62984;59546;51431;68,3
S45;S45_Q1F18_GAAGCA-CG8YP_L001_R1.fastq.gz;quintero;90121;74928;74590;74531;74590;74531;69949;63743;70,7
S46;S46_Q2A17_AAGTGG-CG8YP_L001_R1.fastq.gz;quintero;67839;57813;57120;56515;57120;56515;52047;45728;67,4
S47;S47_Q2F18_GAATCT-CG8YP_L001_R1.fastq.gz;quintero;95679;80596;80240;80096;80240;80096;78367;75951;79,4
S48;S48_Q3A17_GTCAAA-CG8YP_L001_R1.fastq.gz;quintero;76328;59239;58524;57987;58524;57987;53173;46671;61,1
S49;S49_Q3F18_AGACGA-CG8YP_L001_R1.fastq.gz;quintero;98357;82563;82105;81429;82105;81429;79258;76059;77,3
S50;S50_Q3A18_TAGCAG-CG8YP_L001_R1.fastq.gz;quintero;85076;72792;72306;71926;72306;71926;68483;59504;69,9
S51;S51_Q4A17_GATTCA-CG8YP_L001_R1.fastq.gz;quintero;74855;61440;60506;60281;60506;60281;55570;48593;64,9
S52;S52_Q4F18_TAACCG-CG8YP_L001_R1.fastq.gz;quintero;85955;71555;71330;70104;71330;70104;68224;66372;77,2
S53;S53_Q4A18_CGGTTA-CG8YP_L001_R1.fastq.gz;quintero;78771;67314;66989;66725;66989;66725;64628;57440;72,9
S54;S54_L1A17_TATCCC-CG8YP_L001_R1.fastq.gz;las.cruces;87689;71058;70137;69828;70137;69828;65463;59554;67,9
S55;S55_L1F18_GTACAG-CG8YP_L001_R1.fastq.gz;las.cruces;80355;67241;66408;66098;66408;66098;61914;53882;67,1
S56;S56_L1A18_TTATAC-CG8YP_L001_R1.fastq.gz;las.cruces;87850;66727;66577;66134;66577;66134;63097;54638;62,2
S57;S57_L2A17_CGCATT-CG8YP_L001_R1.fastq.gz;las.cruces;85987;71335;70444;70059;70444;70059;65695;55287;64,3
S58;S58_L2F18_CATAAC-CG8YP_L001_R1.fastq.gz;las.cruces;102789;83448;82847;82297;82847;82297;78064;71828;69,9
S59;S59_L2A18_ATAGGC-CG8YP_L001_R1.fastq.gz;las.cruces;71969;62391;62238;61696;62238;61696;59815;51913;72,1
S60;S60_L3A17_TCGGCC-CG8YP_L001_R1.fastq.gz;las.cruces;71059;62342;61605;61488;61605;61488;57436;49481;69,6
S61;S61_L3F18_CATACG-CG8YP_L001_R1.fastq.gz;las.cruces;86552;71131;69773;69222;69773;69222;64496;55857;64,5
S62;S62_L3A18_GATTTC-CG8YP_L001_R1.fastq.gz;las.cruces;92612;75764;75590;75185;75590;75185;73280;63630;68,7
S63;S63_L4A17_TATTGG-CG8YP_L001_R1.fastq.gz;las.cruces;88523;73261;72207;72191;72207;72191;67899;59558;67,3
S64;S64_L4F18_TAATAT-CG8YP_L001_R1.fastq.gz;las.cruces;89800;72072;71337;70929;71337;70929;66550;60194;67
S65;S65_L4A18_CGACTC-CG8YP_L001_R1.fastq.gz;las.cruces;81415;70277;69724;69485;69724;69485;66410;57186;70,2
