"";"input";"filtered";"denoisedF";"denoisedR";"merged";"nochim"
"S01";96038;69746;69360;69284;66147;58215
"S02";87144;73752;72967;72359;68556;62076
"S03";73976;62237;61197;60934;54915;44453
"S04";70701;59514;59312;59132;57639;55847
"S05";79975;68308;67550;67039;63600;55836
"S06";83499;71829;70828;70723;65737;54989
"S07";86841;73343;73065;72780;71394;68752
"S08";93980;78103;77470;77137;74996;69292
"S09";85108;66518;65243;64832;57923;47600
"S10";80543;66985;66663;66500;63891;57466
"S11";75556;63822;63131;62824;60588;55203
"S12";74706;62777;61620;61560;56846;49065
"S13";73542;62173;61442;61138;56222;46923
"S14";71859;61955;61317;61027;57165;53157
"S15";86165;73615;72728;72664;68285;55601
"S16";75502;60307;59477;59252;55092;49772
"S17";81498;69824;69035;68752;65145;59661
"S18";89908;74920;73885;73317;68536;56986
"S19";76898;60071;59462;59481;55869;51014
"S20";87351;74445;73675;73133;68722;61494
"S21";89056;75348;74542;74461;70344;59691
"S22";73032;59050;58656;58455;55026;48461
"S23";90657;77590;76709;76208;71004;63662
"S24";91630;77850;76752;76406;69995;55192
"S25";85435;72558;71522;71279;67534;61098
"S26";89990;74731;73819;73641;69972;64597
"S27";93414;80311;78998;78838;73729;66054
"S28";75626;64261;63399;63379;60599;54115
"S29";86305;71514;70826;70747;66701;61944
"S30";94149;79320;77882;77582;71143;62884
"S31";86834;71724;70682;70545;66413;61077
"S32";92761;82718;82145;81802;79648;74223
"S33";86338;75365;74135;73655;67595;58215
"S34";76299;63872;62852;62937;59058;52975
"S35";87176;74163;73446;73268;70236;65036
"S36";86715;74371;73486;73229;69665;62324
"S39";75392;65662;65098;64836;62053;55794
"S40";87953;75596;73890;73515;67030;59515
"S41";71283;62109;61623;61329;58703;53084
"S42";85319;70485;70080;69741;66833;58628
"S43";91750;73002;72044;71869;68518;60566
"S44";75250;63786;63140;62984;59546;51431
"S45";90121;74928;74590;74531;69949;63743
"S46";67839;57813;57120;56515;52047;45728
"S47";95679;80596;80240;80096;78367;75951
"S48";76328;59239;58524;57987;53173;46671
"S49";98357;82563;82105;81429;79258;76059
"S50";85076;72792;72306;71926;68483;59504
"S51";74855;61440;60506;60281;55570;48593
"S52";85955;71555;71330;70104;68224;66372
"S53";78771;67314;66989;66725;64628;57440
"S54";87689;71058;70137;69828;65463;59554
"S55";80355;67241;66408;66098;61914;53882
"S56";87850;66727;66577;66134;63097;54638
"S57";85987;71335;70444;70059;65695;55287
"S58";102789;83448;82847;82297;78064;71828
"S59";71969;62391;62238;61696;59815;51913
"S60";71059;62342;61605;61488;57436;49481
"S61";86552;71131;69773;69222;64496;55857
"S62";92612;75764;75590;75185;73280;63630
"S63";88523;73261;72207;72191;67899;59558
"S64";89800;72072;71337;70929;66550;60194
"S65";81415;70277;69724;69485;66410;57186
