"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"C1A17";96038;69746;69360;69284;66147;58215;60,6
"C1F18";87144;73752;72967;72359;68556;62076;71,2
"C1A18";73976;62237;61197;60934;54915;44453;60,1
"C2A17";70701;59514;59312;59132;57639;55847;79
"C2F18";79975;68308;67550;67039;63600;55836;69,8
"C2A18";83499;71829;70828;70723;65737;54989;65,9
"C3A17";86841;73343;73065;72780;71394;68752;79,2
"C3F18";93980;78103;77470;77137;74996;69292;73,7
"C3A18";85108;66518;65243;64832;57923;47600;55,9
"C4A17";80543;66985;66663;66500;63891;57466;71,3
"C4F18";75556;63822;63131;62824;60588;55203;73,1
"C4A18";74706;62777;61620;61560;56846;49065;65,7
"F1A17";73542;62173;61442;61138;56222;46923;63,8
"F1F18";71859;61955;61317;61027;57165;53157;74
"F1A18";86165;73615;72728;72664;68285;55601;64,5
"F2A17";75502;60307;59477;59252;55092;49772;65,9
"F2F18";81498;69824;69035;68752;65145;59661;73,2
"F2A18";89908;74920;73885;73317;68536;56986;63,4
"F3A17";76898;60071;59462;59481;55869;51014;66,3
"F3F18";87351;74445;73675;73133;68722;61494;70,4
"F3A18";89056;75348;74542;74461;70344;59691;67
"F4A17";73032;59050;58656;58455;55026;48461;66,4
"F4F18";90657;77590;76709;76208;71004;63662;70,2
"F4A18";91630;77850;76752;76406;69995;55192;60,2
"H1A17";85435;72558;71522;71279;67534;61098;71,5
"H1F18";89990;74731;73819;73641;69972;64597;71,8
"H1A18";93414;80311;78998;78838;73729;66054;70,7
"H2A17";75626;64261;63399;63379;60599;54115;71,6
"H2F18";86305;71514;70826;70747;66701;61944;71,8
"H2A18";94149;79320;77882;77582;71143;62884;66,8
"H3A17";86834;71724;70682;70545;66413;61077;70,3
"H3F18";92761;82718;82145;81802;79648;74223;80
"H3A18";86338;75365;74135;73655;67595;58215;67,4
"H4A17";76299;63872;62852;62937;59058;52975;69,4
"H4F18";87176;74163;73446;73268;70236;65036;74,6
"H4A18";86715;74371;73486;73229;69665;62324;71,9
"P1F18";75392;65662;65098;64836;62053;55794;74
"P1A18";87953;75596;73890;73515;67030;59515;67,7
"P2F18";71283;62109;61623;61329;58703;53084;74,5
"P3F18";85319;70485;70080;69741;66833;58628;68,7
"P4F18";91750;73002;72044;71869;68518;60566;66
"Q1A17";75250;63786;63140;62984;59546;51431;68,3
"Q1F18";90121;74928;74590;74531;69949;63743;70,7
"Q2A17";67839;57813;57120;56515;52047;45728;67,4
"Q2F18";95679;80596;80240;80096;78367;75951;79,4
"Q3A17";76328;59239;58524;57987;53173;46671;61,1
"Q3F18";98357;82563;82105;81429;79258;76059;77,3
"Q3A18";85076;72792;72306;71926;68483;59504;69,9
"Q4A17";74855;61440;60506;60281;55570;48593;64,9
"Q4F18";85955;71555;71330;70104;68224;66372;77,2
"Q4A18";78771;67314;66989;66725;64628;57440;72,9
"L1A17";87689;71058;70137;69828;65463;59554;67,9
"L1F18";80355;67241;66408;66098;61914;53882;67,1
"L1A18";87850;66727;66577;66134;63097;54638;62,2
"L2A17";85987;71335;70444;70059;65695;55287;64,3
"L2F18";102789;83448;82847;82297;78064;71828;69,9
"L2A18";71969;62391;62238;61696;59815;51913;72,1
"L3A17";71059;62342;61605;61488;57436;49481;69,6
"L3F18";86552;71131;69773;69222;64496;55857;64,5
"L3A18";92612;75764;75590;75185;73280;63630;68,7
"L4A17";88523;73261;72207;72191;67899;59558;67,3
"L4F18";89800;72072;71337;70929;66550;60194;67
"L4A18";81415;70277;69724;69485;66410;57186;70,2
