"";"Ochrophyta";"Chlorophyta";"Cryptophyta";"Katablepharidophyta";"Haptophyta";"Rhodophyta"
"OSD143";0,833701826592741;0,131535086227423;0,0267356032518113;0,00670090819415626;0,000952413347392768;0,00037416238647573
"OSD037";0,866361575279201;0,122848266017298;0,00764127970442522;0;0,00184734234612478;0,00130153665295155
"OSD039";0,320632346980138;0,656465342521281;0,021179570328334;0,00172274017024726;0;0
"OSD060";0,822835309321796;0,165308759903355;0,00955217171433387;0,000730460189919649;0,000674270944541215;0,000899027926054953
"OSD054";0,794899502917657;0,112113680570564;0,0541927814998919;0,0136697644261941;0,0251242705856927;0
"OSD055";0,750984532846299;0,0995376976199989;0,126362650533645;0,00816163460989669;0,0149534843901604;0
"OSD152";0,754228855721393;0,143283582089552;0,0875621890547264;0,00298507462686567;0,0119402985074627;0
"OSD159";0,836879432624113;0,069813829787234;0,0547429078014184;0,0037677304964539;0,0132978723404255;0,0214982269503546
"OSD002";0,505326540064845;0,254840203798055;0,111440481704493;0,00565076424270496;0,122742010189903;0
"OSD141";0,891696750902527;0,0649819494584837;0;0;0,0433212996389892;0
"OSD003";0,841900887573965;0,0804980276134122;0,0352564102564103;0,0110330374753452;0,0271819526627219;0,00412968441814596
"OSD072";0,787196765498652;0,0514824797843666;0,0442048517520216;0,0621293800539084;0,0533692722371968;0,00161725067385445
"OSD030";0,421544209215442;0,445828144458281;0,037359900373599;0,029057700290577;0,0662100456621005;0
"OSD014";0,146661327460206;0,588547402142357;0,177895685253779;0,0180198218039844;0,0622684953448794;0,00660726799479427
"OSD022";0,665145618037847;0,0787813716279694;0,0664340356999061;0,0361025365722722;0,153536438062005;0
"OSD099";0,616071428571429;0,211180124223602;0,0822981366459627;0,0267857142857143;0,0636645962732919;0
"OSD049";0,513793103448276;0,128663793103448;0,1375;0,0351293103448276;0,184913793103448;0
"OSD076";0,534883720930233;0,0425249169435216;0,267109634551495;0,0837209302325581;0,0717607973421927;0
"OSD077";0,705459770114943;0,0239463601532567;0,10823754789272;0,126436781609195;0,0359195402298851;0
"OSD123";0,679127725856698;0,183800623052959;0,0981308411214953;0;0,0171339563862928;0,0218068535825545
"OSD132";0,55042634519259;0,385474860335196;0,0341076154072332;0;0,0111731843575419;0,018817994707439
