"";"Ochrophyta";"Chlorophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"OSD143";0,827419976860779;0,132664866949479;0,0302738141149248;0,000385653682992673;0,00867720786733513;0,000578480524489009
"OSD037";0,867788461538462;0,123798076923077;0,00552884615384615;0,00192307692307692;0;0,000961538461538462
"OSD039";0,31160931525895;0,665450121654501;0,0210288494960028;0;0,00191171359054571;0
"OSD060";0,826719954324864;0,15929203539823;0,010847844704539;0,000285469597487868;0,00114187838995147;0,00171281758492721
"OSD054";0,787739463601533;0,111111111111111;0,0620689655172414;0,0280970625798212;0,0109833971902937;0
"OSD055";0,746731234866828;0,0978208232445521;0,134382566585956;0,012590799031477;0,00847457627118644;0
"OSD152";0,758;0,146;0,08;0,014;0,002;0
"OSD159";0,831084457771114;0,0729635182408796;0,0599700149925037;0,0109945027486257;0,00299850074962519;0,0219890054972514
"OSD002";0,512767066180302;0,260031266284523;0,109431995831162;0,112558624283481;0,00521104742053153;0
"OSD141";0,92156862745098;0,0392156862745098;0;0,0392156862745098;0;0
"OSD003";0,838854937278868;0,080090061112898;0,0340945641685429;0,0299131553554197;0,0119009327758122;0,00514634930845931
"OSD072";0,787443267776097;0,0521936459909228;0,0476550680786687;0,0552193645990923;0,056732223903177;0,00075642965204236
"OSD030";0,427738927738928;0,418414918414918;0,0384615384615385;0,0850815850815851;0,0303030303030303;0
"OSD014";0,144982993197279;0,590986394557823;0,185374149659864;0,0586734693877551;0,0153061224489796;0,00467687074829932
"OSD022";0,652899824253076;0,070298769771529;0,0720562390158172;0,164323374340949;0,0404217926186292;0
"OSD099";0,650872817955112;0,197007481296758;0,0822942643391521;0,0473815461346633;0,0224438902743142;0
"OSD049";0,514336917562724;0,120967741935484;0,14247311827957;0,186379928315412;0,03584229390681;0
"OSD076";0,535947712418301;0,0408496732026144;0,271241830065359;0,0702614379084967;0,0816993464052288;0
"OSD077";0,705459770114943;0,0239463601532567;0,10823754789272;0,0359195402298851;0,126436781609195;0
"OSD123";0,677685950413223;0,190082644628099;0,0909090909090909;0,012396694214876;0;0,0289256198347107
"OSD132";0,549788774894387;0,388050694025347;0,0386240193120097;0,0108630054315027;0;0,0126735063367532
