Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G+I,136,8535.77036606166,7440.32457276564,-3583.36614913546,0.124756824320943,0.529685379760475,1.30455315708138,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+G+I,140,8543.23970599834,7415.62306427629,-3566.96790634217,0.0367160095553122,0.457528689216308,1.29829594292668,0.240271877655055,0.295581988105353,0.177357689039932,0.28678844519966,0.06,0.04,0.11,0.05,0.14,0.06,0.05,0.24,0.06,0.09,0.06,0.04
GTR+G,142,8550.11185255051,7406.41082456609,-3560.33752323744,n/a,0.434138803648641,1.30837937637508,0.240271877655055,0.295581988105353,0.177357689039932,0.28678844519966,0.05,0.03,0.11,0.04,0.15,0.07,0.03,0.24,0.08,0.09,0.07,0.05
T92+G+I,137,8558.40808174797,7454.91931691322,-3589.65177878821,0.143953809896684,0.571694357451572,1.27388385506519,0.267926932880204,0.267926932880204,0.232073067119796,0.232073067119796,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.15,0.05,0.15,0.06,0.05
GTR+G+I,143,8560.16669941051,7408.42373786021,-3560.33171847703,0.0586384925971452,0.490518778783063,1.30750597227501,0.240271877655055,0.295581988105353,0.177357689039932,0.28678844519966,0.05,0.03,0.11,0.04,0.15,0.07,0.03,0.24,0.08,0.09,0.07,0.05
K2+G,135,8560.35536139519,7472.95271255577,-3600.69187499263,n/a,0.421544803479406,1.30716319774832,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+G,139,8565.20546014536,7445.63127107543,-3582.98401160609,n/a,0.439002095828984,1.30090358661556,0.240271877655055,0.295581988105353,0.177357689039932,0.28678844519966,0.06,0.04,0.11,0.05,0.14,0.06,0.05,0.24,0.06,0.09,0.06,0.04
HKY+G+I,139,8570.5602504833,7450.98606141336,-3585.66140677506,0.13734238565415,0.570075115661892,1.30140959165691,0.240271877655055,0.295581988105353,0.177357689039932,0.28678844519966,0.06,0.04,0.16,0.05,0.1,0.06,0.05,0.17,0.06,0.14,0.06,0.04
T92+G,136,8583.55437467741,7488.1085813814,-3607.25815344334,n/a,0.433123651512034,1.27515368650397,0.267926932880204,0.267926932880204,0.232073067119796,0.232073067119796,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.15,0.05,0.15,0.06,0.05
HKY+G,138,8583.74478743741,7472.21322400396,-3597.28690344252,n/a,0.431002891776217,1.30267840966406,0.240271877655055,0.295581988105353,0.177357689039932,0.28678844519966,0.06,0.04,0.16,0.05,0.1,0.06,0.05,0.17,0.06,0.14,0.06,0.04
