Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,1519,98815.0978651496,82882.8204479342,-39913.7572887869,0.14813619616144,0.71410083667797,1.3876351120559,0.249206266396375,0.305933997138087,0.168029304793704,0.276830431671834,0.07,0.03,0.12,0.05,0.13,0.06,0.04,0.24,0.05,0.11,0.06,0.03
TN93+G+I,1516,98827.4655717371,82926.6198575386,-39938.6912243265,0.12983583328162,0.639292430553016,1.40238709122721,0.249206266396375,0.305933997138087,0.168029304793704,0.276830431671834,0.06,0.03,0.11,0.05,0.14,0.06,0.05,0.26,0.06,0.09,0.06,0.03
TN93+G,1515,98858.229730094,82967.8612805575,-39960.3233309202,n/a,0.527255501468488,1.31113067274275,0.249206266396375,0.305933997138087,0.168029304793704,0.276830431671834,0.06,0.03,0.11,0.05,0.13,0.06,0.05,0.24,0.06,0.1,0.06,0.03
GTR+G,1518,98867.8652637675,82946.0650657294,-39946.3910155112,n/a,0.526589277395484,1.40409401821744,0.249206266396375,0.305933997138087,0.168029304793704,0.276830431671834,0.07,0.03,0.12,0.05,0.13,0.06,0.04,0.24,0.05,0.11,0.06,0.03
HKY+G+I,1515,99028.0271629332,83137.6587133967,-40045.2220473398,0.150239046429996,0.714976017277766,1.43706726751615,0.249206266396375,0.305933997138087,0.168029304793704,0.276830431671834,0.06,0.03,0.17,0.05,0.1,0.06,0.05,0.18,0.06,0.15,0.06,0.03
HKY+G,1514,99107.2929168852,83227.401747172,-40091.1049517311,n/a,0.509654914106776,1.43355419335894,0.249206266396375,0.305933997138087,0.168029304793704,0.276830431671834,0.06,0.03,0.17,0.05,0.1,0.06,0.05,0.18,0.06,0.15,0.06,0.03
K2+G+I,1512,99201.7974595429,83342.8608949592,-40150.8572778904,0.147896830715652,0.702961426961111,1.43993972290924,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,1513,99211.5826323944,83342.1687576654,-40149.4998369009,0.14724180598236,0.711477568051981,1.39010656926666,0.277570131767231,0.277570131767231,0.222429868232769,0.222429868232769,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
K2+G,1511,99253.2620042601,83404.8027649824,-40182.8395776643,n/a,0.489450366190048,1.44314208102505,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,1512,99263.873888795,83404.9373242113,-40181.8954925165,n/a,0.497121544792073,1.39317959055001,0.277570131767231,0.277570131767231,0.222429868232769,0.222429868232769,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
