Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,139,9093.58514701487,7969.96496038861,-3845.17457551543,n/a,0.398346586885889,1.28127989572748,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,140,9105.74886918563,7974.05677667244,-3846.20882510447,0.162132083531279,0.572530813064544,1.28217042851955,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+G,142,9113.6849658046,7965.84956558261,-3840.08165042127,n/a,0.403921927395269,1.28390578383244,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.06,0.04,0.16,0.05,0.1,0.06,0.05,0.17,0.06,0.14,0.06,0.04
TN93+G+I,144,9117.0749173901,7953.09688168557,-3831.68140322132,0.0764933819952947,0.491019949060799,1.2770611574641,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.06,0.04,0.11,0.05,0.14,0.06,0.05,0.24,0.06,0.09,0.06,0.04
T92+G,140,9119.89242346288,7988.20033094969,-3853.28060224309,n/a,0.410180977912418,1.25084876330653,0.268275065010113,0.268275065010113,0.231724934989887,0.231724934989887,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.15,0.05,0.15,0.06,0.05
HKY+G+I,143,9122.59885007084,7966.69204806882,-3839.49098105804,0.161105879795747,0.580879393871677,1.28470028393915,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.06,0.04,0.16,0.05,0.1,0.06,0.05,0.17,0.06,0.14,0.06,0.04
T92+G+I,141,9124.48200929284,7984.71817890743,-3850.52778366173,0.181009417951245,0.619283715443665,1.2514046244456,0.268275065010113,0.268275065010113,0.231724934989887,0.231724934989887,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.15,0.05,0.15,0.06,0.05
GTR+G+I,147,9126.33682234991,7938.14609421224,-3821.16952121219,0.0956570750477665,0.51550658864984,1.28205609119522,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.05,0.03,0.11,0.04,0.14,0.07,0.04,0.24,0.07,0.09,0.07,0.04
TN93+G,143,9127.86672286192,7971.9599208599,-3842.12491745358,n/a,0.424933518152654,1.27922627142251,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.06,0.04,0.11,0.05,0.14,0.06,0.05,0.24,0.06,0.09,0.06,0.04
GTR+G,146,9150.09216020507,7969.97216141177,-3838.09480163612,n/a,0.432945381016447,1.28464458619003,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.05,0.03,0.11,0.04,0.14,0.07,0.04,0.24,0.07,0.09,0.07,0.04
JC+G,138,9197.03927774476,8081.49116499922,-3901.94925237672,n/a,0.413119078386685,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,139,9205.28800056806,8081.66781394181,-3901.02600229203,0.170108800183619,0.607761189891257,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+I,139,9276.62641702789,8153.00623040164,-3936.69521052195,0.411582299172898,n/a,1.16183133240081,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
TN93+I,143,9280.5358324671,8124.62903046508,-3918.45947225617,0.406532687550361,n/a,1.15797881970624,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.07,0.04,0.12,0.05,0.12,0.06,0.05,0.21,0.06,0.1,0.07,0.04
GTR+I,146,9283.18753328118,8103.06753448788,-3904.64248817417,0.407029584866286,n/a,1.16986421966455,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.04,0.03,0.12,0.04,0.13,0.07,0.04,0.21,0.09,0.1,0.08,0.06
T92+I,140,9287.9387990292,8156.24670651601,-3937.30379002625,0.410879010963462,n/a,1.15644858819827,0.268275065010113,0.268275065010113,0.231724934989887,0.231724934989887,0.06,0.05,0.12,0.06,0.12,0.05,0.06,0.14,0.05,0.14,0.06,0.05
HKY+I,142,9289.72834527227,8141.89294505027,-3928.1033401551,0.411016984734049,n/a,1.17963884113546,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.07,0.04,0.16,0.05,0.1,0.06,0.05,0.16,0.06,0.13,0.07,0.04
JC+I,138,9370.69280975276,8255.14469700722,-3988.77601838073,0.409391588720144,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,145,9674.5932182157,8502.54411690709,-4105.39294213778,n/a,n/a,1.10229604785114,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.04,0.03,0.1,0.03,0.13,0.07,0.04,0.22,0.1,0.09,0.07,0.06
TN93,142,9678.00529304276,8530.16989282076,-4122.24181404034,n/a,n/a,1.10268295646564,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.07,0.04,0.1,0.06,0.13,0.07,0.06,0.22,0.07,0.09,0.07,0.04
T92,139,9711.1754371811,8587.55525055485,-4153.96972059855,n/a,n/a,1.07844366113304,0.268275065010113,0.268275065010113,0.231724934989887,0.231724934989887,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2,138,9734.13820191703,8618.59008917148,-4170.49871446286,n/a,n/a,1.07718677427834,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
HKY,141,9745.20338782232,8605.43955743691,-4160.88847292647,n/a,n/a,1.08589409110302,0.240764436372642,0.295785693647583,0.17678623023899,0.286663639740785,0.07,0.04,0.15,0.06,0.09,0.07,0.06,0.16,0.07,0.13,0.07,0.04
JC,137,9784.51723865424,8677.04136776227,-4200.73584432781,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
