"";"OSD014";"OSD022";"OSD099";"OSD049";"OSD076";"OSD077";"OSD123";"OSD132";"Total";"Color"
"Dinoflagellata";11021;24479;7758;13957;2010;1209;724;1845;63003;"#000000"
"Metazoa";3676;4639;31490;3676;6491;1178;744;3084;54978;"#FDFBE3"
"Ochrophyta";1454;4944;1581;2375;1610;1474;432;1854;15724;"#60F649"
"Chlorophyta";5878;587;544;597;128;50;118;1312;9214;"#24F205"
"Ciliophora";737;2164;169;827;432;964;343;1239;6875;"#FDFBE3"
"Opalozoa";401;1806;146;785;564;384;83;288;4457;"#FDFBE3"
"Cryptophyta";1688;495;178;568;752;221;46;86;4034;"#88F877"
"Stramenopiles_X";622;1130;112;859;217;75;12;35;3062;"#FDFBE3"
"Sagenista";382;552;109;484;842;49;59;220;2697;"#FDFBE3"
"Pseudofungi";130;585;156;315;901;299;182;83;2651;"#FDFBE3"
"Picozoa";267;988;139;734;296;62;29;45;2560;"#FDFBE3"
"Perkinsea";0;0;0;0;0;0;2270;161;2431;"#FDFBE3"
"Telonemia";250;428;71;345;130;72;20;25;1341;"#FDFBE3"
"Katablepharidophyta";180;269;69;163;252;264;0;0;1197;"#C8FBC1"
"NA..1";53;179;16;194;430;72;64;67;1075;"#FDFBE3"
"Apusomonadidae";34;230;18;415;38;0;0;4;739;"#FDFBE3"
"Streptophyta";0;0;0;0;0;0;182;299;481;"#FDFBE3"
"Centroheliozoa";34;218;38;93;0;0;0;7;390;"#FDFBE3"
"Fungi";213;79;0;37;0;0;0;24;353;"#FDFBE3"
"NA..2";25;76;0;48;118;32;0;0;299;"#FDFBE3"
"Prasinodermophyta";89;0;34;70;47;0;14;30;284;"#FDFBE3"
"Rhodophyta";0;270;0;0;0;0;0;0;270;"#E0FDDC"
"NA..3";0;27;14;50;0;0;64;0;155;"#FDFBE3"
"NA..4";77;0;0;0;0;0;8;64;149;"#FDFBE3"
"Haptophyta";0;0;0;43;50;0;0;0;93;"#AFFAA4"
"Radiolaria";0;0;0;0;55;14;0;0;69;"#FDFBE3"
"Opisthokonta_X";0;47;0;0;0;0;0;0;47;"#FDFBE3"
"Choanoflagellida";0;0;0;0;0;43;0;0;43;"#FDFBE3"
"Apicomplexa";0;0;0;0;0;0;18;0;18;"#FDFBE3"
"NA..5";0;0;0;0;0;0;0;16;16;"#FDFBE3"
"Cryptophyta.nucl";0;3;0;12;0;0;0;0;15;"#88F877"
"NA..6";0;14;0;0;0;0;0;0;14;"#FDFBE3"
"Cercozoa";7;6;0;0;0;0;0;0;13;"#FDFBE3"
"NA..7";0;0;0;0;0;0;0;11;11;"#FDFBE3"
"NA.";0;0;0;0;0;0;0;0;0;"#FDFBE3"
