"";"input";"filtered";"denoisedFws";"denoisedRvs";"merged";"nochim"
"S001";47953;39713;39127;39364;37368;37041
"S002";44996;39542;38745;39103;37707;37400
"S003";14484;12304;11770;12014;11333;11297
"S004";45578;36973;35763;36268;33856;33271
"S005";42315;33613;32987;33275;31581;31532
"S006";39124;29038;28645;28766;27644;27430
"S007";35469;28095;27859;27875;26910;26535
"S011";21585;16158;15702;15830;14616;14536
"S012";46259;37983;37296;37568;35274;35098
"S013";40978;32865;32494;32677;31388;30768
"S014";42703;36171;35516;35741;33956;33760
"S015";25514;20018;19757;19831;18622;18531
"S016";48557;40391;40097;40170;39514;39498
"S017";37363;30836;30059;30286;27725;27588
"S018";60905;50064;49070;49453;45750;44899
"S019";52844;44681;44212;44367;43077;42979
"S020";35043;28910;28517;28630;27138;27030
"S021";21451;17137;16861;16934;16279;16134
"S022";10202;7240;7028;7105;6541;6523
"S023";24652;18987;17808;18319;16810;16579
"S024";21114;16566;15371;15849;13845;13770
