"";"reads.in";"reads.out"
"S001_OSD143_R1_18S_raw.fastq.gz";47953;39713
"S002_OSD037_R1_18S_raw.fastq.gz";44996;39542
"S003_OSD039_R1_18S_raw.fastq.gz";14484;12304
"S004_OSD060_R1_18S_raw.fastq.gz";45578;36973
"S005_OSD054_R1_18S_raw.fastq.gz";42315;33613
"S006_OSD055_R1_18S_raw.fastq.gz";39124;29038
"S007_OSD152_R1_18S_raw.fastq.gz";35469;28095
"S011_OSD159_R1_18S_raw.fastq.gz";21585;16158
"S012_OSD002_R1_18S_raw.fastq.gz";46259;37983
"S013_OSD141_R1_18S_raw.fastq.gz";40978;32865
"S014_OSD003_R1_18S_raw.fastq.gz";42703;36171
"S015_OSD072_R1_18S_raw.fastq.gz";25514;20018
"S016_OSD030_R1_18S_raw.fastq.gz";48557;40391
"S017_OSD014_R1_18S_raw.fastq.gz";37363;30836
"S018_OSD022_R1_18S_raw.fastq.gz";60905;50064
"S019_OSD099_R1_18S_raw.fastq.gz";52844;44681
"S020_OSD049_R1_18S_raw.fastq.gz";35043;28910
"S021_OSD076_R1_18S_raw.fastq.gz";21451;17137
"S022_OSD077_R1_18S_raw.fastq.gz";10202;7240
"S023_OSD123_R1_18S_raw.fastq.gz";24652;18987
"S024_OSD132_R1_18S_raw.fastq.gz";21114;16566
