"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"S001";47953;39713;39127;39364;37368;37041;77,2
"S002";44996;39542;38745;39103;37707;37400;83,1
"S003";14484;12304;11770;12014;11333;11297;78
"S004";45578;36973;35763;36268;33856;33271;73
"S005";42315;33613;32987;33275;31581;31532;74,5
"S006";39124;29038;28645;28766;27644;27430;70,1
"S007";35469;28095;27859;27875;26910;26535;74,8
"S011";21585;16158;15702;15830;14616;14536;67,3
"S012";46259;37983;37296;37568;35274;35098;75,9
"S013";40978;32865;32494;32677;31388;30768;75,1
"S014";42703;36171;35516;35741;33956;33760;79,1
"S015";25514;20018;19757;19831;18622;18531;72,6
"S016";48557;40391;40097;40170;39514;39498;81,3
"S017";37363;30836;30059;30286;27725;27588;73,8
"S018";60905;50064;49070;49453;45750;44899;73,7
"S019";52844;44681;44212;44367;43077;42979;81,3
"S020";35043;28910;28517;28630;27138;27030;77,1
"S021";21451;17137;16861;16934;16279;16134;75,2
"S022";10202;7240;7028;7105;6541;6523;63,9
"S023";24652;18987;17808;18319;16810;16579;67,3
"S024";21114;16566;15371;15849;13845;13770;65,2
