Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,3229,483426.425083817,450661.951464281,-222047.582576612,0.0638205722466525,0.549610292848692,2.18208007684165,0.246558550795995,0.278757385524372,0.1858126128344,0.288871450845232,0.05,0.03,0.15,0.04,0.17,0.04,0.04,0.25,0.04,0.13,0.04,0.03
K2+G+I,3222,483444.713696163,450751.029463285,-222099.359093921,0.0656774903715543,0.556099843133403,1.77399302546928,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G+I,3223,483456.084250877,450752.287183772,-222098.954055401,0.0648852976079411,0.521439727996153,1.76944524085,0.262657968160184,0.262657968160184,0.237342031839816,0.237342031839816,0.05,0.04,0.15,0.05,0.15,0.04,0.05,0.17,0.04,0.17,0.05,0.04
K2+G,3221,483458.924902263,450775.353525178,-222112.555012847,n/a,0.490306704812869,1.73970700816501,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93+G+I,3226,483463.678052936,450729.542612557,-222084.480008801,0.0611999996681349,0.539420202944071,1.79084264601694,0.246558550795995,0.278757385524372,0.1858126128344,0.288871450845232,0.05,0.03,0.12,0.04,0.18,0.05,0.04,0.26,0.05,0.1,0.05,0.03
T92+G,3222,483483.30471523,450789.620482351,-222118.654603454,n/a,0.497592502485683,1.73524711871777,0.262657968160184,0.262657968160184,0.237342031839816,0.237342031839816,0.05,0.04,0.15,0.05,0.15,0.04,0.05,0.17,0.04,0.17,0.05,0.04
HKY+G+I,3225,483494.12814057,450770.105469714,-222105.795368495,0.0652925142293812,0.556874862043635,1.75470878661952,0.246558550795995,0.278757385524372,0.1858126128344,0.288871450845232,0.05,0.03,0.18,0.04,0.12,0.05,0.04,0.18,0.05,0.16,0.05,0.03
HKY+G,3224,483530.52652257,450816.616642806,-222130.084875371,n/a,0.525807223436663,1.72079547638761,0.246558550795995,0.278757385524372,0.1858126128344,0.288871450845232,0.05,0.03,0.18,0.04,0.12,0.05,0.04,0.18,0.05,0.16,0.05,0.03
TN93+G,3225,487237.359909331,454513.337238476,-223977.411252875,n/a,0.704137035368007,1.74718519677125,0.246558550795995,0.278757385524372,0.1858126128344,0.288871450845232,0.05,0.03,0.12,0.04,0.17,0.05,0.04,0.26,0.05,0.1,0.05,0.03
GTR+G,3228,487273.901804591,454519.540889872,-223977.411252875,n/a,0.704137035368007,1.74718519677126,0.246558550795995,0.278757385524372,0.1858126128344,0.288871450845232,0.05,0.03,0.12,0.04,0.17,0.05,0.04,0.26,0.05,0.1,0.05,0.03
