Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
JC+G,24,1099.62091682918,971.347595287494,-461.292360898674,n/a,0.320050252457156,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC,23,1099.97292263491,977.014633442239,-465.156617864703,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+G,25,1100.09835631359,966.512625165614,-457.842826577718,n/a,0.295964604460013,1.43434013108341,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+I,24,1100.27523599667,972.001914454987,-461.619520482421,0.254320777683463,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+I,25,1101.37256574082,967.786834592843,-458.479931291332,0.264482839178407,n/a,1.19071910263814,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2,24,1102.49313162581,974.219810084126,-462.72846829699,n/a,n/a,0.983589179965041,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
JC+G+I,25,1102.53833833206,968.952607184081,-459.062817586951,0.00001,0.281525347939139,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+G+I,26,1103.13702127392,964.241508270784,-455.673904994717,0.00001,0.259905936373754,1.44843031248299,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,26,1106.92221187494,968.026698871805,-457.566500295228,n/a,0.29931037915418,1.43338116738768,0.270337922403004,0.270337922403004,0.229662077596996,0.229662077596996,0.06,0.05,0.14,0.06,0.14,0.05,0.06,0.16,0.05,0.16,0.06,0.05
T92+I,26,1109.05938233534,970.163869332208,-458.635085525429,0.274784130032143,n/a,1.24210877968749,0.270337922403004,0.270337922403004,0.229662077596996,0.229662077596996,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.15,0.05,0.15,0.06,0.05
