Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+I,15,849.965150153362,777.086629466173,-373.295380848789,0.399708655905331,n/a,9.22212441930984,0.25,0.25,0.25,0.25,0.01,0.01,0.23,0.01,0.23,0.01,0.01,0.23,0.01,0.23,0.01,0.01
JC,13,852.073902551957,788.858023622236,-381.241382945139,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,14,855.077961972331,787.028635946107,-379.2975997068,n/a,n/a,0.991253570502248,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
T92+I,16,855.650070400702,777.946620680752,-372.692028023933,0.400054884209749,n/a,9.61543643865289,0.269817073170732,0.269817073170732,0.230182926829268,0.230182926829268,0.01,0.01,0.21,0.01,0.21,0.01,0.01,0.24,0.01,0.24,0.01,0.01
JC+I,14,855.914072488507,787.864746462283,-379.715654964888,0.300690898599862,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,14,857.467984638728,789.418658612505,-380.492611039998,n/a,0.892047795954884,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+G+I,16,857.780200165592,780.076750445641,-373.757092906378,0.3991338242654,71.7496595363785,9.76823153234961,0.25,0.25,0.25,0.25,0.01,0.01,0.23,0.01,0.23,0.01,0.01,0.23,0.01,0.23,0.01,0.01
K2+G,15,858.729585815956,785.851065128768,-377.677598680086,n/a,1.26444160019274,1.3370087729523,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92,15,861.584869659473,788.706348972284,-379.105240601845,n/a,n/a,0.995958788347732,0.269817073170732,0.269817073170732,0.230182926829268,0.230182926829268,0.07,0.06,0.12,0.07,0.12,0.06,0.07,0.14,0.06,0.14,0.07,0.06
HKY+I,18,863.018554137056,775.678096280271,-369.484643995058,0.386456526793196,n/a,9.51425057831688,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.01,0.01,0.27,0.01,0.15,0.01,0.01,0.27,0.01,0.22,0.01,0.01
JC+G+I,15,863.139803381219,790.261282694031,-379.882707462718,0.17102824927667,0.872342233980557,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92+G+I,17,863.345298950369,780.821199073152,-373.09382935024,0.39906380508511,71.0321629410147,9.77201664948034,0.269817073170732,0.269817073170732,0.230182926829268,0.230182926829268,0.01,0.01,0.21,0.01,0.21,0.01,0.01,0.24,0.01,0.24,0.01,0.01
T92+G,16,865.030372147692,787.326922427741,-377.382178897428,n/a,1.26444160019274,1.350531204738,0.269817073170732,0.269817073170732,0.230182926829268,0.230182926829268,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
HKY,17,868.386809564646,785.862709687429,-375.614584657379,n/a,n/a,1.01180597959838,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.07,0.04,0.15,0.06,0.08,0.07,0.06,0.15,0.07,0.12,0.07,0.04
TN93+I,19,869.272385119799,777.119874818545,-369.165746537903,0.387381275844065,n/a,9.73351184320884,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.01,0.01,0.33,0.01,0.11,0.01,0.01,0.19,0.01,0.28,0.01,0.01
HKY+G+I,19,871.204446073888,779.051935772633,-370.131777014947,0.384655499622872,68.9224366695037,9.68138848718267,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.01,0.01,0.27,0.01,0.15,0.01,0.01,0.27,0.01,0.22,0.01,0.01
HKY+G,18,871.958395340009,784.617937483224,-373.954564596534,n/a,1.26444160019274,1.4044838280096,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.06,0.03,0.17,0.05,0.1,0.06,0.05,0.17,0.06,0.14,0.06,0.03
TN93,18,875.152907678925,787.812449822139,-375.551820765992,n/a,n/a,1.00604052398721,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.07,0.04,0.14,0.06,0.09,0.07,0.06,0.16,0.07,0.11,0.07,0.04
TN93+G+I,20,876.36496469974,779.404720901997,-369.266223379347,0.385809226121771,192.119202,8.66687628696358,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.02,0.01,0.33,0.01,0.11,0.02,0.01,0.19,0.02,0.27,0.02,0.01
TN93+G,19,878.849945523045,786.69743522179,-373.954526739526,n/a,1.26444160019274,1.403145937547,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.06,0.03,0.17,0.05,0.1,0.06,0.05,0.17,0.06,0.14,0.06,0.03
GTR+I,22,888.328020867135,781.765320851028,-368.356125565993,0.389975005980453,n/a,9.92486230038319,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0,0,0.33,0,0.11,0.04,0,0.2,0,0.28,0.04,0
GTR,21,892.665465428419,790.901820550821,-373.970660795161,n/a,n/a,1.0082603218472,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.09,0.01,0.14,0.08,0.09,0.04,0.01,0.16,0.14,0.11,0.04,0.08
GTR+G,22,894.039698817032,787.476998800925,-371.211964540941,n/a,0.284745714586701,2.94417278947538,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0.05,0,0.26,0.04,0.1,0.03,0,0.18,0.06,0.21,0.03,0.03
GTR+G+I,23,895.256715868599,783.899320236398,-368.374660118199,0.390177933862231,14.0838493010323,10.0799742466171,0.244918699186992,0.294715447154472,0.166666666666667,0.29369918699187,0,0,0.34,0,0.11,0.04,0,0.2,0,0.28,0.04,0
