"";"Ochrophyta";"Chlorophyta";"Haptophyta";"Cryptophyta";"Katablepharidophyta";"Rhodophyta"
"OSD002";0,651208576110706;0,0939093226511289;0,165797978878369;0,0884809723233795;0,000603150036416606;0
"OSD003";0,838600714396645;0,0762281927835585;0,0356162965263757;0,0329502510741834;0,0166045452192369;0
"OSD014";0,277680937940256;0,551326440459419;0,128513097256381;0,0402588409465365;0,00222068339740681;0
"OSD022";0,597518270401949;0,062233556638246;0,301880328867235;0,0260353227771011;0,0116473812423873;0,000685140073081608
"OSD030";0,491151628904679;0,235353264512669;0,15658935514144;0,058452875720606;0,058452875720606;0
"OSD037";0,568959813841012;0,418857722974437;0,00973000102661207;0,00245246215793856;0;0
"OSD039";0,571210138753651;0,377685309152872;0,00258641674780915;0,0439766918208374;0,0045414435248296;0
"OSD043";0,632993251928021;0,107567480719794;0,241029348757498;0,015209940017138;0,00319997857754927;0
"OSD054";0,800152113887006;0,0777764917908103;0,0776028835502059;0,0313652221358774;0,0131032886361006;0
"OSD055";0,713905101660664;0,124284536967001;0,0543808351866695;0,0920647105973199;0,0153648155883449;0
"OSD060";0,89420355747729;0,0844181752386961;0,0102901468828;0,00961279726833251;0,00147532313288115;0
"OSD072";0,72177508472079;0,0511731987623398;0,137487107705908;0,0339343598055105;0,0556302490054516;0
"OSD076";0,565600022279778;0,0283510179073718;0,207174088617818;0,0973069317960286;0,101567939399003;0
"OSD077";0,702692368249398;0,0472232843743674;0,169122112508154;0,0371690771272408;0,0437931577408399;0
"OSD080";0,707887217639765;0,279033910183837;0,0094129063561378;0,0033101514906464;0,000355814329613456;0
"OSD099";0,66454348475792;0,16876494321578;0,129819187089062;0,0173714883442917;0,0195008965929468;0
"OSD123";0,669088281160854;0,160092807424594;0,121144117758929;0,0478871096572972;0,00178768399832642;0
"OSD124";0,708002784586155;0,205936099548955;0,0138359124595727;0,0546402517729982;0,0175849516323186;0
"OSD141";0,903459230497706;0,0670667137310272;0,015178256265443;0,0127073773385104;0,0015884221673138;0
"OSD143";0,842625208681135;0,115884808013356;0,00517111853088481;0,0289941569282137;0,00732470784641068;0
"OSD146";0,24433730069082;0,417202715717632;0,29307515784217;0,045295649382305;8,91763670737072e-05;0
"OSD150";0,204974210414753;0,487625495397699;0,0822633171251839;0,185774940102644;0,0393620369597194;0
"OSD152";0,552708866007878;0,276691313661806;0,108164605072213;0,0620378688411305;0,000397346416971875;0
"OSD159";0,890478264268087;0,0398311614351278;0,0328185543756211;0,0353756993065559;0,00149632061460811;0
