"";"OSD002";"OSD003";"OSD014";"OSD022";"OSD030";"OSD037";"OSD039";"OSD043";"OSD054";"OSD055";"OSD060";"OSD072";"OSD076";"OSD077";"OSD080";"OSD099";"OSD123";"OSD124";"OSD141";"OSD143";"OSD146";"OSD150";"OSD152";"OSD159";"Total";"Color"
"Metazoa";124187;86487;257417;172140;252271;178533;24294;75028;45617;30100;114571;65404;99415;35890;21809;248304;60837;169465;269634;27346;15509;5331;66677;192146;2638412;"#440154"
"Dinoflagellata";61219;28213;55540;76501;28242;28302;13446;132393;57599;33309;28560;181900;32811;87274;174199;62740;54943;52676;62814;37207;105748;42725;115519;75741;1629621;"#46095D"
"Ochrophyta";57223;64797;11629;15698;7327;49879;75089;47277;96788;63237;96371;78379;20309;62482;65653;35577;17591;97635;5119;201893;41099;31911;31993;79745;1354701;"#471164"
"Proteobacteria";3061;7372;704;7089;1286;3606;64780;2699;12782;19873;17634;20692;112521;65263;14556;17268;21085;13758;1929;15831;12498;8403;30940;9881;485511;"#48196B"
"Chlorophyta";8252;5890;23089;1635;3511;36720;49649;8034;9408;11009;9098;5557;1018;4199;25879;9035;4209;28399;380;27766;70176;75915;16016;3567;438411;"#63CB5F"
"Ciliophora";24508;7153;1113;3155;14841;507;5405;7563;12798;8937;5515;18173;2235;18096;25495;3602;8944;4412;2115;13490;49680;61236;43922;5693;348588;"#482778"
"Haptophyta";14569;2752;5382;7931;2336;853;340;18002;9387;4817;1109;14930;7439;15038;873;6950;3185;1908;86;1239;49297;12807;6261;2939;190430;"#3F4889"
"Cercozoa";4385;3527;1481;2144;6532;920;3824;4820;14198;9369;4477;9094;13875;11629;33050;3003;1989;3494;9502;3314;3514;8398;8266;5092;169897;"#453581"
"Cryptophyta";7775;2546;1686;684;872;215;5781;1136;3794;8155;1036;3685;3494;3305;307;930;1259;7535;72;6947;7619;28922;3591;3168;104514;"#34618D"
"Pseudofungi";2566;964;489;1029;2889;461;551;2492;18342;4814;756;2062;8179;6933;3974;3348;955;3690;753;1270;10511;53;4539;1694;83314;"#414287"
"Fungi";171;76;187;211;388;1124;4566;176;719;209;298;395;15;50;25156;381;25697;76;4917;421;67;930;11443;51;77724;"#472E7C"
