"";"Metazoa";"Dinoflagellata";"Ochrophyta";"Proteobacteria";"Chlorophyta";"Ciliophora";"Haptophyta";"Cercozoa";"Cryptophyta";"Fungi";"Pseudofungi";"Nitrospinae";"Opisthokonta_X";"Hilomonadea";"Picozoa";"Katablepharidophyta";"Lobosa";"Perkinsea";"Mantamonadidea";"Unclassified";"Dadabacteria";"Radiolaria";"Ancoracystida";"Nitrospirae";"Gemmatimonadetes";"Chrompodellids";"Telonemia";"Choanoflagellida";"Sagenista";"Opalozoa";"Apicomplexa";"Foraminifera";"Verrucomicrobia";"Discoba";"Mesomycetozoa";"Conosa";"Centroheliozoa";"Rhodophyta";"Thaumarchaeota";"Prasinodermophyta";"Dependentiae";"Apusomonadidae";"Streptophyta";"Planctomycetes";"Epsilonbacteraeota";"Kiritimatiellaeota";"Acidobacteria"
"OSD002";0,380857380805624;0,187262093529885;0,174962711322113;0,0092174788619072;0,0250504632265411;0,0750949273282486;0,0446570147413789;0,0138097501070432;0,0238082914962994;0,000588149493485656;0,0078482668410726;0,0102996739299208;0,0242176435437654;0,00751419792877274;0,00613557551604237;0,000155271466280213;0,000908102817941853;0,00372651519072512;0,00252198502806649;0,000574033905642;6,11675473225082e-05;0;0,000536392338058918;1,8820783791541e-05;3,29363716351967e-05;0;0;0;0;0;0;0;0;0;0;0,000108219506801361;0;0;0;0;0;0;0;3,29363716351967e-05;0;0;0
"OSD003";0,392990042299033;0,127999321708165;0,293940592940112;0,0334152935967367;0,026670058125842;0,0326051116826348;0,0125578196685791;0,016001092803512;0,0115074093962261;0,000334435557565309;0,0043947658480061;0,0114226229168433;0,000814892274067584;0,00426758612893197;0,00323130693647609;0,0058172945576501;0,00792282546232183;0,00156854986858096;0,007192719667637;0,00221857954384874;0,000744236874581956;0;0,00187472326635201;2,82621597942515e-05;0,000442773836776606;3,76828797256686e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD014";0,707724523468978;0,152354376419777;0,0317843153751951;0,00195380056276935;0,0636247207186995;0,00305690327284965;0,0145740434323321;0,00391227528956446;0,00475362481420198;0,000528180534911331;0,00143029419188378;0,000659057127632723;0,00401510689813127;0,00193042974264053;0,00025707902141702;0,000243056529339728;0,00274373428312346;0,000191640725056324;4,20674762318759e-05;0,000976900281384674;0;0,00209869964756803;0,000944181133204326;0,000112179936618336;0;0;2,337082012882e-05;0;0;0;0;0;0;6,54382963606959e-05;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD022";0,578476883804481;0,256826132173584;0,0525763448993098;0,0237449182187766;0,00547414200623995;0,0102911978821972;0,0268223503829063;0,00709085752103621;0,00229743783681573;0,000680722322019476;0,00347452018530774;0,00352651980712868;0,00460905738867354;0,0107591944785856;0,00299706911222464;0,00103999243641864;0,00233998298194195;0,000770539850619268;0,000103999243641864;0,000931265954429422;0;0,000250543632409946;0,00216034792474237;0,000548359648293467;0;0;0,00181525952538527;0;0;0;1,89089533894299e-05;0;0;0,000146544388768082;0;0;0;6,61813368630046e-05;6,14540985156472e-05;5,19996218209322e-05;0;0;4,72723834735747e-05;0;0;0;0
"OSD030";0,770128371084495;0,0864670613910061;0,0221039399221455;0,00386935777072653;0,0107809279916257;0,0450490445770577;0,00721065101477179;0,0201412222123567;0,0027758436181299;0,00116828435106477;0,00892101930473062;0,000957993167873115;0,00595825019043035;0,000126174709914996;0,0068321268850268;0,00262163008378935;0;0,000514045114468501;0,000411236091574801;0,000200944908383141;0;0;0,00239731948838492;0,0013365172976181;2,80388244255546e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD037";0,585259030025277;0,092513760600978;0,162434149913775;0,0118730953674612;0,120446008835133;0,00168198247147481;0,00276393187026057;0,00302851338262739;0,000642555101462285;0,00371359051286291;0,00145047364815384;0,0027403085209421;0,000113392076728639;0,00102997803028513;0,000103942737001252;0;0,00380335924027309;0;0,00223004417566323;0,00373248919231769;6,14207082280126e-05;4,72466986369327e-05;0,00027403085209421;2,36233493184664e-05;3,30726890458529e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD039";0,0957536011242534;0,0531584494671507;0,295322637311161;0,255360112425343;0,195896474997072;0,0213467619159152;0,00133973533200609;0,0151774212437054;0,0226302845766483;0,017922473357536;0,00215013467619159;0,00156458601709802;0,000463754538002108;0,00423937229183745;0,00175196158800796;0,00232345707928329;0,00149432017800679;5,15282820002342e-05;0,00388804309638131;0,00474997072256705;0,00113362220400515;4,68438927274857e-05;0,00113362220400515;0,000356013584728891;0,000510598430729594;0,000234219463637428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD043";0,229486445208095;0,404495990836197;0,144869224894998;0,0083381061473845;0,024565673921344;0,0229047346315388;0,0550639557082856;0,014762313860252;0,00347938144329897;0,000539327987781596;0,00772718594883543;0,00450553646429935;0,00622852233676976;0,00610920198549065;0,00682035127911417;0,00077319587628866;0,00363211149293624;0,0024914089347079;0,00132684230622375;0,0012791141657121;9,06834669721268e-05;0,036077701412753;0,0110442917143948;0,00157025582283314;0,00016704849179076;3,81825124093165e-05;6,68193967163039e-05;0;0,000601374570446735;0,00049159984726995;0,000405689194348988;0;0;0;0;0;0;0;0;0;0;4,77281405116457e-05;0;0;0;0;0
"OSD054";0,149755295520322;0,188292645404459;0,316476447794775;0,0419891733892292;0,0306914223628165;0,0418449467803813;0,0307106525773295;0,0461380921704182;0,0122592617520648;0,00236050883147602;0,060075190138746;0,0140524792554061;0,00779304443141063;0,0226868455717624;0,0136919127332865;0,00523061834754767;0,00586521542647808;0,00462967414401508;0,00115862042441083;0,00343740084420642;0,000182687037873907;0;0,000495178023710854;5,76906435391287e-05;0,000105766179821736;0;0;1,92302145130429e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OSD055";0,143949574607486;0,159296225269128;0,302423230878858;0,0950401958861985;0,0526491982343461;0,0427401112381098;0,0230367143150918;0,0448060984882903;0,0390002917250515;0,000999516979832712;0,0230223671814099;0,020157722822942;0,00879479294694908;0,00981822181625148;0,0120228980253562;0,00650881631364747;0,00539930464225422;0,00478237789393642;0,00198946920387755;0,00228597663330161;0,000449543522030024;0;0,00033476645257555;0,000148253714712029;0,000291725051530122;0;0;5,26061568333007e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
