"";"Ochrophyta";"Chlorophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"OSD002";0,651134475774334;0,0938986368084477;0,0884709041669511;0,16577911290139;0,000603081404610728;0,000113788944266175
"OSD003";0,835109742109265;0,0759108659509479;0,0328775244551559;0,0354680310860796;0,0165354229227617;0,00409841347578972
"OSD014";0,27636769808451;0,548719045582014;0,0393792480631209;0,127715195589144;0,00221018109225724;0,00560863158895385
"OSD022";0,597927934790889;0,0622762245753028;0,0260531728498515;0,302087300982707;0,0116553668012493;0
"OSD030";0,491151628904679;0,235353264512669;0,058452875720606;0,15658935514144;0,058452875720606;0
"OSD037";0,566163450624291;0,416799091940976;0,00244040862656073;0,00968217934165721;0;0,00491486946651532
"OSD039";0,569516181634774;0,376565261249782;0,0456817371650474;0,00257874657747237;0,0045279756080912;0,00113009776483348
"OSD043";0,632900038822474;0,107551640584211;0,015207700236951;0,240993855339429;0,00319950735618951;0,000147257660745124
"OSD054";0,799557215081122;0,0777186663582593;0,0313419026534051;0,077545187192281;0,0130935465750256;0,000743482139906817
"OSD055";0,713220698366868;0,124165388432735;0,0919764504195615;0,0543287016150862;0,0153500857168637;0,000958675448885681
"OSD060";0,893805473887276;0,0843805937618831;0,00989603138535165;0,0102855658916167;0,00147466634514612;0,000157668728726315
"OSD072";0,72177508472079;0,0511731987623398;0,0339343598055105;0,137487107705908;0,0556302490054516;0
"OSD076";0,56406054714623;0,028273850854048;0,0997639216775448;0,206610193028746;0,101291487293431;0
"OSD077";0,702273774600713;0,0471951534769756;0,0377426352406964;0,169021366512684;0,0437670701689315;0
"OSD080";0,707887217639765;0,279033910183837;0,0033101514906464;0,0094129063561378;0,000355814329613456;0
"OSD099";0,664481425449655;0,168749182869203;0,017463252460731;0,129807063745541;0,0194990754748697;0
"OSD123";0,643769441903019;0,154034766697164;0,0460750228728271;0,116413540713632;0,00172003659652333;0,0379871912168344
"OSD124";0,707489746525413;0,20578687265402;0,0546658744076173;0,0138258865813539;0,0175722090984189;0,00065941073317778
"OSD141";0,900123087743978;0,0668190610163531;0,0126604536662564;0,0151222085458062;0,00158255670828205;0,00369263231932478
"OSD143";0,841985636953566;0,115796848804331;0,0296352520205854;0,00516719353412683;0,00731914822630556;9,5920461085486e-05
"OSD146";0,24433730069082;0,417202715717632;0,045295649382305;0,29307515784217;8,91763670737072e-05;0
"OSD150";0,204095860009082;0,485535934711838;0,189264037146713;0,081910804397741;0,0391933637346261;0
"OSD152";0,552298582698914;0,27648592193623;0,0619918172872754;0,108084313014656;0,000397051461322009;0,000742313601602016
"OSD159";0,884875721260541;0,0395805592543276;0,0351531291611185;0,0326120727918331;0,00148690634709277;0,00629161118508655
