"";"input";"filtered";"denoisedFws";"denoisedRvs";"merged";"nochim"
"OSD002";404993;381246;363649;364912;353261;350702
"OSD003";294465;277546;264156;263502;252821;250333
"OSD014";414604;395192;382535;385465;373945;372324
"OSD022";364301;345411;330001;335220;320040;314039
"OSD030";366002;351675;344990;345365;338739;336011
"OSD037";373240;344983;333425;332330;320313;318067
"OSD039";351295;333935;325552;326827;314326;292123
"OSD043";409977;393283;380956;378173;356459;350492
"OSD054";385210;367678;353204;348895;339409;333263
"OSD055";297013;282312;272895;270999;260669;236438
"OSD060";374282;352478;337621;333250;317594;311576
"OSD072";492770;476165;466533;466904;454257;446246
"OSD076";455874;439524;431898;431388;424470;386358
"OSD077";423337;406605;397314;396947;387384;365881
"OSD080";449700;432263;421398;424505;412228;406910
"OSD099";467122;445050;429588;430766;420823;415914
"OSD123";437765;418332;404526;407918;389512;376960
"OSD124";500355;470728;455921;456476;439647;435074
"OSD141";408194;389129;382516;383923;374302;365720
"OSD143";429559;403822;394954;396313;381093;374356
"OSD146";465595;440523;430667;431076;420567;416014
"OSD150";392549;368881;355403;359945;337958;329234
"OSD152";429863;410852;396334;401113;388944;376397
"OSD159";456359;431799;414606;419226;405193;398270
