"";"reads.in";"reads.out"
"OSD002_R1_18S_V9_lw_raw.fastq.gz";404993;381246
"OSD003_R1_18S_V9_lw_raw.fastq.gz";294465;277546
"OSD014_R1_18S_V9_lw_raw.fastq.gz";414604;395192
"OSD022_R1_18S_V9_lw_raw.fastq.gz";364301;345411
"OSD030_R1_18S_V9_lw_raw.fastq.gz";366002;351675
"OSD037_R1_18S_V9_lw_raw.fastq.gz";373240;344983
"OSD039_R1_18S_V9_lw_raw.fastq.gz";351295;333935
"OSD043_R1_18S_V9_lw_raw.fastq.gz";409977;393283
"OSD054_R1_18S_V9_lw_raw.fastq.gz";385210;367678
"OSD055_R1_18S_V9_lw_raw.fastq.gz";297013;282312
"OSD060_R1_18S_V9_lw_raw.fastq.gz";374282;352478
"OSD072_R1_18S_V9_lw_raw.fastq.gz";492770;476165
"OSD076_R1_18S_V9_lw_raw.fastq.gz";455874;439524
"OSD077_R1_18S_V9_lw_raw.fastq.gz";423337;406605
"OSD080_R1_18S_V9_lw_raw.fastq.gz";449700;432263
"OSD099_R1_18S_V9_lw_raw.fastq.gz";467122;445050
"OSD123_R1_18S_V9_lw_raw.fastq.gz";437765;418332
"OSD124_R1_18S_V9_lw_raw.fastq.gz";500355;470728
"OSD141_R1_18S_V9_lw_raw.fastq.gz";408194;389129
"OSD143_R1_18S_V9_lw_raw.fastq.gz";429559;403822
"OSD146_R1_18S_V9_lw_raw.fastq.gz";465595;440523
"OSD150_R1_18S_V9_lw_raw.fastq.gz";392549;368881
"OSD152_R1_18S_V9_lw_raw.fastq.gz";429863;410852
"OSD159_R1_18S_V9_lw_raw.fastq.gz";456359;431799
