"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"OSD002";404993;381246;363649;364912;353261;350702;86,6
"OSD003";294465;277546;264156;263502;252821;250333;85
"OSD014";414604;395192;382535;385465;373945;372324;89,8
"OSD022";364301;345411;330001;335220;320040;314039;86,2
"OSD030";366002;351675;344990;345365;338739;336011;91,8
"OSD037";373240;344983;333425;332330;320313;318067;85,2
"OSD039";351295;333935;325552;326827;314326;292123;83,2
"OSD043";409977;393283;380956;378173;356459;350492;85,5
"OSD054";385210;367678;353204;348895;339409;333263;86,5
"OSD055";297013;282312;272895;270999;260669;236438;79,6
"OSD060";374282;352478;337621;333250;317594;311576;83,2
"OSD072";492770;476165;466533;466904;454257;446246;90,6
"OSD076";455874;439524;431898;431388;424470;386358;84,8
"OSD077";423337;406605;397314;396947;387384;365881;86,4
"OSD080";449700;432263;421398;424505;412228;406910;90,5
"OSD099";467122;445050;429588;430766;420823;415914;89
"OSD123";437765;418332;404526;407918;389512;376960;86,1
"OSD124";500355;470728;455921;456476;439647;435074;87
"OSD141";408194;389129;382516;383923;374302;365720;89,6
"OSD143";429559;403822;394954;396313;381093;374356;87,1
"OSD146";465595;440523;430667;431076;420567;416014;89,4
"OSD150";392549;368881;355403;359945;337958;329234;83,9
"OSD152";429863;410852;396334;401113;388944;376397;87,6
"OSD159";456359;431799;414606;419226;405193;398270;87,3
