"";"TARA109";"TARA102";"TARA076";"TARA078";"TARA082";"TARA007";"TARA011";"TARA022";"TARA025";"TARA026";"TARA030";"TARA031";"TARA032";"TARA067";"TARA066";"TARA065";"TARA064";"TARA052";"TARA036";"TARA041";"TARA042";"Total";"Color"
"Metazoa";255759;731370;167748;340956;434770;147559;951866;700723;100716;255542;115044;99493;52855;132436;73031;137415;98295;68672;85336;144457;231998;5326041;"#440154"
"Dinoflagellata";57024;127149;221266;185422;182582;229700;73600;88702;313903;318758;93420;242725;133071;413465;283527;100163;251715;266906;178061;284380;330513;4376052;"#46095D"
"Radiolaria";230417;37297;7360;7030;325;4532;98179;112718;3731;15815;1496;60769;29770;838;18437;60734;25552;57182;22156;33308;25961;853607;"#26818E"
"Ochrophyta";1144;23110;20292;40995;170186;49697;20673;16615;40498;39037;15650;23690;11483;137619;44557;19033;44827;39528;22245;20282;35146;836307;"#471164"
"Proteobacteria";14229;11917;9934;18773;36344;41235;10280;33820;36665;52911;5741;20620;15421;20358;10517;31905;8652;15446;48936;59312;44412;547428;"#48196B"
"Sagenista";1528;4436;5253;7312;1991;17166;4356;4592;21989;20777;6180;7773;12435;3479;17139;14480;21091;17147;13315;19177;23936;245552;"#24AA83"
"Haptophyta";52;1506;7540;6536;25180;20110;5563;4483;17415;21433;4375;7829;9042;6195;5487;2545;10604;9665;18226;12537;15526;211849;"#3F4889"
"Discoba";79130;1835;8304;4443;940;6133;674;1466;3063;5306;1006;6156;3384;8084;12417;24587;5175;4894;7086;6354;9561;199998;"#4CC26C"
"Pseudofungi";136;2595;6100;7531;14328;18950;3217;3250;8830;9777;5579;4093;5618;10883;9232;6925;13825;5423;6548;6351;14526;163717;"#414287"
"Opalozoa";412;2471;3402;4184;1778;19881;7013;4629;11983;14359;4826;9184;7566;2727;8306;8204;8902;9268;5217;8314;15803;158429;"#38B977"
"Ciliophora";3115;7083;3633;8997;15021;2757;3910;5056;6118;5894;893;7063;4541;11535;14487;6630;7752;4657;4507;4930;28441;157020;"#482778"
"Chlorophyta";622;4061;1674;7063;2072;1031;830;1083;3582;1925;398;20108;3239;7424;20599;7509;16904;28073;2066;2023;3343;135629;"#63CB5F"
"Cryptophyta";32;527;294;1963;229;596;1357;2209;12273;5744;641;10820;2425;15976;29285;8714;7990;6111;4477;1693;3556;116912;"#34618D"
"Telonemia";65;1802;2420;2837;2028;5520;2026;1597;9325;3359;1683;4715;6065;4707;5213;1120;5238;7420;3465;2786;5085;78476;"#1FA088"
"Cercozoa";497;791;404;975;12205;3017;2175;2270;2255;2342;471;1448;1011;22625;3147;1983;2090;522;507;4670;4454;69859;"#453581"
"Picozoa";371;1569;2271;2126;5786;4876;1311;1399;3097;2308;1222;2673;3785;4836;2015;2775;4087;5017;2986;5801;6643;66954;"#443C84"
"Apicomplexa";2743;1043;697;12668;2024;3211;834;1841;397;8429;168;2515;612;571;455;835;781;525;2351;2660;1671;47031;"#29AF7F"
"Lobosa";4125;59;1235;2020;19;11794;793;45;72;313;75;457;121;5;551;1100;7465;1540;85;4722;9589;46185;"#2D718E"
"Choanoflagellida";6;328;953;1060;1878;752;365;142;1164;678;607;713;1102;388;926;402;917;1372;519;1441;4083;19796;"#21A585"
"Fungi";6151;118;1597;594;88;131;91;137;914;220;438;149;142;121;90;276;480;309;55;1099;926;14126;"#472E7C"
"Verrucomicrobia";1009;888;111;89;7;253;132;619;398;428;102;341;60;1805;981;2713;558;123;1202;1725;544;14088;"#41BD72"
"Foraminifera";7825;171;0;23;89;0;1161;436;8;159;0;126;32;2;2450;581;504;2;15;36;51;13671;"#30B47C"
"Katablepharidophyta";8;260;78;686;49;1428;591;867;2478;2440;162;16;147;2535;1134;42;279;93;300;0;7;13600;"#21908C"
