"";"Ochrophyta";"Haptophyta";"Chlorophyta";"Cryptophyta";"Katablepharidophyta";"Rhodophyta"
"TARA109";0,603693931398417;0,0274406332453826;0,328232189973615;0,0168865435356201;0,00422163588390501;0,0195250659630607
"TARA102";0,783814950481617;0,0510785510785511;0,137735721069054;0,0178741012074345;0,00881834215167548;0,000678334011667345
"TARA076";0,678889260622282;0,252258280361325;0,0560053529608565;0,00983606557377049;0,00260956841753095;0,00040147206423553
"TARA078";0,716157434096745;0,114179899725731;0,123386265569589;0,0342924025645057;0,0119839980434289;0
"TARA082";0,860759877804528;0,12735438710069;0,0104796779218677;0,00115822695178944;0,00024783022112525;0
"TARA007";0,682070214926848;0,27600120776262;0,0141500370563531;0,0081798468337405;0,0195986934204386;0
"TARA011";0,70810070217503;0,190546326425758;0,0284295256036993;0,046480561740024;0,0202431923274533;0,00619969172803562
"TARA022";0,65544991912896;0,176851157836601;0,0427235788394019;0,0871434770602391;0,0342025326442858;0,00362933449051245
"TARA025";0,519524835796388;0,22340671182266;0,045951354679803;0,157443041871921;0,0317887931034483;0,02188526272578
"TARA026";0,546384682137558;0,299988802732133;0,0269434258041038;0,0803963832824791;0,0341516669932536;0,0121350390504717
"TARA030";0,729365708160507;0,203896164421867;0,0185487253576921;0,0298737008901524;0,00754998368830685;0,0107657174814746
"TARA031";0,375656089941804;0,124145695574267;0,318855747427176;0,171574457288743;0,000253714539428825;0,00951429522858094
"TARA032";0,434879757621663;0,342435144858928;0,122666161711797;0,0918386669191441;0,00556712743798523;0,00261314145048286
"TARA067";0,810720534436138;0,0364950603538165;0,0437351619155341;0,0941154292514242;0,0149338140430871;0
"TARA066";0,440160428335754;0,0542038348694544;0,203489118730798;0,289294569737921;0,0112023234448626;0,00164972488120993
"TARA065";0,501872165383398;0,0671079000105474;0,198001265689273;0,229775340153992;0,00110747811412298;0,00213585064866575
"TARA064";0,554001112278317;0,131051103009331;0,208910585181981;0,0987455972316629;0,00344806278193166;0,00384353951677686
"TARA052";0,473451592425349;0,115763753308819;0,336247888943454;0,0731952712333361;0,00111391919893639;0,000227574890105283
"TARA036";0,470156824618506;0,385213678826563;0,0436657226190979;0,094623155936932;0,00634061799890096;0
"TARA041";0,555138907896538;0,343150403722458;0,0553715615163542;0,0463391268646503;0;0
"TARA042";0,610374950070336;0,269637554054289;0,0580573453048749;0,061756482172939;0,000121567878293187;5,21005192685087e-05
