"";"TARA109";"TARA102";"TARA076";"TARA078";"TARA082";"TARA007";"TARA011";"TARA022";"TARA025";"TARA026";"TARA030";"TARA031";"TARA032";"TARA067";"TARA066";"TARA065";"TARA064";"TARA052";"TARA036";"TARA041";"TARA042";"Total";"Color"
"Dinoflagellata";22148;35350;120286;72553;50451;96969;16654;23909;130931;97265;93420;117165;109787;130879;128186;54319;116979;126372;104482;112649;103220;1863974;"#46095D"
"Metazoa";99246;202526;90566;134217;120091;62280;216745;189564;41770;77906;115044;48045;43767;42055;32984;74700;45978;32476;49910;57378;71966;1849214;"#440154"
"Radiolaria";89425;10430;4015;2778;105;1880;22367;30479;1536;4810;1496;29258;24612;256;8349;32731;11936;26965;12877;13114;8127;337546;"#26818E"
"Ochrophyta";458;6432;10913;16002;47105;20928;4746;4530;16993;11791;15650;11566;9428;43531;20147;10286;20842;18728;12871;8052;10900;321899;"#471164"
"Proteobacteria";5549;3425;5395;7273;10041;17282;2390;9132;15404;16273;5741;9956;12755;6465;4764;17510;4031;7336;28558;23677;13665;226622;"#48196B"
"Sagenista";568;1231;2866;2946;545;7348;987;1246;9365;6277;6180;3786;10304;1079;7794;7868;9843;8087;7745;7568;7446;111079;"#24AA83"
"Haptophyta";26;441;4146;2505;6966;8467;1261;1177;7331;6675;4375;3849;7464;1952;2513;1368;4928;4520;10734;4912;4834;90444;"#3F4889"
"Discoba";30665;509;4497;1817;251;2665;148;388;1297;1694;1006;2986;2786;2523;5552;13327;2446;2337;4191;2582;3029;86696;"#4CC26C"
"Pseudofungi";47;734;3341;2971;3932;8066;719;850;3672;2972;5579;1937;4585;3537;4074;3718;6496;2623;3794;2454;4521;70622;"#414287"
"Opalozoa";165;712;1904;1656;469;8301;1636;1290;5029;4376;4826;4455;6240;856;3763;4425;4133;4390;3068;3275;4997;69966;"#38B977"
"Ciliophora";1208;1983;1917;3550;4146;1194;907;1398;2626;1825;893;3482;3760;3665;6486;3528;3566;2179;2671;1967;8828;61779;"#482778"
"Chlorophyta";254;1142;894;2751;569;420;191;269;1498;605;398;9630;2707;2430;9267;4051;7857;13330;1226;808;997;61294;"#63CB5F"
"Cryptophyta";15;181;180;740;61;259;287;578;5075;1807;641;5198;2017;5015;13204;4754;3795;2812;2622;673;1091;51005;"#34618D"
"Telonemia";22;493;1333;1154;562;2336;468;435;3971;1001;1683;2303;5008;1463;2329;593;2452;3564;2079;1121;1612;35982;"#1FA088"
"Picozoa";141;431;1231;858;1578;2070;321;365;1291;709;1222;1270;3092;1480;887;1492;1873;2363;1744;2324;2047;28789;"#443C84"
"Cercozoa";198;228;229;383;3453;1287;505;609;968;744;471;710;820;7128;1454;1053;926;228;300;1835;1372;24901;"#453581"
"Lobosa";1624;13;661;793;8;5012;186;13;27;89;75;225;98;0;245;573;3526;706;48;1859;2970;18751;"#2D718E"
"Apicomplexa";1041;287;369;5024;578;1353;193;510;168;2627;168;1238;513;177;197;443;391;271;1330;1062;508;18448;"#29AF7F"
"Choanoflagellida";4;99;519;418;512;328;80;34;489;216;607;331;898;140;440;221;419;674;296;600;1268;8593;"#21A585"
"Fungi";2349;33;850;235;27;52;25;35;381;62;438;72;112;38;36;150;250;155;35;428;263;6026;"#472E7C"
"Verrucomicrobia";393;259;70;35;3;101;27;173;162;141;102;167;46;550;442;1465;266;60;703;671;164;6000;"#41BD72"
"Foraminifera";2956;39;0;9;17;0;270;120;2;48;0;66;28;1;1121;341;238;1;7;11;14;5289;"#30B47C"
"Katablepharidophyta";3;76;42;254;12;603;125;254;1036;693;162;6;118;823;495;28;138;45;174;0;2;5089;"#21908C"
"Planctomycetes";80;47;12;21;1;45;40;122;224;499;12;94;328;223;67;95;68;34;5;697;204;2918;"#7CD250"
"Centroheliozoa";0;25;198;351;0;90;34;9;173;245;70;37;200;117;88;59;131;117;35;119;290;2388;"#6FCF57"
"Rhodophyta";15;6;7;0;0;0;53;29;711;260;231;299;58;0;69;52;141;9;0;0;1;1941;"#99D83E"
"Thaumarchaeota";184;0;0;3;0;0;0;11;0;27;0;39;3;122;172;923;1;0;1;0;0;1486;"#8AD647"
"Mesomycetozoa";2;0;6;9;0;0;4;4;92;198;349;10;14;11;84;0;0;0;0;101;52;936;"#482071"
"Opisthokonta_X";0;0;138;3;0;0;2;7;0;0;0;100;128;0;0;6;0;355;0;128;12;879;"#39558C"
"Hilomonadea";0;1;0;0;0;740;7;0;0;1;0;0;0;0;0;0;0;22;0;11;32;814;"#375B8D"
"Streptophyta";0;0;39;84;23;86;7;10;106;104;91;4;104;0;20;9;16;10;24;9;4;750;"#E2E418"
"Apusomonadidae";13;0;0;0;0;125;13;3;12;5;13;0;0;0;0;6;0;0;0;0;3;193;"#A7DB35"
"Chrompodellids";0;0;32;9;2;0;0;0;0;0;0;6;0;0;0;0;0;60;38;12;11;170;"#1E9B8A"
"Conosa";0;0;7;18;0;0;0;0;0;0;0;1;43;0;0;15;0;1;2;16;54;157;"#57C666"
"Nitrospinae";41;0;0;0;0;0;0;0;0;0;0;8;0;37;13;31;0;0;0;0;0;130;"#3C4F8A"
"Prasinodermophyta";0;0;2;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;40;"#B6DE2A"
"Acidobacteria";26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;"#297B8E"
"Epsilonbacteraeota";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;"#C4E021"
"Alveolata_X";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;"#25858E"
