"";"Metazoa";"Dinoflagellata";"Radiolaria";"Ochrophyta";"Proteobacteria";"Sagenista";"Haptophyta";"Discoba";"Pseudofungi";"Opalozoa";"Ciliophora";"Chlorophyta";"Cryptophyta";"Telonemia";"Cercozoa";"Picozoa";"Apicomplexa";"Lobosa";"Choanoflagellida";"Fungi";"Verrucomicrobia";"Foraminifera";"Katablepharidophyta";"Planctomycetes";"Centroheliozoa";"Rhodophyta";"Thaumarchaeota";"Mesomycetozoa";"Hilomonadea";"Opisthokonta_X";"Streptophyta";"Apusomonadidae";"Conosa";"Chrompodellids";"Nitrospinae";"Acidobacteria";"Prasinodermophyta";"Epsilonbacteraeota";"Alveolata_X"
"TARA109";0,383207200296067;0,0854398374629355;0,345236935828725;0,00171407081329963;0,0213195048972382;0,00228942325412748;7,79123096954378e-05;0,118561558965384;0,00020377065612653;0,000617305222971545;0,00466724701348632;0,000931951089049275;4,7946036735654e-05;9,73903871192972e-05;0,000744661883050627;0,000555874363403989;0,00410987433643434;0,0061805437979554;8,98988188793513e-06;0,0092161272487815;0,00151179847082109;0,0117243042955154;1,19865091839135e-05;0,000311649238781751;0;5,54376049756e-05;0,000798601174378237;1,04881955359243e-05;0;0;0;4,64477230876648e-05;0;0;0,000155824619390876;9,5892073471308e-05;0;4,94443503836432e-05;0
"TARA102";0,759753636090713;0,132083507766654;0,0387444540591976;0,0240068727594191;0,0123794851871051;0,00460815610388504;0,00156444614347405;0,00190621425848265;0,00269570899224114;0,00256689669357528;0,00735788315685702;0,00421860278130684;0,000547452269329896;0,00187193356609577;0,000821697808424948;0,00162989110166718;0,0010834776411975;6,12897227523033e-05;0,000340729306148398;0,000122579445504607;0,000922462267865175;0,000177636315095659;0,000270090303654218;0,000147510858149611;8,10270910962654e-05;2,07761772041706e-05;0;0;3,11642658062559e-06;0;1,24657063225024e-05;0;0;0;0;0;0;0;0
"TARA076";0,354374223641849;0,467433095883929;0,0155482884207502;0,0428676451948184;0,0209859642896376;0,0110971683524729;0,0159285454745186;0,0175425254138464;0,0128864890443718;0,00718685831622177;0,00767485486855781;0,00353639060004563;0,000621086521154967;0,00511234483399667;0,00085346583179118;0,00479757649504398;0,00147243981375855;0,00260898589668838;0,00201324984578464;0,00337372508260028;0,000234491849823814;0;0,000164778056632951;2,74630094388251e-05;0,000781639499412714;2,53504702512232e-05;0;2,74630094388251e-05;0;0,000530247336088084;0,000126752351256116;0;3,38006270016309e-05;0,000122527272880912;0;0;1,05626959380097e-05;0;0
"TARA078";0,512241292276628;0,278572029518521;0,0105616451527608;0,0615895651546838;0,0282039494242927;0,0109853128530564;0,00981947549337756;0,00667501983125406;0,0113143313862648;0,00628590658878392;0,0135168024807096;0,0106112232879017;0,00294914785702267;0,00426221725439292;0,00146480853825629;0,00319403379726449;0,019031994423211;0,00303478281772073;0,00159250979543761;0,000892406432537679;0,000133710728107497;3,4554457825533e-05;0,00103062426383981;5,70899737987068e-05;0,00143626355135694;0;7,51183865772457e-06;2,40378837047186e-05;0;1,05165741208144e-05;0,000369582461960049;0;6,91089156510661e-05;2,85449868993534e-05;0;0;0;0;0
"TARA082";0,477764505625769;0,200637576111885;0,000357139324995687;0,187015732811434;0,0399380665465946;0,00218789044943512;0,0276700560104351;0,0010329568169106;0,0157448992262714;0,0019538268302841;0,0165064301561853;0,00227690055812635;0,000251645862843115;0,00222854938797309;0,0134119552663765;0,00635817887515398;0,00222415382705006;2,08789143843632e-05;0,00206371585335969;9,67023403065244e-05;7,69223161529172e-06;9,78012305372804e-05;5,3845621307042e-05;1,53844632305834e-05;0;0;0;0;0;0;7,58234259221612e-05;0;0;7,69223161529172e-06;0;0;0;0;0
"TARA007";0,248890980423907;0,387439994872366;0,00764422314654576;0,0838250127347495;0,0695519729584763;0,0289542662254202;0,0339199751714553;0,0103446647303101;0,031963377896523;0,033533715881835;0,00465029197154163;0,0017390101641855;0,00100528618608589;0,00931070427381567;0,00508883963661266;0,00822445544187051;0,00541606366362719;0,0198931967763373;0,00126841478512851;0,000220960554324249;0,000426740612549885;0;0,00240863871431318;0,000172045622450942;0,000371078793521639;0;0;0;0,00290790836377866;0;0,000327224027014536;0,000500956371254213;0;0;0;0;0;0;0
"TARA011";0,798763755859405;0,0617618576892674;0,0823874650281872;0,017347865271878;0,00862652034029441;0,00365536212084849;0,00466822302072547;0,000565590925034867;0,00269956380688007;0,00588499874965804;0,00328109868974233;0,00069649921035451;0,00113873425114587;0,0017001293978051;0,00182516359339887;0,00110013309009008;0,000699855833055013;0,000665450450374851;0,000306291821420959;7,63631664364583e-05;0,000110768549116621;0,000974259738821188;0,000495941003999416;0,000177061847451568;0,000125034195593761;0,000151887177197791;0;2,43355145786515e-05;1,17481794517628e-05;1,51048021522665e-05;2,43355145786515e-05;3,86011610557921e-05;0;0;0;0;0;0;0
"TARA022";0,70824384135131;0,0896540362105195;0,113927799300775;0,0167933283537889;0,0341829891619103;0,0046412858140595;0,00453111591995399;0,00148173453907039;0,00328488216369629;0,00467868293407696;0,00511026591373798;0,00109462381024095;0,00223270913834003;0,00161414055859169;0,00229436384972018;0,00141401542984957;0,00186075940411227;4,54829838050256e-05;0,000143524082229192;0,000138470417361967;0,000625643710562463;0,000440679576422025;0,000876305487976826;0,000447754707236141;2,83005232564604e-05;9,29874335569412e-05;4,04293189378005e-05;1,51609946016752e-05;0;2,12253924423453e-05;3,63863870440205e-05;7,07513081411509e-06;0;0;0;0;0;0;0
"TARA025";0,166731229575772;0,519653611715354;0,00617651830441246;0,0670427869986856;0,0606974118550745;0,0364018925209664;0,0288298221043535;0,00507067155358225;0,0146177048051359;0,0198373676874228;0,0101280994335019;0,00592985488244584;0,0203174508576934;0,0154371571130116;0,00373306051365588;0,00512695716664846;0,000657217305508375;0,000119193062963736;0,00192695451791372;0,00151308971595631;0,000658872764716205;1,32436736626373e-05;0,0041022279170019;0,000940300830047247;0,000648940009469227;0,0028242134085574;8,2772960391483e-06;0,000395654750671289;0;0;0,000422142097996563;3,80755617800822e-05;0;0;0;0;0;0;0
"TARA026";0,322528612610248;0,402315766090965;0,0199606718599333;0,0492699808660268;0,0667808478520979;0,0262233878744125;0,0270513487179228;0,00669689060314928;0,0123398981204279;0,0181230026706786;0,00743902623727136;0,0024296107069473;0,0072497059224443;0,00423951291669401;0,00295592118216653;0,0029130085774724;0,0106385395578487;0,00039504839027247;0,000855727823018321;0,000277669795079691;0,000540193964973217;0,000200679533716686;0,00307961045452021;0,00209640695285167;0,00101349475204087;0,00109427141970042;0,000111067918031876;0,000800193864002383;3,78640629654124e-06;5,04854172872166e-06;0,000347087243849614;2,39805732114279e-05;0;0;0;0;0;0;0
