"";"Type";"C1A17";"C1F18";"C1A18";"C2A17";"C2F18";"C2A18";"C3A17";"C3F18";"C3A18";"C4A17";"C4F18";"C4A18";"F1A17";"F1F18";"F1A18";"F2A17";"F2F18";"F2A18";"F3A17";"F3F18";"F3A18";"F4A17";"F4F18";"F4A18";"H1A17";"H1F18";"H1A18";"H2A17";"H2F18";"H2A18";"H3A17";"H3F18";"H3A18";"H4A17";"H4F18";"H4A18";"P1F18";"P1A18";"P2F18";"P3F18";"P4F18";"Q1A17";"Q1F18";"Q2A17";"Q2F18";"Q3A17";"Q3F18";"Q3A18";"Q4A17";"Q4F18";"Q4A18";"L1A17";"L1F18";"L1A18";"L2A17";"L2F18";"L2A18";"L3A17";"L3F18";"L3A18";"L4A17";"L4F18";"L4A18"
"ASV0001";"Shared";0;3177;3732;0;503;2648;0;51;708;0;0;782;556;253;2791;681;672;6340;368;1118;1363;89;1312;3502;7624;12030;8971;7427;10028;8323;7350;12913;7957;6448;12143;7925;5302;493;4718;3878;5218;125;113;653;1159;423;1462;3233;447;256;6051;4408;470;3778;3552;3910;5145;4162;1882;5948;4720;4552;6526
"ASV0003";"Shared";0;2499;2797;0;395;1895;0;0;597;0;32;680;449;179;2033;491;538;4775;286;949;1001;66;1031;2506;5636;9028;6688;5681;7503;6278;5399;10217;6022;5005;8777;6086;4097;391;3708;2989;4002;0;0;481;976;341;1205;2450;324;183;4659;3382;386;3099;2802;3071;3988;3165;1435;4696;3709;3607;4971
"ASV0006";"Shared";0;2309;2616;0;370;1793;0;35;533;26;63;577;449;201;1895;510;507;4375;235;851;921;69;937;2419;5335;8284;6298;5496;6882;5894;5037;9241;5505;4501;8460;5454;3754;361;3312;2691;3681;0;0;477;875;326;1112;2244;293;178;4225;3145;331;2889;2653;2878;3775;3046;1313;4311;3487;3298;4699
"ASV0008";"Shared";0;1526;1739;0;258;1193;0;0;319;0;0;368;323;98;1279;313;375;2980;155;517;584;35;613;1446;3237;5247;4117;3579;4297;3712;3431;6318;3488;2971;5285;3377;2386;235;2084;1604;2281;27;0;317;562;197;686;1463;257;102;2929;2046;217;2009;1656;1779;2689;2030;776;3192;2376;2130;3081
"ASV0013";"Shared";0;210;590;0;51;396;0;0;477;0;0;847;161;0;372;197;36;948;82;165;187;68;197;650;233;743;943;237;555;818;224;876;633;182;776;1465;1034;54;1018;695;1031;24;0;93;40;0;75;838;120;64;1225;835;95;775;694;412;1506;1111;191;1537;957;558;1623
"ASV0016";"Shared";0;194;494;0;43;318;0;0;414;0;0;730;119;0;308;187;73;707;53;104;110;0;134;483;174;571;657;184;486;627;161;834;435;136;552;1019;799;42;807;512;858;0;0;89;30;33;44;604;0;0;981;628;0;578;490;316;1056;822;127;1142;800;397;1364
"ASV0017";"Shared";0;155;417;0;46;262;0;0;408;0;57;614;124;37;227;211;50;668;61;117;118;0;136;464;184;548;573;191;446;603;181;669;480;95;553;976;709;47;709;492;811;17;11;98;35;89;91;541;0;0;879;603;0;585;494;287;1073;794;131;1113;703;411;1189
"ASV0020";"Other";0;266;0;0;1149;0;0;823;0;0;522;0;0;7166;0;0;4012;0;0;808;0;0;824;0;0;30;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;36;2;55;11;49;123;0;50;17;0;0;0;0;0;10;0;0;0;0;0;6;0
"ASV0021";"Shared";298;470;48;0;62;41;0;131;77;0;262;146;461;61;66;647;37;133;231;69;42;103;70;175;366;882;98;369;704;110;319;1298;82;378;1174;152;604;19;676;530;809;16;0;57;19;61;0;155;18;0;275;309;61;113;244;265;306;289;93;174;361;361;199
"ASV0023";"Shared";0;58;99;0;8;85;0;4;181;0;5;315;95;20;115;138;36;237;52;75;85;8;57;227;145;702;463;168;683;419;220;1084;352;250;965;588;512;69;482;386;553;21;0;44;67;67;0;713;25;0;774;245;35;143;202;131;239;263;60;294;287;233;168
"ASV0025";"Shared";0;0;88;35;0;112;33;0;0;0;0;71;0;0;911;67;0;291;115;16;1731;119;0;385;110;95;105;0;131;95;0;107;0;115;0;161;788;522;739;245;423;10;0;0;92;11;79;406;0;54;291;136;291;580;115;1446;257;0;389;746;139;431;503
"ASV0028";"Other";0;191;0;0;842;0;0;559;0;0;375;0;0;5496;0;0;3097;0;0;596;0;0;663;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;50;12;1;29;18;35;93;0;37;18;0;0;0;0;0;11;0;0;0;0;0;10;0
"ASV0029";"Shared";239;344;37;0;49;22;0;90;67;0;206;107;328;0;43;495;34;96;231;52;29;69;59;111;225;654;77;257;530;79;260;1049;75;300;945;119;522;13;451;415;630;0;0;29;0;0;44;142;27;0;251;274;0;74;212;186;237;286;67;139;241;278;159
"ASV0030";"Shared";85;215;0;27;580;16;1796;5262;0;57;2755;31;0;109;0;0;17;0;0;12;0;0;16;0;0;21;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;80;161;40;70;43;110;0;45;190;0;0;0;0;0;70;0;0;0;0;0;57;35
"ASV0031";"Other";0;73;0;0;106;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;249;4406;150;0;82;0;71;0;150;88;0;0;119;0;0;3038;0;1769;72;0;0;1267;0;0;0
"ASV0032";"Shared";0;58;259;0;63;159;0;0;109;0;0;152;507;119;299;193;85;233;73;382;132;0;366;507;88;152;286;80;329;246;242;240;325;221;189;377;191;74;348;429;188;127;0;122;104;192;850;238;70;102;148;127;114;143;194;215;346;115;74;166;67;129;345
"ASV0033";"Other";0;194;0;0;830;0;0;523;0;0;353;0;0;5038;8;0;2798;0;0;619;0;0;583;7;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;20;2;38;13;41;97;0;0;24;0;0;0;0;0;11;0;0;3;0;0;12;0
"ASV0034";"Shared";239;309;19;27;101;16;41;93;66;0;181;80;365;0;57;380;20;99;190;48;37;64;62;115;215;600;93;261;518;56;255;881;57;297;859;87;443;9;500;406;603;0;0;50;0;0;17;103;12;0;206;215;0;84;143;174;240;236;62;151;256;253;126
"ASV0035";"Shared";0;43;84;0;3;45;0;1;120;0;0;213;77;0;102;107;36;168;42;61;69;7;44;186;106;515;330;136;456;286;158;861;254;213;674;448;422;39;369;283;448;0;0;50;0;0;56;525;50;0;639;213;0;122;178;96;221;232;30;253;221;211;137
