;ASV;Type
1;ASV0411;Unique
2;ASV0648;Unique
3;ASV1430;Unique
4;ASV1588;Unique
5;ASV1614;Unique
6;ASV1655;Unique
7;ASV1783;Unique
8;ASV1787;Unique
9;ASV1909;Unique
10;ASV2065;Unique
11;ASV2153;Unique
12;ASV2160;Unique
13;ASV2174;Unique
14;ASV2297;Unique
15;ASV2367;Unique
16;ASV2413;Unique
17;ASV2505;Unique
18;ASV2529;Unique
19;ASV2572;Unique
20;ASV2685;Unique
21;ASV2690;Unique
22;ASV2785;Unique
23;ASV2856;Unique
24;ASV2929;Unique
25;ASV2937;Unique
26;ASV2969;Unique
27;ASV3072;Unique
28;ASV3099;Unique
29;ASV3104;Unique
30;ASV3140;Unique
31;ASV3148;Unique
32;ASV3178;Unique
33;ASV3246;Unique
34;ASV3247;Unique
35;ASV3309;Unique
36;ASV3340;Unique
37;ASV3345;Unique
38;ASV3347;Unique
39;ASV3413;Unique
40;ASV3417;Unique
41;ASV3457;Unique
42;ASV3459;Unique
43;ASV3495;Unique
44;ASV3528;Unique
45;ASV3529;Unique
46;ASV3530;Unique
47;ASV3565;Unique
48;ASV3609;Unique
49;ASV3646;Unique
50;ASV3699;Unique
51;ASV3705;Unique
52;ASV3707;Unique
53;ASV3711;Unique
54;ASV3751;Unique
55;ASV3752;Unique
56;ASV3814;Unique
57;ASV3851;Unique
58;ASV3854;Unique
59;ASV3858;Unique
60;ASV3861;Unique
61;ASV3862;Unique
62;ASV3863;Unique
63;ASV3904;Unique
64;ASV3918;Unique
65;ASV3923;Unique
66;ASV3983;Unique
67;ASV4114;Unique
68;ASV4171;Unique
69;ASV4179;Unique
70;ASV4181;Unique
71;ASV4261;Unique
72;ASV4337;Unique
73;ASV4344;Unique
74;ASV4350;Unique
75;ASV4351;Unique
76;ASV4425;Unique
77;ASV4518;Unique
78;ASV4531;Unique
79;ASV4611;Unique
80;ASV4617;Unique
81;ASV4698;Unique
82;ASV4705;Unique
83;ASV4710;Unique
84;ASV4715;Unique
85;ASV4790;Unique
86;ASV4793;Unique
87;ASV4800;Unique
88;ASV4808;Unique
89;ASV4812;Unique
90;ASV4923;Unique
91;ASV4927;Unique
92;ASV4937;Unique
93;ASV5043;Unique
94;ASV5045;Unique
95;ASV5054;Unique
96;ASV5057;Unique
97;ASV5058;Unique
98;ASV5065;Unique
99;ASV5179;Unique
100;ASV5186;Unique
101;ASV5193;Unique
102;ASV5194;Unique
103;ASV5196;Unique
104;ASV5197;Unique
105;ASV5471;Unique
106;ASV5472;Unique
107;ASV5479;Unique
108;ASV5620;Unique
109;ASV5646;Unique
110;ASV5651;Unique
111;ASV5793;Unique
112;ASV5794;Unique
113;ASV5799;Unique
114;ASV5801;Unique
115;ASV5808;Unique
116;ASV5973;Unique
117;ASV5986;Unique
118;ASV5992;Unique
119;ASV5995;Unique
120;ASV5996;Unique
121;ASV5998;Unique
122;ASV5999;Unique
123;ASV6007;Unique
124;ASV1698;Unique
125;ASV1711;Unique
126;ASV1886;Unique
127;ASV2222;Unique
128;ASV2620;Unique
129;ASV2653;Unique
130;ASV2760;Unique
131;ASV2761;Unique
132;ASV2830;Unique
133;ASV2881;Unique
134;ASV2996;Unique
135;ASV3110;Unique
136;ASV3252;Unique
137;ASV3352;Unique
138;ASV3570;Unique
139;ASV3573;Unique
140;ASV3574;Unique
