"";"ASV0411";"ASV0648";"ASV1430";"ASV1588";"ASV1614";"ASV1655";"ASV1783";"ASV1787";"ASV1909";"ASV2065";"ASV2153";"ASV2160";"ASV2174";"ASV2297";"ASV2367";"ASV2413";"ASV2505";"ASV2529";"ASV2572";"ASV2685";"ASV2690";"ASV2785";"ASV2856";"ASV2929";"ASV2937";"ASV2969";"ASV3072";"ASV3099";"ASV3104";"ASV3140";"ASV3148";"ASV3178";"ASV3246";"ASV3247";"ASV3309";"ASV3340";"ASV3345";"ASV3347";"ASV3413";"ASV3417";"ASV3457";"ASV3459";"ASV3495";"ASV3528";"ASV3529";"ASV3530";"ASV3565";"ASV3609";"ASV3646";"ASV3699";"ASV3705";"ASV3707";"ASV3711";"ASV3751";"ASV3752";"ASV3814";"ASV3851";"ASV3854";"ASV3858";"ASV3861";"ASV3862";"ASV3863";"ASV3904";"ASV3918";"ASV3923";"ASV3983";"ASV4114";"ASV4171";"ASV4179";"ASV4181";"ASV4261";"ASV4337";"ASV4344";"ASV4350";"ASV4351";"ASV4425";"ASV4518";"ASV4531";"ASV4611";"ASV4617";"ASV4698";"ASV4705";"ASV4710";"ASV4715";"ASV4790";"ASV4793";"ASV4800";"ASV4808";"ASV4812";"ASV4923";"ASV4927";"ASV4937";"ASV5043";"ASV5045";"ASV5054";"ASV5057";"ASV5058";"ASV5065";"ASV5179";"ASV5186";"ASV5193";"ASV5194";"ASV5196";"ASV5197";"ASV5471";"ASV5472";"ASV5479";"ASV5620";"ASV5646";"ASV5651";"ASV5793";"ASV5794";"ASV5799";"ASV5801";"ASV5808";"ASV5973";"ASV5986";"ASV5992";"ASV5995";"ASV5996";"ASV5998";"ASV5999";"ASV6007"
"C1A17";0;0;0;0;0;65;0;81;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;55;0;0;0;49;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;33;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1F18";0;97;0;55;18;0;0;5;0;0;34;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;31;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;19;19;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1A18";0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;19;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;27;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0
"C2A17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";288;35;0;0;58;0;0;0;0;0;0;0;0;0;0;0;41;26;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A18";0;0;0;0;0;0;38;0;0;53;0;21;18;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;20;0;0;0;14;0;0;0;4;0;0;0;31;0;0;0;0;30;0;14;0;0;0;0;0;18;24;0;0;0;0;0;0;0;20;0;0;0;0;0;5;0;0;18;0;0;0;0;0;17;17;0;0;13;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;11;0;0;0;0;0;0
"C3A17";61;0;29;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;1;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3F18";454;271;116;55;27;0;0;33;0;0;25;0;0;19;0;0;0;0;0;22;0;0;58;0;55;0;8;0;0;0;0;47;45;0;0;22;43;18;41;0;30;0;0;0;38;16;0;0;0;0;0;34;0;0;0;18;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;0;0;0;0
"C3A18";0;0;0;0;0;0;30;0;69;49;0;42;32;41;0;6;0;47;0;0;16;0;0;0;0;28;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;31;0;0;30;15;0;0;26;0;25;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;17;0;0;0;0;9;0;14;14;0;0;13;0;0;0;12;12;0;0;0;0;0;11;11;11;0
"C4A17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C4F18";284;204;42;48;51;0;0;10;0;0;36;0;0;0;47;60;33;0;0;12;0;0;0;0;0;0;14;0;18;0;0;0;0;0;44;18;0;25;0;41;0;0;39;0;0;22;0;0;0;0;0;0;34;0;0;14;0;0;0;16;0;0;0;0;0;0;0;0;0;23;0;0;0;12;17;0;0;22;0;21;0;0;20;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;11
"C4A18";0;0;0;0;0;0;0;0;47;0;0;32;44;0;0;13;0;0;71;0;21;61;0;0;0;26;0;0;31;0;48;0;0;0;0;0;0;0;0;0;10;15;0;0;0;0;0;36;16;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;10;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;7;0;0;0;14;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
