"";"ASV1698";"ASV1711";"ASV1886";"ASV2222";"ASV2620";"ASV2653";"ASV2760";"ASV2761";"ASV2830";"ASV2881";"ASV2996";"ASV3110";"ASV3252";"ASV3352";"ASV3570";"ASV3573";"ASV3574";"ASV3668";"ASV3990";"ASV4073";"ASV4131";"ASV4183";"ASV4184";"ASV4185";"ASV4186";"ASV4187";"ASV4188";"ASV4193";"ASV4263";"ASV4452";"ASV4453";"ASV4544";"ASV4546";"ASV4620";"ASV4621";"ASV4719";"ASV4725";"ASV4815";"ASV4816";"ASV4826";"ASV4942";"ASV4950";"ASV5087";"ASV5207";"ASV5345";"ASV5355";"ASV5655";"ASV5666";"ASV5672";"ASV5813";"ASV5814";"ASV5818";"ASV6014";"ASV6024";"ASV6044"
"F1A17";46;0;0;91;69;17;0;0;59;0;0;0;45;0;37;0;0;0;0;0;0;13;11;0;0;0;0;0;12;0;0;0;0;21;0;0;0;19;19;0;0;0;0;0;15;0;13;0;0;12;0;0;11;0;0
"F1F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0
"F1A18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;37;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F2A17";95;0;0;0;0;0;62;47;0;0;53;0;0;43;0;0;0;0;0;0;0;13;0;0;0;26;0;0;0;0;0;0;0;0;0;20;0;0;0;0;18;0;0;0;0;15;0;0;0;0;0;12;0;0;0
"F2F18";0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;16;0;0;0;0;0;0;0;0;0;11;0
"F2A18";0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0
"F3A17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F3F18";0;0;79;0;0;0;0;0;0;57;0;18;0;0;0;0;0;0;0;17;27;0;0;0;21;0;0;0;4;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0
"F3A18";0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F4A17";0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F4F18";0;63;40;0;0;50;0;0;0;0;0;23;0;0;0;0;0;35;0;11;0;0;0;0;0;0;0;26;9;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0
"F4A18";0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;11
