"";"ASV0603";"ASV1107";"ASV1260";"ASV1328";"ASV1341";"ASV1347";"ASV1348";"ASV1406";"ASV1453";"ASV1568";"ASV1760";"ASV1831";"ASV1989";"ASV2050";"ASV2121";"ASV2126";"ASV2203";"ASV2227";"ASV2228";"ASV2262";"ASV2263";"ASV2336";"ASV2350";"ASV2384";"ASV2444";"ASV2461";"ASV2482";"ASV2503";"ASV2524";"ASV2565";"ASV2566";"ASV2662";"ASV2665";"ASV2683";"ASV2726";"ASV2727";"ASV2746";"ASV2774";"ASV2823";"ASV2852";"ASV2870";"ASV2922";"ASV2923";"ASV2926";"ASV2954";"ASV2955";"ASV2965";"ASV3010";"ASV3042";"ASV3065";"ASV3134";"ASV3135";"ASV3170";"ASV3238";"ASV3281";"ASV3285";"ASV3332";"ASV3333";"ASV3334";"ASV3376";"ASV3404";"ASV3445";"ASV3519";"ASV3520";"ASV3559";"ASV3592";"ASV3695";"ASV3748";"ASV3749";"ASV3796";"ASV3800";"ASV3846";"ASV3973";"ASV4031";"ASV4033";"ASV4107";"ASV4111";"ASV4167";"ASV4231";"ASV4243";"ASV4249";"ASV4314";"ASV4318";"ASV4320";"ASV4327";"ASV4422";"ASV4424";"ASV4501";"ASV4506";"ASV4509";"ASV4596";"ASV4599";"ASV4679";"ASV4682";"ASV4683";"ASV4685";"ASV4766";"ASV4767";"ASV4769";"ASV4773";"ASV4780";"ASV4786";"ASV4787";"ASV4896";"ASV4899";"ASV4902";"ASV4903";"ASV4907";"ASV5019";"ASV5036";"ASV5150";"ASV5157";"ASV5164";"ASV5308";"ASV5309";"ASV5310";"ASV5433";"ASV5434";"ASV5437";"ASV5438";"ASV5447";"ASV5454";"ASV5455";"ASV5589";"ASV5599";"ASV5600";"ASV5601";"ASV5616";"ASV5760";"ASV5761";"ASV5771";"ASV5927";"ASV5947";"ASV5948";"ASV5949";"ASV5963";"ASV5964";"ASV6149";"ASV6152";"ASV6158";"ASV6179"
"L1A17";99;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0
"L1F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;0;0;0;0;0;11;11;0;0
"L1A18";0;0;0;0;0;98;36;111;103;0;0;0;0;0;0;74;0;91;0;0;0;0;0;82;0;77;0;75;0;62;0;67;0;0;64;0;63;0;0;59;0;56;56;0;55;55;0;53;52;0;49;0;0;0;0;45;44;0;0;0;42;0;39;39;0;0;0;0;0;0;0;0;0;29;29;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L2A17";507;258;230;0;210;0;62;0;0;14;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;6;0;0;0;0;19;0;0;0;0;18;0;0;0;0;0;0;0;0;0;15;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
"L2F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;23;13;0;0;0;0;21;21;0;0;0;0;20;0;0;0;0;19;0;0;0;0;0;17;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L2A18";0;0;0;68;0;24;0;17;28;35;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;62;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;46;0;0;0;44;0;0;0;41;0;0;38;0;35;34;0;0;0;32;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;19;19;0;0;0;0;17;0;16;4;3;0;0;0;0;0;0;0;0;14;0;0;0;0;0;13;0;12;12;12;0;0;0;0;0;0
"L3A17";0;0;0;0;0;0;98;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"L3F18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;4;0
"L3A18";0;0;0;127;0;86;0;66;52;0;96;96;109;104;99;24;93;0;91;0;89;0;84;0;0;0;76;0;74;0;72;0;67;0;0;64;0;0;60;0;58;0;0;0;0;0;55;0;0;0;0;0;48;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;34;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;24;0;0;0;0;22;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;11;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
"L4A17";53;6;0;0;0;0;0;0;0;26;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
