"";"ASV";"membership"
"1";"ASV0001";3
"2";"ASV0003";3
"3";"ASV0006";3
"4";"ASV0008";3
"5";"ASV0013";3
"6";"ASV0016";3
"7";"ASV0017";3
"8";"ASV0020";2
"9";"ASV0021";3
"10";"ASV0023";1
"11";"ASV0025";25
"12";"ASV0028";2
"13";"ASV0029";3
"14";"ASV0030";3
"15";"ASV0031";14
"16";"ASV0032";1
"17";"ASV0033";2
"18";"ASV0034";3
"19";"ASV0035";1
"20";"ASV0036";3
"21";"ASV0037";25
"22";"ASV0038";1
"23";"ASV0039";25
"24";"ASV0040";1
"25";"ASV0041";3
"26";"ASV0042";14
"27";"ASV0043";1
"28";"ASV0045";2
"29";"ASV0046";14
"30";"ASV0048";1
"31";"ASV0050";3
"32";"ASV0053";3
"33";"ASV0054";2
"34";"ASV0056";1
"35";"ASV0063";1
"36";"ASV0064";1
"37";"ASV0069";7
"38";"ASV0071";39
"39";"ASV0072";1
"40";"ASV0073";1
"41";"ASV0075";14
"42";"ASV0077";16
"43";"ASV0079";3
"44";"ASV0081";39
"45";"ASV0083";1
"46";"ASV0085";1
"47";"ASV0086";32
"48";"ASV0093";7
"49";"ASV0096";2
"50";"ASV0097";1
"51";"ASV0098";7
"52";"ASV0101";1
"53";"ASV0102";1
"54";"ASV0104";1
"55";"ASV0107";1
"56";"ASV0111";7
"57";"ASV0118";1
"58";"ASV0120";16
"59";"ASV0124";7
"60";"ASV0126";2
"61";"ASV0127";16
"62";"ASV0131";7
"63";"ASV0133";2
"64";"ASV0134";1
"65";"ASV0135";41
"66";"ASV0136";9
"67";"ASV0142";1
"68";"ASV0143";21
"69";"ASV0145";1
"70";"ASV0147";1
"71";"ASV0172";7
"72";"ASV0183";7
"73";"ASV0195";9
"74";"ASV0210";1
"75";"ASV0213";9
"76";"ASV0214";7
"77";"ASV0221";16
"78";"ASV0223";1
"79";"ASV0238";21
"80";"ASV0251";21
"81";"ASV0255";7
"82";"ASV0257";7
"83";"ASV0259";7
"84";"ASV0261";1
"85";"ASV0270";1
"86";"ASV0271";4
"87";"ASV0273";1
"88";"ASV0277";1
"89";"ASV0279";1
"90";"ASV0302";6
"91";"ASV0303";2
"92";"ASV0315";3
"93";"ASV0342";7
