"From"	"to"	"rValue"	"pValue"
"ASV0001"	"ASV0003"	0.997501654784883	2.97213226708476e-69
"ASV0001"	"ASV0006"	0.996878301796177	2.61077149464121e-66
"ASV0001"	"ASV0008"	0.996396576124893	2.02272509153895e-64
"ASV0001"	"ASV0013"	0.813901810418969	1.28129251199865e-13
"ASV0001"	"ASV0016"	0.814966499781135	1.10033881595574e-13
"ASV0001"	"ASV0017"	0.805689062864315	3.94610670917135e-13
"ASV0001"	"ASV0021"	0.625674056431148	3.00732610141929e-06
"ASV0001"	"ASV0023"	0.870002983382068	7.2428604114852e-18
"ASV0001"	"ASV0029"	0.636630335606753	1.54357924799574e-06
"ASV0001"	"ASV0030"	-0.609055108838604	7.9131869120302e-06
"ASV0001"	"ASV0035"	0.8716544151891	5.07020729491271e-18
"ASV0001"	"ASV0036"	0.972651156573331	9.492688001213e-38
"ASV0001"	"ASV0038"	0.867454726972432	1.23729616145406e-17
"ASV0001"	"ASV0050"	0.973194569337126	5.19832738751922e-38
"ASV0001"	"ASV0053"	0.971660295251153	2.7477938347237e-37
"ASV0001"	"ASV0079"	-0.619844817406121	4.26358394418316e-06
"ASV0001"	"ASV0315"	-0.622867988923206	3.56917681938666e-06
"ASV0001"	"ASV0624"	-0.600201165411738	1.27141244929346e-05
"ASV0001"	"ASV1207"	0.629403730884903	2.41533881849864e-06
"ASV0003"	"ASV0001"	0.997501654784883	6.33584878861884e-72
"ASV0003"	"ASV0006"	0.999087202427477	1.46950437406429e-82
"ASV0003"	"ASV0008"	0.996875600845991	2.67441346905179e-66
"ASV0003"	"ASV0013"	0.811608045836879	1.78738038772035e-13
"ASV0003"	"ASV0016"	0.814836519670672	1.12050777441679e-13
"ASV0003"	"ASV0017"	0.805989430087661	3.79936962140112e-13
"ASV0003"	"ASV0021"	0.635340208080689	1.67655927238649e-06
"ASV0003"	"ASV0023"	0.866774023978893	1.42474598539847e-17
"ASV0003"	"ASV0029"	0.645136247198118	9.0110178671469e-07
"ASV0003"	"ASV0030"	-0.610250580844503	7.41227474579968e-06
"ASV0003"	"ASV0034"	0.603577655739548	1.06132852000273e-05
"ASV0003"	"ASV0035"	0.868536544902781	9.89174819691459e-18
"ASV0003"	"ASV0036"	0.971502061016852	3.22897236047562e-37
"ASV0003"	"ASV0038"	0.866866649217807	1.3990460968942e-17
"ASV0003"	"ASV0050"	0.971828376022536	2.30219548085707e-37
"ASV0003"	"ASV0053"	0.970148419890695	1.2985794945392e-36
"ASV0003"	"ASV0079"	-0.62060730189228	4.07339910729667e-06
"ASV0003"	"ASV0315"	-0.614700810440481	5.75367871114242e-06
"ASV0003"	"ASV1207"	0.627487118040717	2.70984627981551e-06
"ASV0006"	"ASV0001"	0.996878301796177	5.60346396189035e-69
"ASV0006"	"ASV0003"	0.999087202427477	2.98310747776407e-85
"ASV0006"	"ASV0008"	0.996540716819674	5.8746603230616e-65
"ASV0006"	"ASV0013"	0.811425460125845	1.83350365521336e-13
"ASV0006"	"ASV0016"	0.814725371164122	1.1378341980566e-13
"ASV0006"	"ASV0017"	0.806434381146335	3.5754323131536e-13
"ASV0006"	"ASV0021"	0.638139979702206	1.40550280904139e-06
"ASV0006"	"ASV0023"	0.864813668925642	2.14188374176293e-17
"ASV0006"	"ASV0029"	0.646589336511389	8.17993411935236e-07
"ASV0006"	"ASV0030"	-0.610119843961787	7.45923442283622e-06
"ASV0006"	"ASV0034"	0.604806738796113	9.91998259834693e-06
"ASV0006"	"ASV0035"	0.867486471191651	1.23284159997985e-17
"ASV0006"	"ASV0036"	0.972313195782304	1.37102845080508e-37
"ASV0006"	"ASV0038"	0.865192031844219	1.98090986217701e-17
"ASV0006"	"ASV0050"	0.973460106736672	3.85981884219129e-38
"ASV0006"	"ASV0053"	0.971539589109976	3.10982804401587e-37
"ASV0006"	"ASV0079"	-0.619670401568554	4.30619522055504e-06
"ASV0006"	"ASV0315"	-0.614657709355183	5.7670926348414e-06
"ASV0006"	"ASV1207"	0.625530568129082	3.03303829130831e-06
"ASV0008"	"ASV0001"	0.996396576124893	4.42954676712842e-67
"ASV0008"	"ASV0003"	0.996875600845991	5.75301512215906e-69
"ASV0008"	"ASV0006"	0.996540716819674	1.27794774545654e-67
"ASV0008"	"ASV0013"	0.809780045615097	2.28480819910233e-13
"ASV0008"	"ASV0016"	0.810253094401638	2.16424824792744e-13
"ASV0008"	"ASV0017"	0.800024304937351	8.44076466093895e-13
"ASV0008"	"ASV0021"	0.621955771775812	3.76759438232353e-06
"ASV0008"	"ASV0023"	0.856703361082097	1.08771726063827e-16
"ASV0008"	"ASV0029"	0.634210300384676	1.79652265792198e-06
"ASV0008"	"ASV0030"	-0.606362616766859	9.1621555678715e-06
"ASV0008"	"ASV0035"	0.861667309012749	4.08577872094291e-17
"ASV0008"	"ASV0036"	0.968917957789447	4.36393364698079e-36
"ASV0008"	"ASV0038"	0.856511545760195	1.12795318980737e-16
"ASV0008"	"ASV0050"	0.972118178475563	1.69002969730016e-37
"ASV0008"	"ASV0053"	0.967177764518479	2.23224744961015e-35
"ASV0008"	"ASV0079"	-0.620287401221202	4.1521084272085e-06
"ASV0008"	"ASV0315"	-0.614422375503469	5.8436987217165e-06
"ASV0008"	"ASV1207"	0.613200501748945	6.27113877760122e-06
"ASV0013"	"ASV0001"	0.813901810418969	5.10895547726967e-16
"ASV0013"	"ASV0003"	0.811608045836879	7.16154116289362e-16
"ASV0013"	"ASV0006"	0.811425460125845	7.355227523421e-16
"ASV0013"	"ASV0008"	0.809780045615097	9.34278145202523e-16
"ASV0013"	"ASV0016"	0.977443457537814	2.87916455094278e-40
"ASV0013"	"ASV0017"	0.968405849501448	7.11595821575343e-36
"ASV0013"	"ASV0023"	0.87558203653836	2.14208523642812e-18
"ASV0013"	"ASV0029"	0.601348839856631	1.19532815090134e-05
"ASV0013"	"ASV0030"	-0.650597277716277	6.43539810062002e-07
"ASV0013"	"ASV0035"	0.889936063466881	6.57291788863558e-20
"ASV0013"	"ASV0036"	0.801408419140228	7.034542257217e-13
"ASV0013"	"ASV0038"	0.885860908757347	1.85074248574685e-19
"ASV0013"	"ASV0041"	-0.631823054607006	2.08144938546295e-06
"ASV0013"	"ASV0050"	0.801024074239879	7.39203144471811e-13
"ASV0013"	"ASV0053"	0.781264903849824	8.49423637609799e-12
"ASV0013"	"ASV0079"	-0.705685209766618	1.25252612554985e-08
"ASV0013"	"ASV0097"	0.658082915079205	3.85547372918773e-07
"ASV0013"	"ASV0107"	0.62363117302646	3.40699542579213e-06
"ASV0013"	"ASV0405"	-0.607935703127573	8.43166960053432e-06
"ASV0013"	"ASV0624"	-0.643283677778422	1.01744446471807e-06
"ASV0016"	"ASV0001"	0.814966499781135	4.3607755287074e-16
"ASV0016"	"ASV0003"	0.814836519670672	4.44613628313227e-16
"ASV0016"	"ASV0006"	0.814725371164122	4.52039961825368e-16
"ASV0016"	"ASV0008"	0.810253094401638	8.72397466255639e-16
"ASV0016"	"ASV0013"	0.977443457537814	6.65378647984625e-43
"ASV0016"	"ASV0017"	0.990347288294214	2.045417243217e-51
"ASV0016"	"ASV0023"	0.885077840819897	2.24918872358601e-19
"ASV0016"	"ASV0029"	0.624058193605512	3.3223474729128e-06
"ASV0016"	"ASV0030"	-0.616130280347078	5.31232549462459e-06
"ASV0016"	"ASV0035"	0.88969562634214	6.98759427932674e-20
"ASV0016"	"ASV0036"	0.80228395227934	6.2399295178484e-13
"ASV0016"	"ASV0038"	0.894336808101161	2.05190199656905e-20
"ASV0016"	"ASV0041"	-0.604443268687881	1.01119188267951e-05
"ASV0016"	"ASV0050"	0.806904074607715	3.34849170789919e-13
"ASV0016"	"ASV0053"	0.785935600108699	4.81621940882747e-12
"ASV0016"	"ASV0079"	-0.652837003983729	5.53010386920493e-07
"ASV0016"	"ASV0097"	0.676841970751526	1.0042459011299e-07
"ASV0016"	"ASV0107"	0.627146148198019	2.75559891083597e-06
"ASV0016"	"ASV0867"	0.602180149789187	1.14193046861628e-05
"ASV0017"	"ASV0001"	0.805689062864315	1.67668860624277e-15
"ASV0017"	"ASV0003"	0.805989430087661	1.60697745647262e-15
"ASV0017"	"ASV0006"	0.806434381146335	1.50879664770221e-15
"ASV0017"	"ASV0008"	0.800024304937351	3.68460194837575e-15
"ASV0017"	"ASV0013"	0.968405849501448	1.69622119937728e-38
"ASV0017"	"ASV0016"	0.990347288294214	4.57833833019022e-54
"ASV0017"	"ASV0023"	0.876987711644815	1.55259804664933e-18
"ASV0017"	"ASV0029"	0.62009426366949	4.19861668508779e-06
"ASV0017"	"ASV0030"	-0.602233476629463	1.13891178157563e-05
"ASV0017"	"ASV0035"	0.877138140830761	1.50168524988272e-18
"ASV0017"	"ASV0036"	0.793007018140707	1.99506222697322e-12
"ASV0017"	"ASV0038"	0.880762210176889	6.44189099107751e-19
"ASV0017"	"ASV0050"	0.797565409119607	1.16454697629794e-12
"ASV0017"	"ASV0053"	0.779123101670032	1.09757807715265e-11
"ASV0017"	"ASV0079"	-0.632305516478667	2.01870571574003e-06
"ASV0017"	"ASV0097"	0.667107765590625	2.03880732670648e-07
"ASV0017"	"ASV0107"	0.619461530070605	4.35714900277561e-06
"ASV0017"	"ASV0867"	0.603106902778222	1.08733031442502e-05
"ASV0020"	"ASV0028"	0.883970513340771	2.95823629721829e-19
"ASV0020"	"ASV0030"	0.731105864128138	1.76553644625355e-09
"ASV0020"	"ASV0033"	0.825655578015578	2.37543099416811e-14
"ASV0020"	"ASV0041"	0.72272876916454	3.83699614891435e-09
"ASV0020"	"ASV0045"	0.679432406002202	8.28071800501087e-08
"ASV0020"	"ASV0054"	0.865802281235224	1.74657419011439e-17
"ASV0020"	"ASV0079"	0.727589423396837	2.4548972763459e-09
"ASV0020"	"ASV0096"	0.631799142176156	2.08396928963999e-06
"ASV0020"	"ASV0126"	0.649939648691642	6.71527103428481e-07
"ASV0020"	"ASV0133"	0.71723082540284	6.14385833592047e-09
"ASV0020"	"ASV0315"	0.615582405259566	5.47651652626267e-06
"ASV0020"	"ASV0405"	0.611348074657139	6.98070020762217e-06
"ASV0020"	"ASV0624"	0.609271180568467	7.8229589324887e-06
"ASV0020"	"ASV0925"	0.719787057870317	5.00346998140227e-09
"ASV0020"	"ASV1255"	0.608634853653255	8.10917172028502e-06
"ASV0020"	"ASV2548"	0.634094507109653	1.80968362633576e-06
"ASV0020"	"ASV2590"	0.732487532670709	1.5484284788936e-09
"ASV0020"	"ASV2805"	0.622841216079131	3.57278776131941e-06
"ASV0021"	"ASV0001"	0.625674056431148	4.18455185403129e-08
"ASV0021"	"ASV0003"	0.635340208080689	2.22563257624114e-08
"ASV0021"	"ASV0006"	0.638139979702206	1.84605752596194e-08
"ASV0021"	"ASV0008"	0.621955771775812	5.30449134704058e-08
"ASV0021"	"ASV0023"	0.693897431181012	3.2107330612884e-08
"ASV0021"	"ASV0029"	0.975265798104025	4.62883951806842e-39
"ASV0021"	"ASV0034"	0.966502155443019	4.10668196303951e-35
"ASV0021"	"ASV0035"	0.691029042771708	3.72564037855358e-08
"ASV0021"	"ASV0036"	0.642106371820166	1.09757770707205e-06
"ASV0021"	"ASV0038"	0.722944899151985	3.76938700593417e-09
"ASV0021"	"ASV0050"	0.62333725339491	3.46659035541996e-06
"ASV0021"	"ASV0053"	0.633396210093416	1.88896848361233e-06
"ASV0021"	"ASV0867"	0.711392016614695	7.72573271587687e-09
"ASV0021"	"ASV1079"	0.733161612200851	1.45203918983965e-09
"ASV0021"	"ASV1593"	0.68675287296432	4.73838896901769e-08
"ASV0023"	"ASV0001"	0.870002983382068	2.14756111676136e-20
"ASV0023"	"ASV0003"	0.866774023978893	4.32111445501975e-20
"ASV0023"	"ASV0006"	0.864813668925642	6.54800870652273e-20
"ASV0023"	"ASV0008"	0.856703361082097	3.42014651993545e-19
"ASV0023"	"ASV0013"	0.87558203653836	6.13349793718608e-21
"ASV0023"	"ASV0016"	0.885077840819897	6.28761158272471e-22
"ASV0023"	"ASV0017"	0.876987711644815	4.4305569661122e-21
"ASV0023"	"ASV0021"	0.693897431181012	2.87779546003863e-10
"ASV0023"	"ASV0029"	0.698126955045442	2.31867491697202e-08
"ASV0023"	"ASV0030"	-0.690186745090774	3.72564037855358e-08
"ASV0023"	"ASV0034"	0.645924537677688	8.54731976765803e-07
"ASV0023"	"ASV0035"	0.963788072249846	4.22384728802365e-34
"ASV0023"	"ASV0036"	0.87159712396817	5.12677429944274e-18
"ASV0023"	"ASV0038"	0.970945988755023	5.76308141573395e-37
"ASV0023"	"ASV0041"	-0.638359849500859	1.38643785959014e-06
"ASV0023"	"ASV0050"	0.849331065155329	4.35917242759019e-16
"ASV0023"	"ASV0053"	0.855819326298011	1.29052910637716e-16
"ASV0023"	"ASV0079"	-0.704266098750732	1.41271248289804e-08
"ASV0023"	"ASV0097"	0.621825177793204	3.7949752169956e-06
"ASV0023"	"ASV0101"	0.603068750492143	1.08911416031585e-05
"ASV0023"	"ASV0104"	0.658421644582052	3.76376212023346e-07
"ASV0023"	"ASV0142"	0.677034068230316	9.90238230161563e-08
"ASV0023"	"ASV0145"	0.61535660404348	5.54906799281241e-06
"ASV0023"	"ASV0147"	0.659730871735028	3.43271390058003e-07
"ASV0023"	"ASV0210"	0.619049017112324	4.4608183439058e-06
"ASV0023"	"ASV0261"	0.624136616571207	3.30804958962361e-06
"ASV0023"	"ASV0273"	0.749938849185551	2.81104033164165e-10
"ASV0023"	"ASV0277"	0.606721257843345	8.98893116884366e-06
"ASV0023"	"ASV0477"	0.676830050202604	1.00474264355508e-07
"ASV0023"	"ASV0510"	0.615778434900484	5.41316736683354e-06
"ASV0023"	"ASV1079"	0.640733795123519	1.19448420360993e-06
"ASV0023"	"ASV1207"	0.633936215326595	1.82607898087912e-06
"ASV0023"	"ASV1508"	0.607004268754547	8.87526949030009e-06
"ASV0023"	"ASV1532"	0.607282090398806	8.73937416113007e-06
"ASV0023"	"ASV1846"	0.611507120704874	6.92234409151426e-06
"ASV0025"	"ASV0037"	0.777422098227096	1.33946530300276e-11
"ASV0025"	"ASV0039"	0.732770165338955	1.50749889971162e-09
"ASV0028"	"ASV0020"	0.883970513340771	8.28408782717388e-22
"ASV0028"	"ASV0030"	0.674810662848009	1.16888173855862e-07
"ASV0028"	"ASV0033"	0.813199316124633	1.41989170364012e-13
"ASV0028"	"ASV0041"	0.800367202741462	8.06264517097009e-13
"ASV0028"	"ASV0045"	0.665269859382929	2.33298486499044e-07
"ASV0028"	"ASV0054"	0.852877104406365	2.25663776726003e-16
"ASV0028"	"ASV0079"	0.713333099181882	6.84790748052032e-09
