"colMeans..t.."	"Node"	"Node_Category"
"ASV0001"	0.141468009438771	"ASV0001"	"Shared"
"ASV0003"	0.10640522460761	"ASV0003"	"Shared"
"ASV0006"	0.0991695526158127	"ASV0006"	"Shared"
"ASV0008"	0.0643915443150924	"ASV0008"	"Shared"
"ASV0013"	0.0207986645370436	"ASV0013"	"Shared"
"ASV0016"	0.0147180574499546	"ASV0016"	"Shared"
"ASV0017"	0.0145919263731627	"ASV0017"	"Shared"
"ASV0020"	0.012143275166131	"ASV0020"	"Other"
"ASV0021"	0.0119028544936083	"ASV0021"	"Shared"
"ASV0023"	0.00893601047195427	"ASV0023"	"Shared"
"ASV0025"	0.0131631722636371	"ASV0025"	"Shared"
"ASV0028"	0.00913656388726475	"ASV0028"	"Other"
"ASV0029"	0.00887543993130751	"ASV0029"	"Shared"
"ASV0030"	0.0151579044842475	"ASV0030"	"Shared"
"ASV0032"	0.0120084999092295	"ASV0032"	"Shared"
"ASV0033"	0.00855049592112935	"ASV0033"	"Other"
"ASV0034"	0.00886687303181616	"ASV0034"	"Shared"
"ASV0035"	0.00657553302632146	"ASV0035"	"Shared"
"ASV0036"	0.00650720323091492	"ASV0036"	"Shared"
"ASV0037"	0.00898089438014031	"ASV0037"	"Shared"
"ASV0038"	0.00582544679479458	"ASV0038"	"Shared"
"ASV0039"	0.00904484654846977	"ASV0039"	"Shared"
"ASV0040"	0.0104288361086274	"ASV0040"	"Shared"
"ASV0041"	0.011230899751901	"ASV0041"	"Other"
"ASV0043"	0.00955814618906557	"ASV0043"	"Shared"
"ASV0045"	0.0101304596253173	"ASV0045"	"Shared"
"ASV0048"	0.0058818718747512	"ASV0048"	"Shared"
"ASV0050"	0.00493099227296823	"ASV0050"	"Shared"
"ASV0053"	0.00457554979927456	"ASV0053"	"Shared"
"ASV0054"	0.00548614330083688	"ASV0054"	"Other"
"ASV0056"	0.00525582941886309	"ASV0056"	"Shared"
"ASV0063"	0.00584126142447742	"ASV0063"	"Shared"
"ASV0064"	0.00487140020616445	"ASV0064"	"Shared"
"ASV0069"	0.00842576133568503	"ASV0069"	"Other"
"ASV0071"	0.00547552024517534	"ASV0071"	"Shared"
"ASV0072"	0.0039281512261619	"ASV0072"	"Shared"
"ASV0073"	0.00379461268793955	"ASV0073"	"Shared"
"ASV0077"	0.00711178928175578	"ASV0077"	"Shared"
"ASV0079"	0.00689872658115452	"ASV0079"	"Other"
"ASV0081"	0.00559243086885886	"ASV0081"	"Shared"
"ASV0083"	0.00388733854925233	"ASV0083"	"Shared"
"ASV0085"	0.00403659708424507	"ASV0085"	"Shared"
"ASV0086"	0.00352379287458583	"ASV0086"	"Shared"
"ASV0093"	0.005856399188829	"ASV0093"	"Other"
"ASV0096"	0.00323814474591291	"ASV0096"	"Other"
"ASV0097"	0.00402255448359351	"ASV0097"	"Shared"
"ASV0098"	0.00692065470348261	"ASV0098"	"Other"
"ASV0101"	0.00312474979263153	"ASV0101"	"Shared"
"ASV0102"	0.00378754478093186	"ASV0102"	"Shared"
"ASV0104"	0.00322072462517006	"ASV0104"	"Shared"
"ASV0107"	0.00399859588245319	"ASV0107"	"Shared"
"ASV0111"	0.00580918956102522	"ASV0111"	"Other"
"ASV0118"	0.0030248677742117	"ASV0118"	"Shared"
"ASV0120"	0.00490543550417695	"ASV0120"	"Shared"
"ASV0124"	0.0022697058634685	"ASV0124"	"Other"
"ASV0126"	0.00264314772352665	"ASV0126"	"Other"
"ASV0127"	0.0038296548177055	"ASV0127"	"Shared"
"ASV0128"	0.00203597430222328	"ASV0128"	"Other"
"ASV0131"	0.00222495677548939	"ASV0131"	"Other"
"ASV0133"	0.0023868781074005	"ASV0133"	"Other"
"ASV0134"	0.00224444273662334	"ASV0134"	"Shared"
"ASV0135"	0.00226542385332463	"ASV0135"	"Shared"
"ASV0136"	0.00486765993651662	"ASV0136"	"Other"
"ASV0142"	0.00213403318489287	"ASV0142"	"Shared"
"ASV0143"	0.00251777029291597	"ASV0143"	"Shared"
"ASV0145"	0.0020239035755318	"ASV0145"	"Shared"
"ASV0147"	0.00219300723609213	"ASV0147"	"Shared"
"ASV0172"	0.00380434151485876	"ASV0172"	"Other"
"ASV0183"	0.00212737802675026	"ASV0183"	"Other"
"ASV0195"	0.0034236286884337	"ASV0195"	"Other"
"ASV0210"	0.00149979518878721	"ASV0210"	"Shared"
"ASV0213"	0.00345942801203248	"ASV0213"	"Other"
"ASV0214"	0.00134870254511167	"ASV0214"	"Other"
"ASV0221"	0.00291431223633405	"ASV0221"	"Other"
"ASV0223"	0.00142535858047968	"ASV0223"	"Shared"
"ASV0238"	0.00163937201441539	"ASV0238"	"Shared"
"ASV0251"	0.00152226021195216	"ASV0251"	"Other"
"ASV0255"	0.00145188636855942	"ASV0255"	"Other"
"ASV0257"	0.00161910989491132	"ASV0257"	"Other"
"ASV0259"	0.00365325766708893	"ASV0259"	"Other"
"ASV0261"	0.00106408851058722	"ASV0261"	"Shared"
