"";"V1"
"1";"Shared"
"2";"Shared"
"3";"Shared"
"4";"Shared"
"5";"Shared"
"6";"Shared"
"7";"Shared"
"8";"Other"
"9";"Shared"
"10";"Shared"
"11";"Shared"
"12";"Other"
"13";"Shared"
"14";"Shared"
"15";"Other"
"16";"Shared"
"17";"Other"
"18";"Shared"
"19";"Shared"
"20";"Shared"
"21";"Shared"
"22";"Shared"
"23";"Shared"
"24";"Shared"
"25";"Other"
"26";"Shared"
"27";"Shared"
"28";"Shared"
"29";"Other"
"30";"Shared"
"31";"Shared"
"32";"Shared"
"33";"Other"
"34";"Shared"
"35";"Shared"
"36";"Shared"
"37";"Other"
"38";"Shared"
"39";"Shared"
"40";"Shared"
"41";"Other"
"42";"Shared"
"43";"Other"
"44";"Shared"
"45";"Shared"
"46";"Shared"
"47";"Shared"
"48";"Other"
"49";"Other"
"50";"Shared"
"51";"Other"
"52";"Shared"
"53";"Shared"
"54";"Shared"
"55";"Shared"
"56";"Other"
"57";"Shared"
"58";"Shared"
"59";"Other"
"60";"Other"
"61";"Shared"
"62";"Other"
"63";"Other"
"64";"Shared"
"65";"Shared"
"66";"Other"
"67";"Shared"
"68";"Shared"
"69";"Shared"
"70";"Shared"
"71";"Other"
"72";"Other"
"73";"Other"
"74";"Shared"
"75";"Other"
"76";"Other"
"77";"Other"
"78";"Shared"
"79";"Shared"
"80";"Other"
"81";"Other"
"82";"Other"
"83";"Other"
"84";"Shared"
"85";"Shared"
"86";"Other"
"87";"Shared"
"88";"Shared"
"89";"Shared"
"90";"Other"
"91";"Other"
"92";"Shared"
"93";"Other"
"94";"Other"
"95";"Other"
"96";"Other"
"97";"Other"
"98";"Other"
"99";"Other"
"100";"Shared"
"101";"Other"
"102";"Other"
"103";"Other"
"104";"Shared"
"105";"Other"
"106";"Shared"
"107";"Other"
"108";"Unique"
"109";"Other"
"110";"Other"
"111";"Other"
"112";"Other"
"113";"Other"
"114";"Other"
"115";"Shared"
"116";"Other"
"117";"Other"
"118";"Other"
"119";"Shared"
"120";"Other"
"121";"Shared"
"122";"Other"
"123";"Other"
"124";"Other"
"125";"Other"
"126";"Shared"
"127";"Other"
"128";"Other"
"129";"Other"
"130";"Other"
"131";"Other"
"132";"Shared"
"133";"Other"
"134";"Other"
"135";"Other"
"136";"Shared"
"137";"Other"
"138";"Other"
"139";"Other"
"140";"Other"
"141";"Unique"
"142";"Other"
"143";"Other"
"144";"Other"
"145";"Shared"
"146";"Other"
"147";"Other"
"148";"Shared"
"149";"Other"
"150";"Other"
"151";"Other"
"152";"Other"
"153";"Other"
"154";"Other"
"155";"Other"
"156";"Other"
"157";"Shared"
"158";"Other"
"159";"Other"
"160";"Other"
"161";"Other"
"162";"Other"
"163";"Shared"
"164";"Other"
"165";"Other"
"166";"Shared"
"167";"Shared"
"168";"Other"
"169";"Other"
"170";"Other"
"171";"Shared"
"172";"Other"
"173";"Other"
"174";"Other"
"175";"Shared"
"176";"Other"
"177";"Other"
"178";"Other"
"179";"Other"
"180";"Other"
"181";"Other"
"182";"Shared"
"183";"Other"
"184";"Other"
"185";"Other"
"186";"Other"
"187";"Other"
"188";"Other"
"189";"Other"
"190";"Other"
"191";"Other"
"192";"Other"
"193";"Other"
"194";"Other"
"195";"Other"
"196";"Other"
"197";"Other"
"198";"Other"
"199";"Shared"
"200";"Other"
"201";"Other"
"202";"Shared"
"203";"Shared"
"204";"Other"
"205";"Other"
"206";"Other"
"207";"Other"
"208";"Other"
"209";"Other"
"210";"Other"
"211";"Other"
"212";"Shared"
"213";"Other"
"214";"Shared"
"215";"Other"
"216";"Other"
"217";"Other"
"218";"Other"
"219";"Other"
"220";"Other"
"221";"Other"
"222";"Other"
"223";"Other"
"224";"Other"
"225";"Shared"
"226";"Other"
"227";"Other"
"228";"Other"
"229";"Other"
"230";"Other"
"231";"Other"
"232";"Other"
"233";"Other"
"234";"Other"
"235";"Shared"
"236";"Other"
"237";"Other"
"238";"Other"
"239";"Other"
"240";"Other"
"241";"Other"
"242";"Other"
"243";"Shared"
"244";"Other"
"245";"Shared"
"246";"Other"
"247";"Shared"
"248";"Shared"
"249";"Other"
"250";"Other"
"251";"Unique"
"252";"Other"
"253";"Other"
"254";"Other"
"255";"Other"
"256";"Other"
"257";"Other"
"258";"Other"
"259";"Shared"
"260";"Other"
"261";"Other"
"262";"Other"
"263";"Other"
"264";"Other"
"265";"Other"
"266";"Other"
"267";"Other"
"268";"Unique"
"269";"Shared"
"270";"Other"
"271";"Other"
"272";"Other"
"273";"Other"
"274";"Unique"
"275";"Other"
"276";"Other"
"277";"Other"
"278";"Unique"
"279";"Other"
"280";"Other"
"281";"Other"
"282";"Other"
"283";"Other"
"284";"Other"
"285";"Other"
"286";"Shared"
"287";"Other"
"288";"Other"
"289";"Other"
"290";"Other"
"291";"Unique"
"292";"Unique"
"293";"Other"
"294";"Other"
"295";"Other"
"296";"Other"
"297";"Other"
"298";"Other"
"299";"Other"
"300";"Other"
"301";"Other"
"302";"Other"
"303";"Other"
"304";"Other"
"305";"Other"
"306";"Unique"
"307";"Other"
"308";"Other"
"309";"Other"
"310";"Other"
"311";"Other"
"312";"Other"
"313";"Other"
"314";"Other"
"315";"Other"
"316";"Other"
"317";"Other"
"318";"Unique"
"319";"Other"
"320";"Other"
"321";"Other"
"322";"Other"
"323";"Other"
"324";"Other"
"325";"Other"
"326";"Other"
"327";"Other"
"328";"Other"
"329";"Other"
"330";"Other"
"331";"Unique"
"332";"Unique"
"333";"Unique"
"334";"Other"
"335";"Other"
"336";"Other"
"337";"Other"
"338";"Other"
"339";"Other"
"340";"Other"
"341";"Other"
"342";"Other"
"343";"Unique"
"344";"Other"
"345";"Other"
"346";"Other"
"347";"Other"
"348";"Other"
"349";"Other"
"350";"Other"
"351";"Unique"
"352";"Other"
"353";"Unique"
"354";"Other"
"355";"Other"
"356";"Other"
"357";"Other"
"358";"Other"
"359";"Other"
"360";"Unique"
"361";"Other"
"362";"Unique"
"363";"Other"
"364";"Other"
"365";"Other"
"366";"Other"
"367";"Other"
"368";"Unique"
"369";"Shared"
"370";"Other"
"371";"Other"
"372";"Other"
"373";"Other"
"374";"Other"
"375";"Other"
"376";"Other"
"377";"Unique"
"378";"Unique"
"379";"Other"
"380";"Other"
"381";"Other"
"382";"Other"
"383";"Other"
"384";"Other"
"385";"Other"
"386";"Unique"
"387";"Other"
"388";"Other"
"389";"Other"
"390";"Unique"
"391";"Other"
"392";"Other"
"393";"Unique"
"394";"Other"
"395";"Other"
"396";"Unique"
"397";"Unique"
"398";"Other"
"399";"Other"
"400";"Unique"
"401";"Other"
"402";"Unique"
"403";"Unique"
"404";"Unique"
"405";"Other"
"406";"Unique"
"407";"Other"
"408";"Unique"
"409";"Unique"
"410";"Unique"
"411";"Other"
"412";"Other"
"413";"Other"
"414";"Other"
"415";"Other"
"416";"Unique"
"417";"Other"
"418";"Unique"
"419";"Other"
"420";"Unique"
"421";"Unique"
"422";"Other"
"423";"Other"
"424";"Other"
"425";"Other"
"426";"Unique"
"427";"Other"
"428";"Unique"
"429";"Unique"
"430";"Other"
"431";"Unique"
"432";"Other"
"433";"Unique"
"434";"Other"
"435";"Unique"
"436";"Unique"
"437";"Unique"
"438";"Other"
"439";"Unique"
"440";"Other"
"441";"Other"
"442";"Unique"
"443";"Other"
"444";"Other"
"445";"Unique"
"446";"Other"
"447";"Other"
"448";"Unique"
"449";"Other"
"450";"Other"
"451";"Other"
"452";"Unique"
"453";"Unique"
"454";"Other"
"455";"Unique"
"456";"Unique"
"457";"Unique"
"458";"Other"
"459";"Unique"
"460";"Unique"
"461";"Unique"
"462";"Unique"
"463";"Unique"
"464";"Unique"
"465";"Unique"
"466";"Unique"
"467";"Other"
"468";"Other"
"469";"Unique"
"470";"Other"
"471";"Unique"
"472";"Other"
"473";"Other"
"474";"Other"
"475";"Other"
"476";"Unique"
"477";"Other"
"478";"Other"
"479";"Other"
"480";"Unique"
"481";"Other"
"482";"Other"
"483";"Other"
"484";"Other"
"485";"Unique"
"486";"Other"
"487";"Unique"
"488";"Other"
"489";"Unique"
"490";"Other"
"491";"Other"
"492";"Unique"
"493";"Other"
"494";"Unique"
"495";"Unique"
"496";"Other"
"497";"Unique"
"498";"Unique"
"499";"Unique"
"500";"Other"
"501";"Unique"
"502";"Other"
"503";"Unique"
"504";"Other"
"505";"Unique"
"506";"Unique"
"507";"Other"
